Date,Time,All,N,S
Saturday 1 November 2014,00:00,1406.0,537.0,869.0
,01:00,738.0,375.0,363.0
,02:00,580.0,272.0,308.0
,03:00,699.0,390.0,309.0
,04:00,1167.0,783.0,384.0
,05:00,1620.0,953.0,667.0
,06:00,2199.0,1176.0,1023.0
,07:00,3318.0,1820.0,1498.0
,08:00,4588.0,2363.0,2225.0
,09:00,5799.0,3157.0,2642.0
,10:00,7031.0,3720.0,3311.0
,11:00,8043.0,4104.0,3939.0
,12:00,9060.0,4500.0,4560.0
,13:00,9679.0,4843.0,4836.0
,14:00,8830.0,4242.0,4588.0
,15:00,8715.0,4147.0,4568.0
,16:00,8404.0,4045.0,4359.0
,17:00,7695.0,3727.0,3968.0
,18:00,6276.0,3093.0,3183.0
,19:00,4722.0,2326.0,2396.0
,20:00,3591.0,1627.0,1964.0
,21:00,2258.0,1036.0,1222.0
,22:00,1887.0,880.0,1007.0
,23:00,1574.0,660.0,914.0
,Total,109879.0,54776.0,55103.0
Sunday 2 November 2014,00:00,1381.0,532.0,849.0
,01:00,903.0,381.0,522.0
,02:00,622.0,290.0,332.0
,03:00,614.0,348.0,266.0
,04:00,879.0,584.0,295.0
,05:00,1102.0,614.0,488.0
,06:00,1312.0,728.0,584.0
,07:00,2100.0,1193.0,907.0
,08:00,2546.0,1317.0,1229.0
,09:00,4014.0,2126.0,1888.0
,10:00,5399.0,2804.0,2595.0
,11:00,6278.0,3116.0,3162.0
,12:00,7812.0,3891.0,3921.0
,13:00,8873.0,4523.0,4350.0
,14:00,8340.0,4296.0,4044.0
,15:00,8061.0,4040.0,4021.0
,16:00,8145.0,4143.0,4002.0
,17:00,8158.0,3920.0,4238.0
,18:00,7062.0,3489.0,3573.0
,19:00,5663.0,2963.0,2700.0
,20:00,4338.0,2166.0,2172.0
,21:00,2754.0,1425.0,1329.0
,22:00,2214.0,967.0,1247.0
,23:00,1873.0,697.0,1176.0
,Total,100443.0,50553.0,49890.0
Monday 3 November 2014,00:00,1041.0,350.0,691.0
,01:00,455.0,186.0,269.0
,02:00,288.0,141.0,147.0
,03:00,465.0,308.0,157.0
,04:00,1191.0,817.0,374.0
,05:00,2562.0,1529.0,1033.0
,06:00,4888.0,2389.0,2499.0
,07:00,10723.0,5167.0,5556.0
,08:00,9975.0,5936.0,4039.0
,09:00,8678.0,4325.0,4353.0
,10:00,7029.0,3734.0,3295.0
,11:00,7002.0,3661.0,3341.0
,12:00,7140.0,3579.0,3561.0
,13:00,7409.0,3849.0,3560.0
,14:00,7839.0,3997.0,3842.0
,15:00,8546.0,4282.0,4264.0
,16:00,10597.0,5370.0,5227.0
,17:00,11807.0,5721.0,6086.0
,18:00,9115.0,4879.0,4236.0
,19:00,5587.0,2838.0,2749.0
,20:00,4003.0,1908.0,2095.0
,21:00,2955.0,1354.0,1601.0
,22:00,2369.0,1100.0,1269.0
,23:00,1619.0,678.0,941.0
,Total,133283.0,68098.0,65185.0
Tuesday 4 November 2014,00:00,1003.0,310.0,693.0
,01:00,423.0,194.0,229.0
,02:00,340.0,184.0,156.0
,03:00,460.0,273.0,187.0
,04:00,1088.0,757.0,331.0
,05:00,2077.0,1281.0,796.0
,06:00,4626.0,2275.0,2351.0
,07:00,10906.0,5080.0,5826.0
,08:00,11177.0,6008.0,5169.0
,09:00,8728.0,4492.0,4236.0
,10:00,7358.0,3890.0,3468.0
,11:00,7070.0,3751.0,3319.0
,12:00,7368.0,3584.0,3784.0
,13:00,7536.0,3778.0,3758.0
,14:00,7937.0,3930.0,4007.0
,15:00,8676.0,4337.0,4339.0
,16:00,11322.0,5603.0,5719.0
,17:00,11185.0,5665.0,5520.0
,18:00,9975.0,5259.0,4716.0
,19:00,6392.0,3231.0,3161.0
,20:00,4186.0,1956.0,2230.0
,21:00,3331.0,1575.0,1756.0
,22:00,2503.0,1141.0,1362.0
