Date,Time,All,N,S
Monday 1 September 2014,00:00,1239.0,467.0,772.0
,01:00,722.0,281.0,441.0
,02:00,448.0,230.0,218.0
,03:00,480.0,324.0,156.0
,04:00,1270.0,907.0,363.0
,05:00,2383.0,1337.0,1046.0
,06:00,4419.0,2294.0,2125.0
,07:00,10337.0,4956.0,5381.0
,08:00,11263.0,5794.0,5469.0
,09:00,8229.0,4124.0,4105.0
,10:00,7083.0,3669.0,3414.0
,11:00,7278.0,3780.0,3498.0
,12:00,7330.0,3785.0,3545.0
,13:00,7937.0,4157.0,3780.0
,14:00,7853.0,4030.0,3823.0
,15:00,8525.0,4423.0,4102.0
,16:00,10958.0,5612.0,5346.0
,17:00,12168.0,6013.0,6155.0
,18:00,9360.0,4957.0,4403.0
,19:00,5981.0,3133.0,2848.0
,20:00,4260.0,2100.0,2160.0
,21:00,3166.0,1478.0,1688.0
,22:00,2249.0,1030.0,1219.0
,23:00,1669.0,796.0,873.0
,Total,136607.0,69677.0,66930.0
Tuesday 2 September 2014,00:00,1225.0,351.0,874.0
,01:00,457.0,180.0,277.0
,02:00,347.0,185.0,162.0
,03:00,531.0,334.0,197.0
,04:00,1203.0,840.0,363.0
,05:00,2216.0,1340.0,876.0
,06:00,4301.0,2196.0,2105.0
,07:00,10750.0,5218.0,5532.0
,08:00,11961.0,5980.0,5981.0
,09:00,8655.0,4318.0,4337.0
,10:00,7050.0,3687.0,3363.0
,11:00,7024.0,3571.0,3453.0
,12:00,7349.0,3716.0,3633.0
,13:00,7567.0,3878.0,3689.0
,14:00,7873.0,3900.0,3973.0
,15:00,8661.0,4328.0,4333.0
,16:00,10868.0,5471.0,5397.0
,17:00,12206.0,5992.0,6214.0
,18:00,9575.0,4989.0,4586.0
,19:00,6165.0,3188.0,2977.0
,20:00,4740.0,2265.0,2475.0
,21:00,3480.0,1550.0,1930.0
,22:00,2536.0,1127.0,1409.0
,23:00,1748.0,822.0,926.0
,Total,138488.0,69426.0,69062.0
Wednesday 3 September 2014,00:00,1211.0,417.0,794.0
