datetime,dayOfWeek,month,time,northBound,southBound
2014/6/1 00:00,7,6,0,639,926
2014/6/1 01:00,7,6,100,469,766
2014/6/1 02:00,7,6,200,377,476
2014/6/1 03:00,7,6,300,412,262
2014/6/1 04:00,7,6,400,785,329
2014/6/1 05:00,7,6,500,737,463
2014/6/1 06:00,7,6,600,776,639
2014/6/1 07:00,7,6,700,1135,903
2014/6/1 08:00,7,6,800,1226,1183
2014/6/1 09:00,7,6,900,1583,1712
2014/6/1 10:00,7,6,1000,2318,2548
2014/6/1 11:00,7,6,1100,3050,3156
2014/6/1 12:00,7,6,1200,3584,3863
2014/6/1 13:00,7,6,1300,4055,3914
2014/6/1 14:00,7,6,1400,4101,3873
2014/6/1 15:00,7,6,1500,3929,3558
2014/6/1 16:00,7,6,1600,3669,3231
2014/6/1 17:00,7,6,1700,3622,3116
2014/6/1 18:00,7,6,1800,3424,3037
2014/6/1 19:00,7,6,1900,2786,2677
2014/6/1 20:00,7,6,2000,2136,2084
2014/6/1 21:00,7,6,2100,1413,1428
2014/6/1 22:00,7,6,2200,1052,1159
2014/6/1 23:00,7,6,2300,819,851
2014/6/2 00:00,1,6,0,493,954
2014/6/2 01:00,1,6,100,263,444
2014/6/2 02:00,1,6,200,204,185
2014/6/2 03:00,1,6,300,319,178
2014/6/2 04:00,1,6,400,853,376
2014/6/2 05:00,1,6,500,1009,629
2014/6/2 06:00,1,6,600,945,813
2014/6/2 07:00,1,6,700,1407,1284
2014/6/2 08:00,1,6,800,1433,1443
2014/6/2 09:00,1,6,900,1573,1772
2014/6/2 10:00,1,6,1000,2151,2337
2014/6/2 11:00,1,6,1100,2985,2978
2014/6/2 12:00,1,6,1200,3599,3578
2014/6/2 13:00,1,6,1300,4056,3862
2014/6/2 14:00,1,6,1400,4246,3764
2014/6/2 15:00,1,6,1500,4208,3499
2014/6/2 16:00,1,6,1600,4219,3588
2014/6/2 17:00,1,6,1700,4013,3567
2014/6/2 18:00,1,6,1800,3886,3337
2014/6/2 19:00,1,6,1900,3066,2923
2014/6/2 20:00,1,6,2000,2460,2267
2014/6/2 21:00,1,6,2100,1709,1553
2014/6/2 22:00,1,6,2200,1408,1286
2014/6/2 23:00,1,6,2300,806,1323
2014/6/3 00:00,2,6,0,383,852
2014/6/3 01:00,2,6,100,199,294
2014/6/3 02:00,2,6,200,197,181
2014/6/3 03:00,2,6,300,308,159
2014/6/3 04:00,2,6,400,957,388
2014/6/3 05:00,2,6,500,1475,982
2014/6/3 06:00,2,6,600,2225,2406
2014/6/3 07:00,2,6,700,5042,5402
2014/6/3 08:00,2,6,800,5772,5555
2014/6/3 09:00,2,6,900,4287,4174
2014/6/3 10:00,2,6,1000,3689,3544
2014/6/3 11:00,2,6,1100,3853,3653
2014/6/3 12:00,2,6,1200,3865,3819
2014/6/3 13:00,2,6,1300,4063,3740
2014/6/3 14:00,2,6,1400,4085,4002
2014/6/3 15:00,2,6,1500,4330,4287
2014/6/3 16:00,2,6,1600,5506,5207
2014/6/3 17:00,2,6,1700,6057,6175
2014/6/3 18:00,2,6,1800,5033,4510
2014/6/3 19:00,2,6,1900,3321,3136
2014/6/3 20:00,2,6,2000,2227,2218
2014/6/3 21:00,2,6,2100,1666,1881
2014/6/3 22:00,2,6,2200,1215,1376
2014/6/3 23:00,2,6,2300,788,958
2014/6/4 00:00,3,6,0,436,802
2014/6/4 01:00,3,6,100,201,436
2014/6/4 02:00,3,6,200,162,177
2014/6/4 03:00,3,6,300,312,175
2014/6/4 04:00,3,6,400,856,337
2014/6/4 05:00,3,6,500,1337,827
2014/6/4 06:00,3,6,600,2217,2236
2014/6/4 07:00,3,6,700,4782,5360
2014/6/4 08:00,3,6,800,5724,5614
2014/6/4 09:00,3,6,900,4660,4377
2014/6/4 10:00,3,6,1000,3674,3372
2014/6/4 11:00,3,6,1100,3578,3509
2014/6/4 12:00,3,6,1200,3727,3643
2014/6/4 13:00,3,6,1300,3789,4019
2014/6/4 14:00,3,6,1400,3973,3792
2014/6/4 15:00,3,6,1500,4274,3897
2014/6/4 16:00,3,6,1600,5470,5365
2014/6/4 17:00,3,6,1700,5879,5889
2014/6/4 18:00,3,6,1800,5309,4881
2014/6/4 19:00,3,6,1900,3338,3122
2014/6/4 20:00,3,6,2000,2346,2400
2014/6/4 21:00,3,6,2100,1846,1989
2014/6/4 22:00,3,6,2200,1193,1640
2014/6/4 23:00,3,6,2300,861,1044
2014/6/5 00:00,4,6,0,419,785
2014/6/5 01:00,4,6,100,251,394
2014/6/5 02:00,4,6,200,167,248
2014/6/5 03:00,4,6,300,349,176
2014/6/5 04:00,4,6,400,825,353
2014/6/5 05:00,4,6,500,1264,832
2014/6/5 06:00,4,6,600,2331,2279
2014/6/5 07:00,4,6,700,4994,5382
2014/6/5 08:00,4,6,800,5853,5685
2014/6/5 09:00,4,6,900,4544,4409
2014/6/5 10:00,4,6,1000,3701,3570
2014/6/5 11:00,4,6,1100,3717,3568
2014/6/5 12:00,4,6,1200,3597,3903
2014/6/5 13:00,4,6,1300,3969,3938
2014/6/5 14:00,4,6,1400,4041,4056
2014/6/5 15:00,4,6,1500,4387,4303
2014/6/5 16:00,4,6,1600,5689,5253
2014/6/5 17:00,4,6,1700,5987,6437
2014/6/5 18:00,4,6,1800,5141,4755
2014/6/5 19:00,4,6,1900,3418,3288
2014/6/5 20:00,4,6,2000,2438,2689
2014/6/5 21:00,4,6,2100,2022,2168
2014/6/5 22:00,4,6,2200,1400,1676
2014/6/5 23:00,4,6,2300,959,1217
2014/6/6 00:00,5,6,0,558,878
2014/6/6 01:00,5,6,100,259,499
2014/6/6 02:00,5,6,200,192,227
2014/6/6 03:00,5,6,300,340,220
2014/6/6 04:00,5,6,400,819,370
2014/6/6 05:00,5,6,500,1259,825
2014/6/6 06:00,5,6,600,2108,2219
2014/6/6 07:00,5,6,700,4821,4883
2014/6/6 08:00,5,6,800,5594,2658
2014/6/6 09:00,5,6,900,4165,3757
2014/6/6 10:00,5,6,1000,3699,3705
2014/6/6 11:00,5,6,1100,3924,3617
2014/6/6 12:00,5,6,1200,4057,4235
2014/6/6 13:00,5,6,1300,4482,4503
2014/6/6 14:00,5,6,1400,4810,4610
2014/6/6 15:00,5,6,1500,5269,5162
2014/6/6 16:00,5,6,1600,5817,5705
2014/6/6 17:00,5,6,1700,5430,6096
2014/6/6 18:00,5,6,1800,5037,4432
2014/6/6 19:00,5,6,1900,3481,3589
2014/6/6 20:00,5,6,2000,2480,2744
2014/6/6 21:00,5,6,2100,1974,2158
2014/6/6 22:00,5,6,2200,1370,1652
2014/6/6 23:00,5,6,2300,1053,1397
2014/6/7 00:00,6,6,0,589,1120
2014/6/7 01:00,6,6,100,337,484
2014/6/7 02:00,6,6,200,268,305
2014/6/7 03:00,6,6,300,358,266
2014/6/7 04:00,6,6,400,789,356
2014/6/7 05:00,6,6,500,859,586
2014/6/7 06:00,6,6,600,1090,1008
2014/6/7 07:00,6,6,700,1919,1483
2014/6/7 08:00,6,6,800,2229,2181
2014/6/7 09:00,6,6,900,2857,2928
2014/6/7 10:00,6,6,1000,3127,3233
2014/6/7 11:00,6,6,1100,3742,3517
2014/6/7 12:00,6,6,1200,3885,4239
2014/6/7 13:00,6,6,1300,4278,4384
2014/6/7 14:00,6,6,1400,4004,4312
2014/6/7 15:00,6,6,1500,3692,3816
2014/6/7 16:00,6,6,1600,3650,3528
2014/6/7 17:00,6,6,1700,3764,3674
2014/6/7 18:00,6,6,1800,3359,3310
2014/6/7 19:00,6,6,1900,2472,2637
2014/6/7 20:00,6,6,2000,1829,2025
2014/6/7 21:00,6,6,2100,1270,1487
2014/6/7 22:00,6,6,2200,1045,1102
2014/6/7 23:00,6,6,2300,865,967
2014/6/8 00:00,7,6,0,640,1022
2014/6/8 01:00,7,6,100,410,695
2014/6/8 02:00,7,6,200,329,357
2014/6/8 03:00,7,6,300,421,292
2014/6/8 04:00,7,6,400,720,350
2014/6/8 05:00,7,6,500,685,572
2014/6/8 06:00,7,6,600,718,760
2014/6/8 07:00,7,6,700,1144,869
2014/6/8 08:00,7,6,800,1239,1307
2014/6/8 09:00,7,6,900,1738,1714
2014/6/8 10:00,7,6,1000,2224,2179
2014/6/8 11:00,7,6,1100,2946,2819
2014/6/8 12:00,7,6,1200,3792,3508
2014/6/8 13:00,7,6,1300,4428,3875
2014/6/8 14:00,7,6,1400,4181,3917
2014/6/8 15:00,7,6,1500,3700,3583
2014/6/8 16:00,7,6,1600,3652,3463
2014/6/8 17:00,7,6,1700,3631,3469
2014/6/8 18:00,7,6,1800,3785,3729
2014/6/8 19:00,7,6,1900,3185,2925
2014/6/8 20:00,7,6,2000,2391,2445
2014/6/8 21:00,7,6,2100,1678,1858
2014/6/8 22:00,7,6,2200,1188,1313
2014/6/8 23:00,7,6,2300,775,1066
2014/6/9 00:00,1,6,0,457,916
2014/6/9 01:00,1,6,100,221,342
2014/6/9 02:00,1,6,200,152,213
2014/6/9 03:00,1,6,300,283,210
2014/6/9 04:00,1,6,400,949,391
2014/6/9 05:00,1,6,500,1352,908
2014/6/9 06:00,1,6,600,2298,2207
2014/6/9 07:00,1,6,700,4982,5057
2014/6/9 08:00,1,6,800,5956,5598
2014/6/9 09:00,1,6,900,4299,4359
2014/6/9 10:00,1,6,1000,3589,3340
2014/6/9 11:00,1,6,1100,3534,3319
2014/6/9 12:00,1,6,1200,3640,3607
2014/6/9 13:00,1,6,1300,3829,3739
2014/6/9 14:00,1,6,1400,3803,3777
2014/6/9 15:00,1,6,1500,4157,4023
2014/6/9 16:00,1,6,1600,5517,5080
2014/6/9 17:00,1,6,1700,5947,6014
2014/6/9 18:00,1,6,1800,4679,4383
2014/6/9 19:00,1,6,1900,2918,2875
2014/6/9 20:00,1,6,2000,1968,2207
2014/6/9 21:00,1,6,2100,1469,1725
2014/6/9 22:00,1,6,2200,1142,1297
2014/6/9 23:00,1,6,2300,725,1069
2014/6/10 00:00,2,6,0,422,824
2014/6/10 01:00,2,6,100,193,300
2014/6/10 02:00,2,6,200,176,199
2014/6/10 03:00,2,6,300,335,182
2014/6/10 04:00,2,6,400,854,388
2014/6/10 05:00,2,6,500,1406,843
2014/6/10 06:00,2,6,600,2227,2196
2014/6/10 07:00,2,6,700,4963,5377
2014/6/10 08:00,2,6,800,5946,5629
2014/6/10 09:00,2,6,900,4347,4282
2014/6/10 10:00,2,6,1000,3578,3433
2014/6/10 11:00,2,6,1100,3554,3317
2014/6/10 12:00,2,6,1200,3630,3580
2014/6/10 13:00,2,6,1300,3794,3658
2014/6/10 14:00,2,6,1400,3910,3903
2014/6/10 15:00,2,6,1500,4318,4152
2014/6/10 16:00,2,6,1600,5466,5284
2014/6/10 17:00,2,6,1700,5944,6230
2014/6/10 18:00,2,6,1800,4982,4334
2014/6/10 19:00,2,6,1900,3153,3201
2014/6/10 20:00,2,6,2000,2035,2277
2014/6/10 21:00,2,6,2100,1648,1925
2014/6/10 22:00,2,6,2200,1280,1619
2014/6/10 23:00,2,6,2300,900,974
2014/6/11 00:00,3,6,0,442,860
2014/6/11 01:00,3,6,100,215,428
2014/6/11 02:00,3,6,200,169,190
2014/6/11 03:00,3,6,300,321,192
2014/6/11 04:00,3,6,400,851,362
2014/6/11 05:00,3,6,500,1248,839
2014/6/11 06:00,3,6,600,2277,2201
2014/6/11 07:00,3,6,700,5023,5421
2014/6/11 08:00,3,6,800,5931,5742
2014/6/11 09:00,3,6,900,4441,4245
2014/6/11 10:00,3,6,1000,3597,3496
2014/6/11 11:00,3,6,1100,3662,3447
2014/6/11 12:00,3,6,1200,3678,3687
2014/6/11 13:00,3,6,1300,3864,3803
2014/6/11 14:00,3,6,1400,3749,3959
2014/6/11 15:00,3,6,1500,4411,4107
2014/6/11 16:00,3,6,1600,5564,5273
2014/6/11 17:00,3,6,1700,5845,6426
2014/6/11 18:00,3,6,1800,5202,4707
2014/6/11 19:00,3,6,1900,3333,3154
2014/6/11 20:00,3,6,2000,2288,2462
2014/6/11 21:00,3,6,2100,1857,2315
2014/6/11 22:00,3,6,2200,1288,1665
2014/6/11 23:00,3,6,2300,913,1158
2014/6/12 00:00,4,6,0,434,871
2014/6/12 01:00,4,6,100,252,390
2014/6/12 02:00,4,6,200,200,244
2014/6/12 03:00,4,6,300,315,173
2014/6/12 04:00,4,6,400,830,364
2014/6/12 05:00,4,6,500,1352,859
2014/6/12 06:00,4,6,600,2307,2250
2014/6/12 07:00,4,6,700,5085,5478
2014/6/12 08:00,4,6,800,5982,5615
2014/6/12 09:00,4,6,900,4338,4401
2014/6/12 10:00,4,6,1000,3752,3618
2014/6/12 11:00,4,6,1100,3691,3517
2014/6/12 12:00,4,6,1200,3696,3833
2014/6/12 13:00,4,6,1300,3926,3895
2014/6/12 14:00,4,6,1400,4100,4069
2014/6/12 15:00,4,6,1500,4389,4433
