datetime,dayOfWeek,month,time,northBound,southBound
2014/3/1 00:00,6,3,0,561,673
2014/3/1 01:00,6,3,100,388,372
2014/3/1 02:00,6,3,200,254,258
2014/3/1 03:00,6,3,300,325,239
2014/3/1 04:00,6,3,400,717,362
2014/3/1 05:00,6,3,500,859,607
2014/3/1 06:00,6,3,600,1062,898
2014/3/1 07:00,6,3,700,1661,1466
2014/3/1 08:00,6,3,800,2263,2348
2014/3/1 09:00,6,3,900,3133,3106
2014/3/1 10:00,6,3,1000,3412,3333
2014/3/1 11:00,6,3,1100,3866,3772
2014/3/1 12:00,6,3,1200,4138,4231
2014/3/1 13:00,6,3,1300,4252,4485
2014/3/1 14:00,6,3,1400,4205,4343
2014/3/1 15:00,6,3,1500,3809,3913
2014/3/1 16:00,6,3,1600,3815,4059
2014/3/1 17:00,6,3,1700,3688,3534
2014/3/1 18:00,6,3,1800,2986,2950
2014/3/1 19:00,6,3,1900,2219,2281
2014/3/1 20:00,6,3,2000,1648,1819
2014/3/1 21:00,6,3,2100,1028,1258
2014/3/1 22:00,6,3,2200,941,921
2014/3/1 23:00,6,3,2300,755,1009
2014/3/2 00:00,7,3,0,487,765
2014/3/2 01:00,7,3,100,346,497
2014/3/2 02:00,7,3,200,257,269
2014/3/2 03:00,7,3,300,304,259
2014/3/2 04:00,7,3,400,478,236
2014/3/2 05:00,7,3,500,630,406
2014/3/2 06:00,7,3,600,659,517
2014/3/2 07:00,7,3,700,875,791
2014/3/2 08:00,7,3,800,1134,1006
2014/3/2 09:00,7,3,900,1882,1812
2014/3/2 10:00,7,3,1000,2439,2182
2014/3/2 11:00,7,3,1100,2939,2983
2014/3/2 12:00,7,3,1200,3596,3859
2014/3/2 13:00,7,3,1300,4045,3985
2014/3/2 14:00,7,3,1400,4016,3933
2014/3/2 15:00,7,3,1500,3828,3592
2014/3/2 16:00,7,3,1600,3855,3485
2014/3/2 17:00,7,3,1700,3659,3575
2014/3/2 18:00,7,3,1800,3523,3212
2014/3/2 19:00,7,3,1900,2789,2638
2014/3/2 20:00,7,3,2000,2140,2278
2014/3/2 21:00,7,3,2100,1596,1586
2014/3/2 22:00,7,3,2200,1046,1270
2014/3/2 23:00,7,3,2300,644,954
2014/3/3 00:00,1,3,0,346,602
2014/3/3 01:00,1,3,100,171,199
2014/3/3 02:00,1,3,200,128,150
2014/3/3 03:00,1,3,300,246,148
2014/3/3 04:00,1,3,400,704,278
2014/3/3 05:00,1,3,500,1295,854
2014/3/3 06:00,1,3,600,2064,2202
2014/3/3 07:00,1,3,700,4615,5505
2014/3/3 08:00,1,3,800,6151,3565
2014/3/3 09:00,1,3,900,4375,5003
2014/3/3 10:00,1,3,1000,3568,3306
2014/3/3 11:00,1,3,1100,3195,3179
2014/3/3 12:00,1,3,1200,3435,3421
2014/3/3 13:00,1,3,1300,3548,3411
2014/3/3 14:00,1,3,1400,3682,3522
2014/3/3 15:00,1,3,1500,3991,3915
2014/3/3 16:00,1,3,1600,5157,5025
2014/3/3 17:00,1,3,1700,5761,5851
2014/3/3 18:00,1,3,1800,4790,4319
2014/3/3 19:00,1,3,1900,2691,2731
2014/3/3 20:00,1,3,2000,1739,2059
2014/3/3 21:00,1,3,2100,1239,1474
2014/3/3 22:00,1,3,2200,1007,1091
2014/3/3 23:00,1,3,2300,560,786
2014/3/4 00:00,2,3,0,310,469
2014/3/4 01:00,2,3,100,158,187
2014/3/4 02:00,2,3,200,143,168
2014/3/4 03:00,2,3,300,239,156
2014/3/4 04:00,2,3,400,603,313
2014/3/4 05:00,2,3,500,1159,706
2014/3/4 06:00,2,3,600,2034,2119
2014/3/4 07:00,2,3,700,4747,5671
2014/3/4 08:00,2,3,800,5988,5448
2014/3/4 09:00,2,3,900,4367,4134
2014/3/4 10:00,2,3,1000,3494,3256
2014/3/4 11:00,2,3,1100,3446,3113
2014/3/4 12:00,2,3,1200,3423,3445
2014/3/4 13:00,2,3,1300,3554,3601
2014/3/4 14:00,2,3,1400,3681,3692
2014/3/4 15:00,2,3,1500,4180,3965
2014/3/4 16:00,2,3,1600,5198,5322
2014/3/4 17:00,2,3,1700,5693,4924
2014/3/4 18:00,2,3,1800,5039,4876
2014/3/4 19:00,2,3,1900,3050,2903
2014/3/4 20:00,2,3,2000,1929,2263
2014/3/4 21:00,2,3,2100,1561,1753
2014/3/4 22:00,2,3,2200,1139,1441
2014/3/4 23:00,2,3,2300,644,775
2014/3/5 00:00,3,3,0,283,616
2014/3/5 01:00,3,3,100,180,215
2014/3/5 02:00,3,3,200,145,166
2014/3/5 03:00,3,3,300,233,155
2014/3/5 04:00,3,3,400,585,289
2014/3/5 05:00,3,3,500,1114,676
2014/3/5 06:00,3,3,600,1956,2115
2014/3/5 07:00,3,3,700,4831,5673
2014/3/5 08:00,3,3,800,5892,5671
2014/3/5 09:00,3,3,900,4242,4126
2014/3/5 10:00,3,3,1000,3494,3214
2014/3/5 11:00,3,3,1100,3424,3225
2014/3/5 12:00,3,3,1200,3537,3723
2014/3/5 13:00,3,3,1300,3734,3715
2014/3/5 14:00,3,3,1400,3807,3877
2014/3/5 15:00,3,3,1500,4247,4014
2014/3/5 16:00,3,3,1600,5410,5260
2014/3/5 17:00,3,3,1700,5985,6044
2014/3/5 18:00,3,3,1800,5145,4430
2014/3/5 19:00,3,3,1900,3102,2978
2014/3/5 20:00,3,3,2000,2076,2262
2014/3/5 21:00,3,3,2100,1579,1680
2014/3/5 22:00,3,3,2200,1261,1640
2014/3/5 23:00,3,3,2300,698,942
2014/3/6 00:00,4,3,0,372,511
2014/3/6 01:00,4,3,100,198,230
2014/3/6 02:00,4,3,200,137,190
2014/3/6 03:00,4,3,300,235,154
2014/3/6 04:00,4,3,400,702,300
2014/3/6 05:00,4,3,500,1140,734
2014/3/6 06:00,4,3,600,2029,2139
2014/3/6 07:00,4,3,700,4856,5484
2014/3/6 08:00,4,3,800,6011,5693
2014/3/6 09:00,4,3,900,4493,4305
2014/3/6 10:00,4,3,1000,3499,3370
2014/3/6 11:00,4,3,1100,3385,3357
2014/3/6 12:00,4,3,1200,3638,3490
2014/3/6 13:00,4,3,1300,3772,3660
2014/3/6 14:00,4,3,1400,3796,3861
2014/3/6 15:00,4,3,1500,4184,4173
2014/3/6 16:00,4,3,1600,5510,5403
2014/3/6 17:00,4,3,1700,5868,5864
2014/3/6 18:00,4,3,1800,5133,4691
2014/3/6 19:00,4,3,1900,3440,3347
2014/3/6 20:00,4,3,2000,2282,2564
2014/3/6 21:00,4,3,2100,1808,1938
2014/3/6 22:00,4,3,2200,1433,1827
2014/3/6 23:00,4,3,2300,666,1135
2014/3/7 00:00,5,3,0,377,595
2014/3/7 01:00,5,3,100,224,242
2014/3/7 02:00,5,3,200,163,220
2014/3/7 03:00,5,3,300,255,194
2014/3/7 04:00,5,3,400,621,302
2014/3/7 05:00,5,3,500,1157,759
2014/3/7 06:00,5,3,600,2041,2131
2014/3/7 07:00,5,3,700,4918,5250
2014/3/7 08:00,5,3,800,5425,5355
2014/3/7 09:00,5,3,900,4433,4224
2014/3/7 10:00,5,3,1000,3665,3509
2014/3/7 11:00,5,3,1100,3704,3433
2014/3/7 12:00,5,3,1200,4017,4253
2014/3/7 13:00,5,3,1300,4247,4313
2014/3/7 14:00,5,3,1400,4573,4573
2014/3/7 15:00,5,3,1500,5163,5051
2014/3/7 16:00,5,3,1600,5713,6012
2014/3/7 17:00,5,3,1700,5760,6021
2014/3/7 18:00,5,3,1800,4800,4667
2014/3/7 19:00,5,3,1900,3447,3492
2014/3/7 20:00,5,3,2000,2312,2529
2014/3/7 21:00,5,3,2100,1765,1944
2014/3/7 22:00,5,3,2200,1309,1560
2014/3/7 23:00,5,3,2300,822,1154
2014/3/8 00:00,6,3,0,482,658
2014/3/8 01:00,6,3,100,332,363
2014/3/8 02:00,6,3,200,235,237
2014/3/8 03:00,6,3,300,297,231
