Date,Time,All,N,S
Sunday 1 February 2015,00:00,1308.0,519.0,789.0
,01:00,882.0,402.0,480.0
,02:00,589.0,274.0,315.0
,03:00,504.0,294.0,210.0
,04:00,869.0,553.0,316.0
,05:00,960.0,604.0,356.0
,06:00,1078.0,560.0,518.0
,07:00,1633.0,874.0,759.0
,08:00,2218.0,1144.0,1074.0
,09:00,3463.0,1745.0,1718.0
,10:00,4728.0,2471.0,2257.0
,11:00,5770.0,2952.0,2818.0
,12:00,7193.0,3538.0,3655.0
,13:00,8362.0,4147.0,4215.0
,14:00,8426.0,4380.0,4046.0
,15:00,8142.0,3968.0,4174.0
,16:00,8102.0,4093.0,4009.0
,17:00,7945.0,3964.0,3981.0
,18:00,7124.0,3669.0,3455.0
,19:00,5681.0,2873.0,2808.0
,20:00,4273.0,2140.0,2133.0
,21:00,2950.0,1479.0,1471.0
,22:00,2187.0,968.0,1219.0
,23:00,1596.0,683.0,913.0
,Total,95983.0,48294.0,47689.0
Monday 2 February 2015,00:00,968.0,274.0,694.0
,01:00,357.0,145.0,212.0
,02:00,271.0,144.0,127.0
,03:00,442.0,280.0,162.0
,04:00,1064.0,759.0,305.0
,05:00,2152.0,1277.0,875.0
,06:00,4321.0,2081.0,2240.0
,07:00,10628.0,5068.0,5560.0
,08:00,10596.0,6005.0,4591.0
,09:00,8423.0,4340.0,4083.0
,10:00,6763.0,3484.0,3279.0
,11:00,6873.0,3517.0,3356.0
,12:00,7056.0,3575.0,3481.0
,13:00,7304.0,3745.0,3559.0
,14:00,7652.0,3856.0,3796.0
,15:00,8343.0,4154.0,4189.0
,16:00,10867.0,5424.0,5443.0
,17:00,11598.0,5760.0,5838.0
,18:00,8593.0,4465.0,4128.0
,19:00,5750.0,2935.0,2815.0
,20:00,3922.0,1883.0,2039.0
,21:00,2973.0,1365.0,1608.0
,22:00,2165.0,948.0,1217.0
,23:00,1362.0,604.0,758.0
,Total,130443.0,66088.0,64355.0
Tuesday 3 February 2015,00:00,863.0,290.0,573.0
,01:00,381.0,164.0,217.0
,02:00,308.0,165.0,143.0
,03:00,440.0,264.0,176.0
,04:00,974.0,644.0,330.0
,05:00,1822.0,1134.0,688.0
,06:00,4147.0,2083.0,2064.0
,07:00,10506.0,4874.0,5632.0
,08:00,9953.0,5875.0,4078.0
