Date,Time,All,N,S
Thursday 1 January 2015,00:00,775,374,401
,01:00,1251,626,625
,02:00,960,512,448
,03:00,781,422,359
,04:00,754,478,276
,05:00,849,497,352
,06:00,905,511,394
,07:00,1346,797,549
,08:00,1417,725,692
,09:00,1392,719,673
,10:00,1998,1004,994
,11:00,3004,1511,1493
,12:00,4692,2451,2241
,13:00,5691,2945,2746
,14:00,6190,3166,3024
,15:00,5983,2970,3013
,16:00,5433,2744,2689
,17:00,5113,2551,2562
,18:00,4237,2153,2084
,19:00,3539,1796,1743
,20:00,2969,1408,1561
,21:00,2135,1056,1079
,22:00,1658,761,897
,23:00,1371,600,771
,Total,64443,32777,31666
Friday 2 January 2015,00:00,1073,413,660
,01:00,469,203,266
,02:00,338,171,167
,03:00,624,357,267
,04:00,1135,684,451
,05:00,1749,931,818
,06:00,2260,1227,1033
,07:00,4295,2151,2144
,08:00,5363,2739,2624
,09:00,4888,2534,2354
,10:00,5599,2912,2687
,11:00,6574,3351,3223
,12:00,7828,3983,3845
,13:00,8454,4380,4074
,14:00,8705,4356,4349
,15:00,8803,4466,4337
,16:00,8841,4464,4377
,17:00,8212,4123,4089
,18:00,6565,3280,3285
,19:00,5084,2563,2521
,20:00,3957,1888,2069
,21:00,3009,1583,1426
,22:00,2281,1124,1157
,23:00,1813,731,1082
,Total,107919,54614,53305
Saturday 3 January 2015,00:00,1436,466,970
,01:00,720,316,404
,02:00,459,231,228
,03:00,567,365,202
,04:00,1129,751,378
,05:00,1534,872,662
,06:00,1891,1040,851
,07:00,2264,1253,1011
,08:00,2998,1558,1440
,09:00,4177,2142,2035
,10:00,5050,2743,2307
,11:00,6362,3220,3142
,12:00,7554,3801,3753
,13:00,7932,3987,3945
,14:00,7862,3945,3917
,15:00,7144,3632,3512
,16:00,7338,3620,3718
,17:00,6994,3473,3521
,18:00,5938,3134,2804
,19:00,4749,2451,2298
,20:00,3692,1621,2071
,21:00,2448,1157,1291
,22:00,1765,864,901
,23:00,1590,772,818
,Total,93593,47414,46179
Sunday 4 January 2015,00:00,1461,538,923
,01:00,941,333,608
,02:00,493,252,241
,03:00,528,327,201
,04:00,1052,718,334
,05:00,1325,708,617
,06:00,1378,750,628
,07:00,1845,1084,761
,08:00,2153,1177,976
,09:00,2884,1463,1421
,10:00,3894,1945,1949
,11:00,5001,2480,2521
,12:00,6522,3383,3139
,13:00,7801,4087,3714
,14:00,8230,4246,3984
,15:00,7674,3922,3752
,16:00,7407,3767,3640
,17:00,7117,3672,3445
,18:00,6285,3220,3065
,19:00,5152,2621,2531
,20:00,3783,1868,1915
,21:00,2653,1334,1319
,22:00,1693,808,885
,23:00,1435,615,820
,Total,88707,45318,43389
Monday 5 January 2015,00:00,1143,409,734
,01:00,661,214,447
,02:00,317,146,171
,03:00,547,349,198
,04:00,1233,820,413
,05:00,2232,1232,1000
,06:00,4337,2106,2231
,07:00,10695,4907,5788
,08:00,9967,5644,4323
,09:00,7503,3914,3589
,10:00,6237,3309,2928
,11:00,6161,3159,3002
,12:00,6590,3295,3295
,13:00,6943,3568,3375
,14:00,7330,3675,3655
,15:00,8058,3933,4125
,16:00,10354,5269,5085
,17:00,11433,5595,5838
,18:00,7920,4061,3859
,19:00,4758,2422,2336
,20:00,3303,1510,1793
,21:00,2472,1175,1297
,22:00,1732,825,907
,23:00,1256,559,697
,Total,123182,62096,61086
Tuesday 6 January 2015,00:00,950,334,616
,01:00,452,180,272
,02:00,326,171,155
,03:00,479,334,145
,04:00,1117,716,401
,05:00,1924,1101,823
,06:00,4126,2012,2114
,07:00,10720,5098,5622
,08:00,10002,5451,4551
,09:00,7915,4143,3772
,10:00,6476,3409,3067
,11:00,6518,3357,3161
,12:00,6714,3301,3413
,13:00,6994,3588,3406
,14:00,7277,3589,3688
,15:00,7912,3953,3959
,16:00,10615,5297,5318
,17:00,11521,5729,5792
,18:00,8600,4582,4018
,19:00,5195,2619,2576
,20:00,3757,1695,2062
,21:00,2666,1225,1441
,22:00,1959,959,1000
,23:00,1427,637,790
,Total,125642,63480,62162
Wednesday 7 January 2015,00:00,1022,373,649
,01:00,439,194,245
,02:00,314,158,156
,03:00,471,295,176
,04:00,1024,677,347
,05:00,1895,1119,776
,06:00,4084,2000,2084
,07:00,10677,5061,5616
,08:00,9952,5612,4340
,09:00,8228,4244,3984
,10:00,6405,3386,3019
