Date,Time,All,N,S
Sunday 1 March 2015,00:00,1434,536,898
,01:00,926,403,523
,02:00,582,272,310
,03:00,551,323,228
,04:00,972,678,294
,05:00,1141,632,509
,06:00,1309,746,563
,07:00,1993,1099,894
,08:00,2578,1368,1210
,09:00,4099,2058,2041
,10:00,5080,2680,2400
,11:00,6505,3437,3068
,12:00,7025,3570,3455
,13:00,8384,4259,4125
,14:00,7997,4364,3633
,15:00,6230,3243,2987
,16:00,5518,2765,2753
,17:00,7001,3396,3605
,18:00,6538,3264,3274
,19:00,5603,2920,2683
,20:00,4356,2174,2182
,21:00,3120,1513,1607
,22:00,2112,1011,1101
,23:00,1607,686,921
,Total,92661,47397,45264
Monday 2 March 2015,00:00,1243,364,879
,01:00,696,197,499
,02:00,371,164,207
,03:00,456,293,163
,04:00,1056,718,338
,05:00,2175,1323,852
,06:00,4290,2030,2260
,07:00,10313,5096,5217
,08:00,9061,5917,3144
,09:00,8454,4392,4062
,10:00,7644,3668,3976
,11:00,6965,3551,3414
,12:00,7114,3583,3531
,13:00,7348,3690,3658
,14:00,7545,3822,3723
,15:00,8681,4314,4367
,16:00,9133,3718,5415
,17:00,11819,6378,5441
,18:00,9319,4693,4626
,19:00,5624,2765,2859
,20:00,4066,1908,2158
,21:00,2978,1469,1509
,22:00,2236,928,1308
,23:00,1368,564,804
,Total,129955,65545,64410
Tuesday 3 March 2015,00:00,997,335,662
,01:00,439,177,262
,02:00,383,161,222
,03:00,439,272,167
,04:00,1142,799,343
,05:00,2096,1300,796
,06:00,4310,2069,2241
,07:00,10262,5086,5176
,08:00,8510,5897,2613
,09:00,8347,4689,3658
,10:00,6877,3787,3090
,11:00,7016,3587,3429
,12:00,7312,3689,3623
,13:00,7492,3827,3665
,14:00,7835,3968,3867
,15:00,8839,4336,4503
,16:00,11284,5656,5628
,17:00,11582,5741,5841
,18:00,9556,5096,4460
,19:00,6360,3276,3084
,20:00,4441,2050,2391
,21:00,3555,1615,1940
,22:00,2498,1112,1386
,23:00,1600,695,905
,Total,133172,69220,63952
Wednesday 4 March 2015,00:00,986,368,618
,01:00,456,187,269
,02:00,376,187,189
,03:00,475,291,184
,04:00,1042,676,366
,05:00,1998,1240,758
,06:00,4497,2187,2310
,07:00,10757,5453,5304
,08:00,9115,6017,3098
,09:00,8824,4379,4445
,10:00,7283,3783,3500
,11:00,6993,3577,3416
,12:00,7328,3741,3587
,13:00,7816,3990,3826
,14:00,7913,3957,3956
,15:00,8948,4456,4492
,16:00,11447,5768,5679
,17:00,12040,5987,6053
,18:00,10046,5209,4837
,19:00,6653,3289,3364
,20:00,4640,2200,2440
,21:00,3663,1706,1957
,22:00,2901,1239,1662
,23:00,1786,814,972
,Total,137983,70701,67282
Thursday 5 March 2015,00:00,994,371,623
,01:00,428,178,250
,02:00,374,170,204
,03:00,468,297,171
,04:00,1082,723,359
,05:00,2003,1199,804
,06:00,4454,2091,2363
,07:00,10726,5514,5212
,08:00,10582,5886,4696
,09:00,8487,4532,3955
,10:00,7378,3825,3553
,11:00,7370,3861,3509
,12:00,7601,3631,3970
,13:00,7989,4043,3946
,14:00,8304,4164,4140
,15:00,9051,4515,4536
,16:00,11491,5784,5707
,17:00,12134,5928,6206
,18:00,9527,5014,4513
,19:00,6858,3357,3501
,20:00,4905,2309,2596
,21:00,3925,1874,2051
,22:00,3168,1308,1860
,23:00,1867,818,1049
,Total,141166,71392,69774
Friday 6 March 2015,00:00,1173,446,727
,01:00,481,225,256
,02:00,378,163,215
,03:00,553,348,205
,04:00,1153,784,369
,05:00,1993,1237,756
,06:00,4494,2154,2340
,07:00,11343,5432,5911
,08:00,9963,5666,4297
,09:00,8232,4219,4013
,10:00,7562,3873,3689
,11:00,7625,3876,3749
,12:00,8521,4183,4338
,13:00,9002,4476,4526
,14:00,9804,4881,4923
,15:00,11183,5253,5930
,16:00,12208,6099,6109
,17:00,11615,5462,6153
,18:00,9572,4898,4674
,19:00,7056,3464,3592
,20:00,5074,2386,2688
,21:00,3825,1883,1942
,22:00,3317,1527,1790
,23:00,2290,907,1383
,Total,148417,73842,74575
Saturday 7 March 2015,00:00,1495,553,942
,01:00,752,364,388
,02:00,509,260,249
,03:00,592,369,223
,04:00,1095,739,356
,05:00,1437,822,615
,06:00,1894,993,901
,07:00,3234,1782,1452
,08:00,4639,2256,2383
,09:00,6696,3566,3130
,10:00,7159,3649,3510
,11:00,7960,3951,4009
,12:00,9114,4451,4663
,13:00,9338,4630,4708
,14:00,8868,4356,4512
,15:00,8504,4162,4342
,16:00,8191,4178,4013
,17:00,7472,3833,3639
,18:00,6829,3409,3420
,19:00,5266,2497,2769
,20:00,3710,1817,1893
,21:00,2748,1201,1547
,22:00,2001,945,1056
,23:00,1894,829,1065
,Total,111397,55612,55785
Sunday 8 March 2015,00:00,1345,532,813
,01:00,916,395,521
,02:00,554,265,289
,03:00,582,355,227
,04:00,888,599,289
,05:00,1117,655,462
,06:00,1192,613,579
,07:00,1847,1059,788
,08:00,2728,1486,1242
,09:00,4033,2137,1896
,10:00,5328,2712,2616
,11:00,6348,3333,3015
,12:00,8214,4090,4124
,13:00,9112,4628,4484
,14:00,9138,4696,4442
,15:00,8327,4318,4009
,16:00,8086,3988,4098
,17:00,8057,4072,3985
,18:00,7416,3729,3687
