datetime,dayOfWeek,month,time,northBound,southBound
2015/8/1 00:00,6,8,0,710,1036
2015/8/1 01:00,6,8,100,401,740
2015/8/1 02:00,6,8,200,330,350
2015/8/1 03:00,6,8,300,471,350
2015/8/1 04:00,6,8,400,955,458
2015/8/1 05:00,6,8,500,955,661
2015/8/1 06:00,6,8,600,1194,1155
2015/8/1 07:00,6,8,700,1798,1468
2015/8/1 08:00,6,8,800,2161,1971
2015/8/1 09:00,6,8,900,2936,2783
2015/8/1 10:00,6,8,1000,3611,3531
2015/8/1 11:00,6,8,1100,4215,4438
2015/8/1 12:00,6,8,1200,4422,4937
2015/8/1 13:00,6,8,1300,4729,4892
2015/8/1 14:00,6,8,1400,4569,4614
2015/8/1 15:00,6,8,1500,4485,4336
2015/8/1 16:00,6,8,1600,3957,4107
2015/8/1 17:00,6,8,1700,3583,3858
2015/8/1 18:00,6,8,1800,3223,3773
2015/8/1 19:00,6,8,1900,2654,3006
2015/8/1 20:00,6,8,2000,1946,2607
2015/8/1 21:00,6,8,2100,1466,1490
2015/8/1 22:00,6,8,2200,1169,1254
2015/8/1 23:00,6,8,2300,956,954
2015/8/2 00:00,7,8,0,663,1035
2015/8/2 01:00,7,8,100,426,854
2015/8/2 02:00,7,8,200,340,351
2015/8/2 03:00,7,8,300,547,294
2015/8/2 04:00,7,8,400,871,365
2015/8/2 05:00,7,8,500,783,543
2015/8/2 06:00,7,8,600,894,750
2015/8/2 07:00,7,8,700,1220,937
2015/8/2 08:00,7,8,800,1448,1184
2015/8/2 09:00,7,8,900,1965,1652
2015/8/2 10:00,7,8,1000,2574,2438
2015/8/2 11:00,7,8,1100,3382,3115
2015/8/2 12:00,7,8,1200,4368,3945
2015/8/2 13:00,7,8,1300,4515,4241
2015/8/2 14:00,7,8,1400,4435,4185
2015/8/2 15:00,7,8,1500,3804,3703
2015/8/2 16:00,7,8,1600,3579,3467
2015/8/2 17:00,7,8,1700,3564,3674
2015/8/2 18:00,7,8,1800,3265,3905
2015/8/2 19:00,7,8,1900,2538,2847
2015/8/2 20:00,7,8,2000,2070,2275
2015/8/2 21:00,7,8,2100,1510,1449
2015/8/2 22:00,7,8,2200,1014,1288
2015/8/2 23:00,7,8,2300,762,869
2015/8/3 00:00,1,8,0,513,992
2015/8/3 01:00,1,8,100,358,586
2015/8/3 02:00,1,8,200,286,253
2015/8/3 03:00,1,8,300,466,280
2015/8/3 04:00,1,8,400,913,337
2015/8/3 05:00,1,8,500,1040,686
2015/8/3 06:00,1,8,600,1052,993
2015/8/3 07:00,1,8,700,1440,1251
2015/8/3 08:00,1,8,800,1522,1360
2015/8/3 09:00,1,8,900,2025,1708
2015/8/3 10:00,1,8,1000,2649,2378
2015/8/3 11:00,1,8,1100,3449,3324
2015/8/3 12:00,1,8,1200,4142,4016
2015/8/3 13:00,1,8,1300,4513,4296
2015/8/3 14:00,1,8,1400,4389,4366
2015/8/3 15:00,1,8,1500,4440,4070
2015/8/3 16:00,1,8,1600,4233,4195
2015/8/3 17:00,1,8,1700,4261,3957
2015/8/3 18:00,1,8,1800,3972,3767
2015/8/3 19:00,1,8,1900,3073,3275
2015/8/3 20:00,1,8,2000,2466,2467
2015/8/3 21:00,1,8,2100,1868,1758
2015/8/3 22:00,1,8,2200,1303,1493
2015/8/3 23:00,1,8,2300,894,1087
2015/8/4 00:00,2,8,0,475,940
2015/8/4 01:00,2,8,100,258,527
2015/8/4 02:00,2,8,200,198,223
2015/8/4 03:00,2,8,300,450,190
2015/8/4 04:00,2,8,400,958,374
2015/8/4 05:00,2,8,500,1297,924
2015/8/4 06:00,2,8,600,2359,2352
2015/8/4 07:00,2,8,700,5091,4926
2015/8/4 08:00,2,8,800,5655,4962
2015/8/4 09:00,2,8,900,4346,3966
2015/8/4 10:00,2,8,1000,3967,3785
2015/8/4 11:00,2,8,1100,4225,4031
2015/8/4 12:00,2,8,1200,4266,4263
2015/8/4 13:00,2,8,1300,4263,4270
2015/8/4 14:00,2,8,1400,4516,4273
2015/8/4 15:00,2,8,1500,4676,4538
2015/8/4 16:00,2,8,1600,5830,5700
2015/8/4 17:00,2,8,1700,5888,6357
2015/8/4 18:00,2,8,1800,5123,4833
2015/8/4 19:00,2,8,1900,3192,3603
2015/8/4 20:00,2,8,2000,2289,2400
2015/8/4 21:00,2,8,2100,1781,2075
2015/8/4 22:00,2,8,2200,1303,1392
2015/8/4 23:00,2,8,2300,892,1096
2015/8/5 00:00,3,8,0,431,892
2015/8/5 01:00,3,8,100,215,539
2015/8/5 02:00,3,8,200,186,179
2015/8/5 03:00,3,8,300,404,194
2015/8/5 04:00,3,8,400,897,412
2015/8/5 05:00,3,8,500,1311,878
2015/8/5 06:00,3,8,600,2381,2247
2015/8/5 07:00,3,8,700,4872,5058
2015/8/5 08:00,3,8,800,5619,4944
2015/8/5 09:00,3,8,900,4249,3978
2015/8/5 10:00,3,8,1000,3819,3687
2015/8/5 11:00,3,8,1100,4271,3894
2015/8/5 12:00,3,8,1200,4279,4141
2015/8/5 13:00,3,8,1300,4342,4303
2015/8/5 14:00,3,8,1400,4485,4263
2015/8/5 15:00,3,8,1500,4704,4625
