datetime,dayOfWeek,month,time,northBound,southBound
2015/12/1 00:00,2,12,0,398,723
2015/12/1 01:00,2,12,100,201,324
2015/12/1 02:00,2,12,200,180,195
2015/12/1 03:00,2,12,300,322,191
2015/12/1 04:00,2,12,400,831,354
2015/12/1 05:00,2,12,500,1353,911
2015/12/1 06:00,2,12,600,2558,3153
2015/12/1 07:00,2,12,700,5362,4857
2015/12/1 08:00,2,12,800,5812,3996
2015/12/1 09:00,2,12,900,4797,4459
2015/12/1 10:00,2,12,1000,3955,3821
2015/12/1 11:00,2,12,1100,3873,3667
2015/12/1 12:00,2,12,1200,4055,3878
2015/12/1 13:00,2,12,1300,4031,4164
2015/12/1 14:00,2,12,1400,4327,3995
2015/12/1 15:00,2,12,1500,4622,4724
2015/12/1 16:00,2,12,1600,5633,5892
2015/12/1 17:00,2,12,1700,5816,5962
2015/12/1 18:00,2,12,1800,5022,4428
2015/12/1 19:00,2,12,1900,3456,3158
2015/12/1 20:00,2,12,2000,2303,2480
2015/12/1 21:00,2,12,2100,1560,2216
2015/12/1 22:00,2,12,2200,1265,1438
2015/12/1 23:00,2,12,2300,736,985
2015/12/2 00:00,3,12,0,413,748
2015/12/2 01:00,3,12,100,232,285
2015/12/2 02:00,3,12,200,179,212
2015/12/2 03:00,3,12,300,347,204
2015/12/2 04:00,3,12,400,750,370
2015/12/2 05:00,3,12,500,1284,825
2015/12/2 06:00,3,12,600,2478,3033
2015/12/2 07:00,3,12,700,5432,4234
2015/12/2 08:00,3,12,800,6045,3309
2015/12/2 09:00,3,12,900,4667,4400
2015/12/2 10:00,3,12,1000,3784,3871
2015/12/2 11:00,3,12,1100,3840,3782
2015/12/2 12:00,3,12,1200,4012,4072
2015/12/2 13:00,3,12,1300,4132,4260
2015/12/2 14:00,3,12,1400,4457,4333
2015/12/2 15:00,3,12,1500,4875,4925
2015/12/2 16:00,3,12,1600,5844,5997
2015/12/2 17:00,3,12,1700,5847,5980
2015/12/2 18:00,3,12,1800,4980,4637
2015/12/2 19:00,3,12,1900,3545,3342
2015/12/2 20:00,3,12,2000,2490,2485
2015/12/2 21:00,3,12,2100,1820,2195
2015/12/2 22:00,3,12,2200,1275,1632
2015/12/2 23:00,3,12,2300,755,1016
2015/12/3 00:00,4,12,0,435,720
2015/12/3 01:00,4,12,100,222,308
2015/12/3 02:00,4,12,200,199,184
2015/12/3 03:00,4,12,300,364,217
2015/12/3 04:00,4,12,400,841,383
2015/12/3 05:00,4,12,500,1324,867
2015/12/3 06:00,4,12,600,2549,3270
2015/12/3 07:00,4,12,700,5498,4391
2015/12/3 08:00,4,12,800,5634,3951
2015/12/3 09:00,4,12,900,4690,4363
2015/12/3 10:00,4,12,1000,4097,3862
2015/12/3 11:00,4,12,1100,4070,3794
2015/12/3 12:00,4,12,1200,4147,4097
2015/12/3 13:00,4,12,1300,4424,4078
2015/12/3 14:00,4,12,1400,4458,4376
2015/12/3 15:00,4,12,1500,5018,4691
2015/12/3 16:00,4,12,1600,5516,5303
2015/12/3 17:00,4,12,1700,5568,5497
2015/12/3 18:00,4,12,1800,4835,4554
2015/12/3 19:00,4,12,1900,3391,3506
2015/12/3 20:00,4,12,2000,2512,2579
2015/12/3 21:00,4,12,2100,2007,2248
2015/12/3 22:00,4,12,2200,1310,1763
2015/12/3 23:00,4,12,2300,848,1061
2015/12/4 00:00,5,12,0,512,876
2015/12/4 01:00,5,12,100,295,369
2015/12/4 02:00,5,12,200,216,236
2015/12/4 03:00,5,12,300,412,260
2015/12/4 04:00,5,12,400,957,402
2015/12/4 05:00,5,12,500,1355,923
2015/12/4 06:00,5,12,600,2453,2993
2015/12/4 07:00,5,12,700,4780,4700
2015/12/4 08:00,5,12,800,6055,3855
2015/12/4 09:00,5,12,900,4821,4350
2015/12/4 10:00,5,12,1000,4026,4004
2015/12/4 11:00,5,12,1100,4334,4289
2015/12/4 12:00,5,12,1200,4515,4483
2015/12/4 13:00,5,12,1300,4730,4880
2015/12/4 14:00,5,12,1400,5108,5110
2015/12/4 15:00,5,12,1500,5839,5915
2015/12/4 16:00,5,12,1600,5940,5945
2015/12/4 17:00,5,12,1700,5544,5683
2015/12/4 18:00,5,12,1800,4479,4214
2015/12/4 19:00,5,12,1900,3566,3631
2015/12/4 20:00,5,12,2000,2395,2508
2015/12/4 21:00,5,12,2100,1815,1810
2015/12/4 22:00,5,12,2200,1295,1707
2015/12/4 23:00,5,12,2300,1028,1211
2015/12/5 00:00,6,12,0,835,978
2015/12/5 01:00,6,12,100,497,761
2015/12/5 02:00,6,12,200,399,478
2015/12/5 03:00,6,12,300,488,509
2015/12/5 04:00,6,12,400,831,463
2015/12/5 05:00,6,12,500,960,659
2015/12/5 06:00,6,12,600,1094,927
2015/12/5 07:00,6,12,700,1755,1501
2015/12/5 08:00,6,12,800,2363,2366
2015/12/5 09:00,6,12,900,2903,3185
2015/12/5 10:00,6,12,1000,3462,3403
2015/12/5 11:00,6,12,1100,3872,3904
2015/12/5 12:00,6,12,1200,4153,4455
2015/12/5 13:00,6,12,1300,4212,4542
2015/12/5 14:00,6,12,1400,4085,4350
2015/12/5 15:00,6,12,1500,3862,3985
2015/12/5 16:00,6,12,1600,3744,3796
2015/12/5 17:00,6,12,1700,3540,3422
2015/12/5 18:00,6,12,1800,3108,2989
2015/12/5 19:00,6,12,1900,2631,2466
2015/12/5 20:00,6,12,2000,1682,1821
2015/12/5 21:00,6,12,2100,1054,1236
2015/12/5 22:00,6,12,2200,773,884
2015/12/5 23:00,6,12,2300,641,870
2015/12/6 00:00,7,12,0,542,568
2015/12/6 01:00,7,12,100,451,490
2015/12/6 02:00,7,12,200,349,336
2015/12/6 03:00,7,12,300,451,274
2015/12/6 04:00,7,12,400,715,320
2015/12/6 05:00,7,12,500,767,531
2015/12/6 06:00,7,12,600,769,608
2015/12/6 07:00,7,12,700,1193,1006
2015/12/6 08:00,7,12,800,1361,1364
2015/12/6 09:00,7,12,900,2110,1983
2015/12/6 10:00,7,12,1000,2731,2839
2015/12/6 11:00,7,12,1100,3430,3591
2015/12/6 12:00,7,12,1200,3979,4225
2015/12/6 13:00,7,12,1300,4549,4419
2015/12/6 14:00,7,12,1400,4508,4177
2015/12/6 15:00,7,12,1500,4461,4280
2015/12/6 16:00,7,12,1600,4312,4410
2015/12/6 17:00,7,12,1700,4019,3917
2015/12/6 18:00,7,12,1800,3638,3527
2015/12/6 19:00,7,12,1900,3089,3016
2015/12/6 20:00,7,12,2000,2223,2267
2015/12/6 21:00,7,12,2100,1617,1727
2015/12/6 22:00,7,12,2200,1064,1424
2015/12/6 23:00,7,12,2300,674,1071
2015/12/7 00:00,1,12,0,380,651
2015/12/7 01:00,1,12,100,190,320
2015/12/7 02:00,1,12,200,187,160
2015/12/7 03:00,1,12,300,344,192
2015/12/7 04:00,1,12,400,984,420
2015/12/7 05:00,1,12,500,1543,1059
2015/12/7 06:00,1,12,600,2511,3222
2015/12/7 07:00,1,12,700,5338,4692
2015/12/7 08:00,1,12,800,5922,3878
2015/12/7 09:00,1,12,900,5114,4307
2015/12/7 10:00,1,12,1000,4030,3903
2015/12/7 11:00,1,12,1100,3891,3959
2015/12/7 12:00,1,12,1200,3982,4047
2015/12/7 13:00,1,12,1300,4130,4286
2015/12/7 14:00,1,12,1400,4300,4272
2015/12/7 15:00,1,12,1500,4733,4699
2015/12/7 16:00,1,12,1600,5512,5801
2015/12/7 17:00,1,12,1700,5446,5657
2015/12/7 18:00,1,12,1800,4602,4532
2015/12/7 19:00,1,12,1900,3427,3146
2015/12/7 20:00,1,12,2000,2147,2282
2015/12/7 21:00,1,12,2100,1527,1784
2015/12/7 22:00,1,12,2200,1110,1425
2015/12/7 23:00,1,12,2300,651,872
2015/12/8 00:00,2,12,0,380,659
2015/12/8 01:00,2,12,100,213,325
2015/12/8 02:00,2,12,200,154,186
2015/12/8 03:00,2,12,300,332,203
2015/12/8 04:00,2,12,400,799,381
2015/12/8 05:00,2,12,500,1365,814
2015/12/8 06:00,2,12,600,2618,3159
2015/12/8 07:00,2,12,700,5342,4666
2015/12/8 08:00,2,12,800,5908,4101
2015/12/8 09:00,2,12,900,4864,4433
2015/12/8 10:00,2,12,1000,4055,4076
2015/12/8 11:00,2,12,1100,3936,3810
2015/12/8 12:00,2,12,1200,3944,4132
2015/12/8 13:00,2,12,1300,4225,4132
2015/12/8 14:00,2,12,1400,4281,4228
2015/12/8 15:00,2,12,1500,4739,4690
2015/12/8 16:00,2,12,1600,5743,5980
2015/12/8 17:00,2,12,1700,5832,5960
2015/12/8 18:00,2,12,1800,4976,4540
2015/12/8 19:00,2,12,1900,3378,3382
2015/12/8 20:00,2,12,2000,2277,2398
2015/12/8 21:00,2,12,2100,1775,2031
2015/12/8 22:00,2,12,2200,1289,1498
2015/12/8 23:00,2,12,2300,749,1030
2015/12/9 00:00,3,12,0,376,639
2015/12/9 01:00,3,12,100,232,265
2015/12/9 02:00,3,12,200,189,195
2015/12/9 03:00,3,12,300,355,189
2015/12/9 04:00,3,12,400,815,400
2015/12/9 05:00,3,12,500,1297,868
2015/12/9 06:00,3,12,600,2593,3184
2015/12/9 07:00,3,12,700,5514,5224
2015/12/9 08:00,3,12,800,5967,3948
2015/12/9 09:00,3,12,900,4706,4449
2015/12/9 10:00,3,12,1000,3994,3984
2015/12/9 11:00,3,12,1100,3944,3744
2015/12/9 12:00,3,12,1200,4053,4084
2015/12/9 13:00,3,12,1300,4276,4242
2015/12/9 14:00,3,12,1400,4219,4254
2015/12/9 15:00,3,12,1500,4872,4814
2015/12/9 16:00,3,12,1600,5620,5460
2015/12/9 17:00,3,12,1700,5692,5453
2015/12/9 18:00,3,12,1800,4928,4814
2015/12/9 19:00,3,12,1900,3449,3292
2015/12/9 20:00,3,12,2000,2392,2625
2015/12/9 21:00,3,12,2100,1925,2157
2015/12/9 22:00,3,12,2200,1223,1647
2015/12/9 23:00,3,12,2300,816,1021
2015/12/10 00:00,4,12,0,470,631
2015/12/10 01:00,4,12,100,295,455
2015/12/10 02:00,4,12,200,196,285
2015/12/10 03:00,4,12,300,403,218
2015/12/10 04:00,4,12,400,876,412
2015/12/10 05:00,4,12,500,1251,903
2015/12/10 06:00,4,12,600,2538,3018
2015/12/10 07:00,4,12,700,5434,5097
2015/12/10 08:00,4,12,800,6041,4136
2015/12/10 09:00,4,12,900,4727,4473
2015/12/10 10:00,4,12,1000,4239,4049
2015/12/10 11:00,4,12,1100,4159,3966
2015/12/10 12:00,4,12,1200,4123,4225
2015/12/10 13:00,4,12,1300,4301,4337
2015/12/10 14:00,4,12,1400,4395,4301
2015/12/10 15:00,4,12,1500,5009,4887
