datetime,dayOfWeek,month,time,northBound,southBound
2015/7/1 00:00,3,7,0,639,998
2015/7/1 01:00,3,7,100,308,598
2015/7/1 02:00,3,7,200,218,285
2015/7/1 03:00,3,7,300,458,244
2015/7/1 04:00,3,7,400,951,483
2015/7/1 05:00,3,7,500,1398,932
2015/7/1 06:00,3,7,600,2500,2460
2015/7/1 07:00,3,7,700,5329,5351
2015/7/1 08:00,3,7,800,5890,5020
2015/7/1 09:00,3,7,900,4441,4250
2015/7/1 10:00,3,7,1000,4057,3753
2015/7/1 11:00,3,7,1100,4116,3993
2015/7/1 12:00,3,7,1200,4150,4213
2015/7/1 13:00,3,7,1300,4360,4323
2015/7/1 14:00,3,7,1400,4619,4421
2015/7/1 15:00,3,7,1500,4844,4795
2015/7/1 16:00,3,7,1600,6027,6159
2015/7/1 17:00,3,7,1700,6138,5996
2015/7/1 18:00,3,7,1800,5145,5522
2015/7/1 19:00,3,7,1900,3374,3630
2015/7/1 20:00,3,7,2000,2406,2593
2015/7/1 21:00,3,7,2100,2130,2334
2015/7/1 22:00,3,7,2200,1449,1927
2015/7/1 23:00,3,7,2300,1072,1403
2015/7/2 00:00,4,7,0,642,1144
2015/7/2 01:00,4,7,100,297,611
2015/7/2 02:00,4,7,200,275,287
2015/7/2 03:00,4,7,300,465,255
2015/7/2 04:00,4,7,400,1054,507
2015/7/2 05:00,4,7,500,1343,894
2015/7/2 06:00,4,7,600,2324,2389
2015/7/2 07:00,4,7,700,5288,5257
2015/7/2 08:00,4,7,800,5953,5102
2015/7/2 09:00,4,7,900,4431,4287
2015/7/2 10:00,4,7,1000,4208,3949
2015/7/2 11:00,4,7,1100,4139,3925
2015/7/2 12:00,4,7,1200,4100,4173
2015/7/2 13:00,4,7,1300,4242,4239
2015/7/2 14:00,4,7,1400,4554,4556
2015/7/2 15:00,4,7,1500,4933,4829
2015/7/2 16:00,4,7,1600,5938,6007
2015/7/2 17:00,4,7,1700,5952,6315
2015/7/2 18:00,4,7,1800,5294,5229
2015/7/2 19:00,4,7,1900,3597,3810
2015/7/2 20:00,4,7,2000,2690,2850
2015/7/2 21:00,4,7,2100,2271,2550
2015/7/2 22:00,4,7,2200,1520,1937
2015/7/2 23:00,4,7,2300,1041,1495
2015/7/3 00:00,5,7,0,608,1052
2015/7/3 01:00,5,7,100,334,527
2015/7/3 02:00,5,7,200,224,347
2015/7/3 03:00,5,7,300,481,269
2015/7/3 04:00,5,7,400,1006,457
2015/7/3 05:00,5,7,500,1245,912
2015/7/3 06:00,5,7,600,2412,2366
2015/7/3 07:00,5,7,700,5146,4910
2015/7/3 08:00,5,7,800,5440,4959
2015/7/3 09:00,5,7,900,4275,4173
2015/7/3 10:00,5,7,1000,4008,3884
2015/7/3 11:00,5,7,1100,4331,4399
2015/7/3 12:00,5,7,1200,4656,4749
2015/7/3 13:00,5,7,1300,4850,4949
2015/7/3 14:00,5,7,1400,5130,5072
2015/7/3 15:00,5,7,1500,5631,5016
2015/7/3 16:00,5,7,1600,5973,5482
2015/7/3 17:00,5,7,1700,5607,6185
2015/7/3 18:00,5,7,1800,4443,5164
2015/7/3 19:00,5,7,1900,3492,3860
2015/7/3 20:00,5,7,2000,2697,3005
2015/7/3 21:00,5,7,2100,2119,2229
2015/7/3 22:00,5,7,2200,1508,1887
2015/7/3 23:00,5,7,2300,1280,1487
2015/7/4 00:00,6,7,0,846,1181
2015/7/4 01:00,6,7,100,490,640
2015/7/4 02:00,6,7,200,302,326
2015/7/4 03:00,6,7,300,488,302
2015/7/4 04:00,6,7,400,933,439
2015/7/4 05:00,6,7,500,917,647
2015/7/4 06:00,6,7,600,1189,1021
2015/7/4 07:00,6,7,700,1958,1544
2015/7/4 08:00,6,7,800,2552,2115
2015/7/4 09:00,6,7,900,3360,2865
2015/7/4 10:00,6,7,1000,3803,3438
2015/7/4 11:00,6,7,1100,4263,4156
2015/7/4 12:00,6,7,1200,4387,4736
2015/7/4 13:00,6,7,1300,4530,4906
2015/7/4 14:00,6,7,1400,4413,4863
2015/7/4 15:00,6,7,1500,4166,4598
2015/7/4 16:00,6,7,1600,3854,4202
2015/7/4 17:00,6,7,1700,3744,4362
2015/7/4 18:00,6,7,1800,3410,3957
2015/7/4 19:00,6,7,1900,2618,3053
2015/7/4 20:00,6,7,2000,1943,2552
2015/7/4 21:00,6,7,2100,1572,1539
2015/7/4 22:00,6,7,2200,1170,1339
2015/7/4 23:00,6,7,2300,1237,1134
2015/7/5 00:00,7,7,0,1076,1096
2015/7/5 01:00,7,7,100,539,837
2015/7/5 02:00,7,7,200,382,462
2015/7/5 03:00,7,7,300,528,305
2015/7/5 04:00,7,7,400,887,391
2015/7/5 05:00,7,7,500,853,540
2015/7/5 06:00,7,7,600,875,702
2015/7/5 07:00,7,7,700,1196,929
2015/7/5 08:00,7,7,800,1435,1277
2015/7/5 09:00,7,7,900,1829,1806
2015/7/5 10:00,7,7,1000,2451,2617
2015/7/5 11:00,7,7,1100,3277,3202
2015/7/5 12:00,7,7,1200,4207,3910
2015/7/5 13:00,7,7,1300,4832,4102
2015/7/5 14:00,7,7,1400,4504,4109
2015/7/5 15:00,7,7,1500,4162,3984
2015/7/5 16:00,7,7,1600,4175,3929
2015/7/5 17:00,7,7,1700,4252,3917
2015/7/5 18:00,7,7,1800,3868,4947
2015/7/5 19:00,7,7,1900,3257,3244
2015/7/5 20:00,7,7,2000,2827,2585
2015/7/5 21:00,7,7,2100,1937,1852
2015/7/5 22:00,7,7,2200,1288,1468
2015/7/5 23:00,7,7,2300,939,1171
2015/7/6 00:00,1,7,0,540,930
2015/7/6 01:00,1,7,100,253,519
2015/7/6 02:00,1,7,200,237,231
2015/7/6 03:00,1,7,300,439,253
2015/7/6 04:00,1,7,400,1096,434
2015/7/6 05:00,1,7,500,1552,1065
2015/7/6 06:00,1,7,600,2634,2425
2015/7/6 07:00,1,7,700,5070,5171
2015/7/6 08:00,1,7,800,5592,4841
2015/7/6 09:00,1,7,900,4425,3995
2015/7/6 10:00,1,7,1000,3798,3496
2015/7/6 11:00,1,7,1100,3708,3643
2015/7/6 12:00,1,7,1200,3915,4005
2015/7/6 13:00,1,7,1300,4085,4112
2015/7/6 14:00,1,7,1400,4440,4358
2015/7/6 15:00,1,7,1500,4505,4328
2015/7/6 16:00,1,7,1600,5576,5488
2015/7/6 17:00,1,7,1700,5833,5945
2015/7/6 18:00,1,7,1800,4784,4701
2015/7/6 19:00,1,7,1900,3102,3215
2015/7/6 20:00,1,7,2000,2170,2407
2015/7/6 21:00,1,7,2100,1637,1771
2015/7/6 22:00,1,7,2200,1159,1402
2015/7/6 23:00,1,7,2300,805,986
2015/7/7 00:00,2,7,0,460,1001
2015/7/7 01:00,2,7,100,250,511
2015/7/7 02:00,2,7,200,226,239
2015/7/7 03:00,2,7,300,437,210
2015/7/7 04:00,2,7,400,1051,441
