datetime,dayOfWeek,month,time,northBound,southBound
2015/10/1 00:00,4,10,0,470,815
2015/10/1 01:00,4,10,100,275,515
2015/10/1 02:00,4,10,200,235,290
2015/10/1 03:00,4,10,300,438,215
2015/10/1 04:00,4,10,400,983,366
2015/10/1 05:00,4,10,500,1334,885
2015/10/1 06:00,4,10,600,2410,2830
2015/10/1 07:00,4,10,700,5286,4668
2015/10/1 08:00,4,10,800,6122,3255
2015/10/1 09:00,4,10,900,4913,4171
2015/10/1 10:00,4,10,1000,4073,3805
2015/10/1 11:00,4,10,1100,3860,3703
2015/10/1 12:00,4,10,1200,4000,4096
2015/10/1 13:00,4,10,1300,4200,4153
2015/10/1 14:00,4,10,1400,4412,4418
2015/10/1 15:00,4,10,1500,4790,4893
2015/10/1 16:00,4,10,1600,5957,5961
2015/10/1 17:00,4,10,1700,5956,6169
2015/10/1 18:00,4,10,1800,5060,5137
2015/10/1 19:00,4,10,1900,3656,3904
2015/10/1 20:00,4,10,2000,2616,2711
2015/10/1 21:00,4,10,2100,2077,2139
2015/10/1 22:00,4,10,2200,1348,1871
2015/10/1 23:00,4,10,2300,911,1226
2015/10/2 00:00,5,10,0,569,967
2015/10/2 01:00,5,10,100,249,517
2015/10/2 02:00,5,10,200,218,264
2015/10/2 03:00,5,10,300,469,213
2015/10/2 04:00,5,10,400,1094,488
2015/10/2 05:00,5,10,500,1298,903
2015/10/2 06:00,5,10,600,2453,2679
2015/10/2 07:00,5,10,700,5528,5218
2015/10/2 08:00,5,10,800,5949,4019
2015/10/2 09:00,5,10,900,4437,4152
2015/10/2 10:00,5,10,1000,3928,3833
2015/10/2 11:00,5,10,1100,4136,4021
2015/10/2 12:00,5,10,1200,4556,4643
2015/10/2 13:00,5,10,1300,4692,4991
2015/10/2 14:00,5,10,1400,5054,4962
2015/10/2 15:00,5,10,1500,5646,6023
2015/10/2 16:00,5,10,1600,6098,6270
2015/10/2 17:00,5,10,1700,5775,6141
2015/10/2 18:00,5,10,1800,4860,5058
