Date,Time,All,N,S
Friday 1 April 2016,00:00,1522.0,544.0,978.0
,01:00,871.0,258.0,613.0
,02:00,482.0,191.0,291.0
,03:00,626.0,409.0,217.0
,04:00,1415.0,978.0,437.0
,05:00,2244.0,1297.0,947.0
,06:00,4804.0,2384.0,2420.0
,07:00,9668.0,5145.0,4523.0
,08:00,10012.0,5495.0,4517.0
,09:00,8463.0,4348.0,4115.0
,10:00,7951.0,4074.0,3877.0
,11:00,8678.0,4418.0,4260.0
,12:00,9639.0,4825.0,4814.0
,13:00,10283.0,5207.0,5076.0
,14:00,10541.0,5205.0,5336.0
,15:00,11241.0,5756.0,5485.0
,16:00,11762.0,6012.0,5750.0
,17:00,11406.0,5704.0,5702.0
,18:00,8727.0,4977.0,3750.0
,19:00,7778.0,3526.0,4252.0
,20:00,5595.0,2733.0,2862.0
,21:00,4176.0,1985.0,2191.0
,22:00,3159.0,1485.0,1674.0
,23:00,2344.0,1084.0,1260.0
,Total,153387.0,78040.0,75347.0
Saturday 2 April 2016,00:00,1833.0,712.0,1121.0
,01:00,1191.0,411.0,780.0
,02:00,732.0,288.0,444.0
,03:00,694.0,423.0,271.0
,04:00,1339.0,916.0,423.0
,05:00,1706.0,973.0,733.0
,06:00,2197.0,1155.0,1042.0
,07:00,3425.0,1901.0,1524.0
,08:00,4631.0,2386.0,2245.0
,09:00,6589.0,3511.0,3078.0
,10:00,7122.0,3734.0,3388.0
,11:00,8753.0,4522.0,4231.0
,12:00,9727.0,4731.0,4996.0
,13:00,10181.0,4947.0,5234.0
,14:00,9674.0,4745.0,4929.0
,15:00,9031.0,4422.0,4609.0
,16:00,8735.0,4469.0,4266.0
,17:00,8305.0,4239.0,4066.0
,18:00,6962.0,3506.0,3456.0
,19:00,5734.0,2805.0,2929.0
,20:00,4440.0,1955.0,2485.0
,21:00,3235.0,1433.0,1802.0
,22:00,2285.0,1044.0,1241.0
,23:00,1961.0,909.0,1052.0
,Total,120482.0,60137.0,60345.0
Sunday 3 April 2016,00:00,1645.0,679.0,966.0
,01:00,1172.0,454.0,718.0
,02:00,593.0,316.0,277.0
,03:00,629.0,393.0,236.0
,04:00,1094.0,736.0,358.0
,05:00,1381.0,791.0,590.0
,06:00,1612.0,862.0,750.0
,07:00,2071.0,1186.0,885.0
,08:00,2674.0,1408.0,1266.0
,09:00,3987.0,2071.0,1916.0
,10:00,5295.0,2542.0,2753.0
,11:00,6714.0,3407.0,3307.0
,12:00,8088.0,3992.0,4096.0
,13:00,9298.0,4868.0,4430.0
,14:00,9314.0,4842.0,4472.0
,15:00,8642.0,4417.0,4225.0
,16:00,8287.0,4400.0,3887.0
,17:00,8413.0,4291.0,4122.0
,18:00,7765.0,4003.0,3762.0
,19:00,6084.0,3074.0,3010.0
,20:00,4918.0,2358.0,2560.0
,21:00,3617.0,1741.0,1876.0
,22:00,2499.0,1183.0,1316.0
,23:00,1982.0,785.0,1197.0
,Total,107774.0,54799.0,52975.0
Monday 4 April 2016,00:00,1370.0,445.0,925.0
,01:00,662.0,190.0,472.0
,02:00,327.0,156.0,171.0
,03:00,513.0,351.0,162.0
,04:00,1397.0,995.0,402.0
,05:00,2636.0,1575.0,1061.0
,06:00,5674.0,2726.0,2948.0
,07:00,11033.0,5783.0,5250.0
,08:00,10909.0,6208.0,4701.0
,09:00,9168.0,4839.0,4329.0
,10:00,7680.0,3911.0,3769.0
,11:00,7468.0,3831.0,3637.0
,12:00,7784.0,3895.0,3889.0
,13:00,8042.0,4032.0,4010.0
,14:00,8299.0,4176.0,4123.0
,15:00,9482.0,4789.0,4693.0
