Date,Time,All,N,S
Monday 1 August 2016,00:00,1654,582,1072
,01:00,1064,391,673
,02:00,617,293,324
,03:00,755,511,244
,04:00,1402,1009,393
,05:00,1804,1030,774
,06:00,2239,1214,1025
,07:00,3014,1665,1349
,08:00,3085,1627,1458
,09:00,3841,2073,1768
,10:00,5330,2794,2536
,11:00,7007,3590,3417
,12:00,8495,4210,4285
,13:00,8924,4704,4220
,14:00,9422,4828,4594
,15:00,9020,4741,4279
,16:00,8788,4490,4298
,17:00,8347,4341,4006
,18:00,7543,3897,3646
,19:00,6320,3152,3168
,20:00,5010,2472,2538
,21:00,3612,1692,1920
,22:00,2586,1284,1302
,23:00,2048,972,1076
,Total,111927,57562,54365
Tuesday 2 August 2016,00:00,1588,535,1053
,01:00,874,244,630
,02:00,460,209,251
,03:00,699,500,199
,04:00,1500,1085,415
,05:00,2589,1549,1040
,06:00,5415,2761,2654
,07:00,10211,5323,4888
,08:00,10930,5864,5066
,09:00,8428,4372,4056
,10:00,8118,4189,3929
,11:00,8525,4380,4145
,12:00,8776,4543,4233
,13:00,9017,4473,4544
,14:00,9313,4717,4596
,15:00,9746,4944,4802
,16:00,11933,5930,6003
,17:00,12178,6082,6096
,18:00,10323,4969,5354
,19:00,7130,3494,3636
,20:00,5194,2451,2743
,21:00,4198,1836,2362
,22:00,3420,1973,1447
,23:00,2061,1014,1047
,Total,152626,77437,75189
Wednesday 3 August 2016,00:00,1518,649,869
,01:00,1142,311,831
,02:00,609,240,369
,03:00,742,515,227
,04:00,1494,1023,471
,05:00,2361,1467,894
,06:00,5319,2762,2557
,07:00,10625,5660,4965
,08:00,10889,5917,4972
,09:00,8848,4567,4281
,10:00,8149,4219,3930
,11:00,8420,4305,4115
,12:00,8913,4464,4449
,13:00,9046,4583,4463
,14:00,9131,4617,4514
,15:00,9857,4930,4927
,16:00,11808,6015,5793
,17:00,12117,6156,5961
,18:00,10450,5091,5359
,19:00,7550,3649,3901
,20:00,5311,2465,2846
,21:00,4342,1989,2353
,22:00,2694,1190,1504
,23:00,2280,1171,1109
,Total,153615,77955,75660
Thursday 4 August 2016,00:00,1646,576,1070
,01:00,1000,290,710
,02:00,537,223,314
,03:00,712,502,210
,04:00,1396,935,461
,05:00,2446,1446,1000
,06:00,5284,2723,2561
,07:00,10438,5539,4899
,08:00,10867,5746,5121
,09:00,8814,4611,4203
,10:00,8379,4346,4033
,11:00,8686,4410,4276
,12:00,9207,4614,4593
,13:00,9258,4706,4552
,14:00,9686,4905,4781
,15:00,10256,5151,5105
,16:00,12395,6066,6329
,17:00,12079,6157,5922
,18:00,10722,5164,5558
,19:00,7494,3595,3899
,20:00,5788,2686,3102
,21:00,4759,2202,2557
,22:00,3326,1558,1768
,23:00,2268,1050,1218
,Total,157443,79201,78242
Friday 5 August 2016,00:00,1727,661,1066
,01:00,1099,306,793
,02:00,544,265,279
,03:00,784,527,257
,04:00,1518,1031,487
,05:00,2325,1323,1002
,06:00,5213,2578,2635
,07:00,10033,5341,4692
,08:00,10223,5394,4829
,09:00,8338,4341,3997
,10:00,8114,4247,3867
,11:00,8776,4500,4276
,12:00,9901,5017,4884
,13:00,10263,5083,5180
,14:00,10668,5258,5410
,15:00,11550,5836,5714
,16:00,12339,6075,6264
,17:00,11763,5762,6001
,18:00,9468,4540,4928
,19:00,7728,3725,4003
,20:00,5969,2755,3214
,21:00,4539,2090,2449
,22:00,3376,1577,1799
,23:00,2511,1213,1298
,Total,158769,79445,79324
Saturday 6 August 2016,00:00,1924,730,1194
,01:00,1288,386,902
,02:00,603,297,306
,03:00,930,586,344
,04:00,1495,1026,469
,05:00,1654,938,716
,06:00,2499,1350,1149
,07:00,3785,2159,1626
,08:00,4796,2437,2359
,09:00,6287,3082,3205
,10:00,7690,3990,3700
,11:00,9030,4714,4316
