Date,Time,All,N,S
Friday 1 July 2016,00:00,1868.0,682.0,1186.0
,01:00,1030.0,329.0,701.0
,02:00,580.0,266.0,314.0
,03:00,766.0,498.0,268.0
,04:00,1572.0,1075.0,497.0
,05:00,2512.0,1479.0,1033.0
,06:00,5452.0,2778.0,2674.0
,07:00,10404.0,5510.0,4894.0
,08:00,10474.0,5659.0,4815.0
,09:00,8593.0,4329.0,4264.0
,10:00,8285.0,4165.0,4120.0
,11:00,8870.0,4414.0,4456.0
,12:00,9787.0,4805.0,4982.0
,13:00,10100.0,4915.0,5185.0
,14:00,10818.0,5334.0,5484.0
,15:00,10783.0,4986.0,5797.0
,16:00,12004.0,5973.0,6031.0
,17:00,11459.0,5758.0,5701.0
,18:00,9711.0,4898.0,4813.0
,19:00,7782.0,3814.0,3968.0
,20:00,5805.0,2693.0,3112.0
,21:00,4391.0,1957.0,2434.0
,22:00,3295.0,1496.0,1799.0
,23:00,2487.0,1147.0,1340.0
,Total,158828.0,78960.0,79868.0
Saturday 2 July 2016,00:00,2045.0,836.0,1209.0
,01:00,1378.0,421.0,957.0
,02:00,761.0,328.0,433.0
,03:00,939.0,578.0,361.0
,04:00,1478.0,1019.0,459.0
,05:00,1768.0,1042.0,726.0
,06:00,2321.0,1261.0,1060.0
,07:00,3802.0,2162.0,1640.0
,08:00,4973.0,2729.0,2244.0
,09:00,6587.0,3465.0,3122.0
,10:00,7595.0,3915.0,3680.0
,11:00,8740.0,4303.0,4437.0
,12:00,9643.0,4662.0,4981.0
,13:00,10067.0,4820.0,5247.0
,14:00,9424.0,4587.0,4837.0
,15:00,9125.0,4360.0,4765.0
,16:00,8394.0,3984.0,4410.0
,17:00,8054.0,3974.0,4080.0
,18:00,7600.0,3498.0,4102.0
,19:00,6036.0,2864.0,3172.0
,20:00,4331.0,1959.0,2372.0
,21:00,3026.0,1452.0,1574.0
,22:00,2356.0,1145.0,1211.0
,23:00,2487.0,1161.0,1326.0
,Total,122930.0,60525.0,62405.0
Sunday 3 July 2016,00:00,2118.0,924.0,1194.0
,01:00,1409.0,510.0,899.0
,02:00,960.0,353.0,607.0
,03:00,893.0,562.0,331.0
,04:00,1414.0,999.0,415.0
,05:00,1599.0,962.0,637.0
,06:00,1692.0,881.0,811.0
,07:00,2340.0,1322.0,1018.0
,08:00,2921.0,1547.0,1374.0
,09:00,4142.0,2082.0,2060.0
,10:00,5469.0,2756.0,2713.0
,11:00,7171.0,3516.0,3655.0
,12:00,8936.0,4635.0,4301.0
,13:00,9710.0,5247.0,4463.0
,14:00,9618.0,5275.0,4343.0
,15:00,8734.0,4631.0,4103.0
,16:00,8606.0,4383.0,4223.0
,17:00,8666.0,4501.0,4165.0
,18:00,9399.0,4185.0,5214.0
,19:00,7438.0,3677.0,3761.0
,20:00,5345.0,2607.0,2738.0
,21:00,3772.0,1793.0,1979.0
,22:00,2950.0,1386.0,1564.0
,23:00,2074.0,985.0,1089.0
,Total,117376.0,59719.0,57657.0
Monday 4 July 2016,00:00,1494.0,511.0,983.0
,01:00,766.0,245.0,521.0
,02:00,446.0,219.0,227.0
,03:00,747.0,510.0,237.0
,04:00,1635.0,1172.0,463.0
,05:00,2638.0,1585.0,1053.0
,06:00,5641.0,2871.0,2770.0
,07:00,10762.0,5619.0,5143.0
,08:00,10944.0,6070.0,4874.0
,09:00,8709.0,4510.0,4199.0
,10:00,7790.0,3964.0,3826.0
,11:00,7829.0,4010.0,3819.0
,12:00,8458.0,4256.0,4202.0
,13:00,8494.0,4213.0,4281.0
,14:00,9024.0,4620.0,4404.0
,15:00,9571.0,4818.0,4753.0
,16:00,11449.0,5751.0,5698.0
,17:00,11865.0,5819.0,6046.0
,18:00,9763.0,4950.0,4813.0
,19:00,6630.0,3255.0,3375.0
,20:00,4932.0,2352.0,2580.0
,21:00,3769.0,1658.0,2111.0
,22:00,2503.0,1197.0,1306.0
,23:00,1984.0,825.0,1159.0
,Total,147843.0,75000.0,72843.0
Tuesday 5 July 2016,00:00,1370.0,473.0,897.0
,01:00,732.0,267.0,465.0
,02:00,523.0,242.0,281.0
,03:00,754.0,507.0,247.0
,04:00,1624.0,1123.0,501.0
,05:00,2575.0,1561.0,1014.0
,06:00,5586.0,2801.0,2785.0
,07:00,10989.0,5712.0,5277.0
,08:00,11153.0,6042.0,5111.0
,09:00,8896.0,4591.0,4305.0
,10:00,8079.0,4141.0,3938.0
,11:00,8166.0,4185.0,3981.0
,12:00,8322.0,4196.0,4126.0
,13:00,8658.0,4298.0,4360.0
,14:00,8860.0,4623.0,4237.0
,15:00,9607.0,4809.0,4798.0
,16:00,12196.0,6010.0,6186.0
,17:00,12403.0,6140.0,6263.0
,18:00,10207.0,5177.0,5030.0
,19:00,7102.0,3483.0,3619.0
,20:00,5074.0,2382.0,2692.0
,21:00,4098.0,1803.0,2295.0
,22:00,3123.0,1454.0,1669.0
,23:00,2191.0,1016.0,1175.0
,Total,152288.0,77036.0,75252.0
Wednesday 6 July 2016,00:00,1670.0,600.0,1070.0
,01:00,931.0,279.0,652.0
,02:00,489.0,216.0,273.0
,03:00,698.0,493.0,205.0
,04:00,1556.0,1055.0,501.0
,05:00,2565.0,1545.0,1020.0
,06:00,5525.0,2779.0,2746.0
,07:00,10933.0,5722.0,5211.0
,08:00,11387.0,6073.0,5314.0
