Date,Time,All,N,S
Wednesday 1 June 2016,00:00,1538,549,989
,01:00,787,217,570
,02:00,473,207,266
,03:00,665,458,207
,04:00,1658,1135,523
,05:00,2633,1623,1010
,06:00,5999,2961,3038
,07:00,11499,5984,5515
,08:00,11039,5926,5113
,09:00,9813,5087,4726
,10:00,8149,4235,3914
,11:00,8293,4152,4141
,12:00,8647,4280,4367
,13:00,9163,4662,4501
,14:00,9229,4589,4640
,15:00,10285,5208,5077
,16:00,12039,5999,6040
,17:00,12341,6066,6275
,18:00,10097,5074,5023
,19:00,7477,3800,3677
,20:00,5457,2625,2832
,21:00,4764,2151,2613
,22:00,3301,1616,1685
,23:00,2357,1006,1351
,Total,157703,79610,78093
Thursday 2 June 2016,00:00,1582,604,978
,01:00,862,265,597
,02:00,556,270,286
,03:00,765,516,249
,04:00,1512,1061,451
,05:00,2642,1629,1013
,06:00,5839,2845,2994
,07:00,11523,5984,5539
,08:00,11241,6171,5070
,09:00,9690,4987,4703
,10:00,8453,4299,4154
,11:00,8462,4328,4134
,12:00,8820,4433,4387
,13:00,9124,4629,4495
,14:00,9342,4684,4658
,15:00,10456,5279,5177
,16:00,12392,6022,6370
,17:00,12112,5953,6159
,18:00,10487,5208,5279
,19:00,6887,2807,4080
,20:00,5989,3050,2939
,21:00,4834,2240,2594
,22:00,3437,1652,1785
,23:00,2501,993,1508
,Total,159508,79909,79599
Friday 3 June 2016,00:00,1580,653,927
,01:00,1069,365,704
,02:00,600,263,337
,03:00,844,560,284
,04:00,1693,1215,478
,05:00,2690,1601,1089
,06:00,5663,2706,2957
,07:00,10674,5697,4977
,08:00,10404,5589,4815
,09:00,9099,4463,4636
,10:00,8522,4209,4313
,11:00,9307,4625,4682
,12:00,9970,4979,4991
,13:00,10780,5336,5444
,14:00,11047,5446,5601
,15:00,11933,5765,6168
,16:00,11393,6174,5219
,17:00,11453,5735,5718
,18:00,9386,4707,4679
,19:00,7788,3612,4176
,20:00,6053,2806,3247
,21:00,4562,2131,2431
,22:00,3470,1659,1811
,23:00,2708,1292,1416
,Total,162688,81588,81100
Saturday 4 June 2016,00:00,2166,793,1373
,01:00,1071,430,641
,02:00,610,305,305
,03:00,957,663,294
,04:00,1734,1257,477
,05:00,1917,1115,802
,06:00,2653,1375,1278
,07:00,4038,2232,1806
,08:00,5282,2562,2720
,09:00,6862,3329,3533
,10:00,8049,3973,4076
,11:00,9195,4514,4681
,12:00,10149,4897,5252
,13:00,10049,4996,5053
,14:00,9348,4627,4721
,15:00,8673,4323,4350
,16:00,8113,3992,4121
,17:00,7691,3748,3943
,18:00,7345,3535,3810
,19:00,5842,2881,2961
,20:00,4239,1901,2338
,21:00,3295,1598,1697
,22:00,2937,1629,1308
,23:00,2199,1188,1011
,Total,124414,61863,62551
Sunday 5 June 2016,00:00,1852,799,1053
,01:00,1143,435,708
,02:00,633,317,316
,03:00,856,601,255
,04:00,1405,1051,354
,05:00,1637,983,654
,06:00,1698,923,775
,07:00,2460,1333,1127
,08:00,2930,1486,1444
,09:00,4375,2129,2246
,10:00,5967,2939,3028
,11:00,7586,3738,3848
,12:00,8732,4442,4290
,13:00,9203,4810,4393
,14:00,8811,4832,3979
,15:00,8208,4314,3894
,16:00,7429,3913,3516
,17:00,7374,3699,3675
,18:00,7861,3863,3998
,19:00,6533,3255,3278
,20:00,4982,2329,2653
,21:00,3561,1634,1927
,22:00,2370,1117,1253
,23:00,2037,913,1124
,Total,109643,55855,53788
Monday 6 June 2016,00:00,1701,586,1115
,01:00,882,358,524
,02:00,571,260,311
,03:00,837,576,261
,04:00,1493,1067,426
,05:00,1924,1165,759
,06:00,2192,1177,1015
,07:00,2908,1618,1290
,08:00,3327,1720,1607
,09:00,4068,2120,1948
,10:00,5648,2862,2786
,11:00,7245,3637,3608
,12:00,8373,4458,3915
,13:00,8976,4785,4191
,14:00,9004,4843,4161
,15:00,8817,4810,4007
,16:00,8245,4360,3885
,17:00,8107,4256,3851
,18:00,8077,4076,4001
,19:00,7089,3643,3446
,20:00,5431,2679,2752
,21:00,4034,1948,2086
,22:00,2785,1270,1515
,23:00,2014,867,1147
,Total,113748,59141,54607
Tuesday 7 June 2016,00:00,1478,489,989
,01:00,876,267,609
,02:00,444,223,221
,03:00,741,521,220
,04:00,1702,1223,479
,05:00,2965,1835,1130
,06:00,5931,3037,2894
,07:00,10953,5581,5372
,08:00,10448,5560,4888
,09:00,9725,5230,4495
,10:00,8340,4322,4018
,11:00,8219,4149,4070
,12:00,8668,4368,4300
,13:00,8832,4472,4360
,14:00,9012,4570,4442
,15:00,9920,5032,4888
,16:00,11811,5801,6010
,17:00,12332,6136,6196
,18:00,10071,5321,4750
,19:00,6802,3548,3254
,20:00,4942,2483,2459
,21:00,4011,1817,2194
,22:00,2878,1282,1596
,23:00,1993,908,1085
,Total,153094,78175,74919
Wednesday 8 June 2016,00:00,1593,584,1009
,01:00,1045,340,705
,02:00,597,230,367
,03:00,702,487,215
,04:00,1653,1165,488
,05:00,2627,1651,976
,06:00,5823,2865,2958
,07:00,11424,6044,5380
,08:00,11039,6013,5026
,09:00,9287,4760,4527
,10:00,7823,4084,3739
,11:00,7759,3907,3852
,12:00,8620,4382,4238
,13:00,8585,4418,4167
,14:00,8949,4503,4446
,15:00,9827,4836,4991
,16:00,12272,6046,6226
,17:00,12405,6107,6298
,18:00,10008,5009,4999
,19:00,7207,3786,3421
,20:00,5229,2518,2711
,21:00,4208,1949,2259
,22:00,2968,1299,1669
,23:00,2007,904,1103
,Total,153657,77887,75770
Thursday 9 June 2016,00:00,1480,612,868
,01:00,1098,330,768
,02:00,890,311,579
,03:00,972,508,464
,04:00,1519,1070,449
,05:00,2641,1619,1022
,06:00,5759,2847,2912
,07:00,11052,5768,5284
,08:00,11150,6225,4925
,09:00,9420,4759,4661
,10:00,7956,4149,3807
,11:00,8106,4051,4055
,12:00,8676,4334,4342
,13:00,8809,4458,4351
,14:00,8940,4469,4471
,15:00,10067,4990,5077
,16:00,12264,5995,6269
,17:00,12247,6075,6172
,18:00,10405,5113,5292
,19:00,7609,3678,3931
,20:00,5582,2700,2882
,21:00,4722,2236,2486
,22:00,3290,1407,1883
,23:00,2363,1027,1336
,Total,157017,78731,78286
Friday 10 June 2016,00:00,1709,717,992
,01:00,1311,414,897
,02:00,757,261,496
,03:00,813,531,282
,04:00,1564,1058,506
,05:00,2558,1529,1029
,06:00,5668,2828,2840
,07:00,11036,5919,5117
,08:00,10690,5773,4917
,09:00,8966,4460,4506
,10:00,8069,4125,3944
,11:00,8360,4177,4183
,12:00,9102,4540,4562
,13:00,9856,4863,4993
,14:00,9980,4887,5093
,15:00,9557,5637,3920
,16:00,10330,6015,4315
,17:00,10294,5360,4934
,18:00,9831,4776,5055
,19:00,7789,3803,3986
,20:00,5711,2617,3094
,21:00,4225,1909,2316
,22:00,3158,1431,1727
,23:00,2469,1143,1326
,Total,153803,78773,75030
Saturday 11 June 2016,00:00,1749,697,1052
,01:00,1249,435,814
,02:00,759,312,447
,03:00,1043,599,444
,04:00,1532,1009,523
,05:00,1889,1092,797
,06:00,2590,1367,1223
,07:00,3974,2244,1730
,08:00,5228,2697,2531
,09:00,6705,3319,3386
,10:00,7327,3642,3685
,11:00,8624,4303,4321
,12:00,9327,4414,4913
,13:00,9609,4636,4973
,14:00,9308,4492,4816
,15:00,8746,4220,4526
,16:00,8589,4105,4484
,17:00,7736,3814,3922
,18:00,6975,3531,3444
,19:00,5802,2882,2920
,20:00,4294,2149,2145
,21:00,3108,1590,1518
,22:00,2471,1231,1240
,23:00,2126,1038,1088
,Total,120760,59818,60942
Sunday 12 June 2016,00:00,1767,806,961
,01:00,1537,514,1023
,02:00,758,323,435
,03:00,934,600,334
,04:00,1476,1039,437
,05:00,1804,1022,782
,06:00,1905,948,957
,07:00,2502,1434,1068
,08:00,3201,1517,1684
,09:00,4247,2082,2165
,10:00,5261,2714,2547
,11:00,6734,3608,3126
,12:00,8254,4310,3944
,13:00,9369,5074,4295
,14:00,9540,5206,4334
,15:00,8526,4349,4177
,16:00,8370,4240,4130
,17:00,8238,4098,4140
,18:00,7752,3973,3779
,19:00,6813,3620,3193
,20:00,5210,2568,2642
,21:00,3775,1800,1975
,22:00,2648,1328,1320
,23:00,2010,879,1131
,Total,112631,58052,54579
Monday 13 June 2016,00:00,1526,545,981
,01:00,1056,269,787
,02:00,586,231,355
,03:00,816,548,268
,04:00,1756,1287,469
,05:00,3071,1894,1177
,06:00,6272,3202,3070
,07:00,11195,5869,5326
,08:00,10756,5964,4792
,09:00,9006,4776,4230
,10:00,7730,3901,3829
,11:00,7799,3935,3864
,12:00,8253,4127,4126
,13:00,8619,4399,4220
,14:00,8813,4481,4332
,15:00,10433,5175,5258
,16:00,12681,6375,6306
,17:00,10519,5240,5279
,18:00,6202,2977,3225
,19:00,5657,2799,2858
,20:00,3786,1760,2026
,21:00,2827,1295,1532
,22:00,2343,1093,1250
,23:00,1647,740,907
,Total,143349,72882,70467
Tuesday 14 June 2016,00:00,1252,531,721
,01:00,1130,326,804
,02:00,837,246,591
,03:00,762,495,267
,04:00,1593,1131,462
,05:00,2580,1611,969
,06:00,5574,2804,2770
,07:00,11041,5797,5244
,08:00,11076,6117,4959
,09:00,9361,4853,4508
,10:00,7623,3973,3650
,11:00,7768,3947,3821
,12:00,7896,3801,4095
,13:00,8022,3908,4114
,14:00,8749,4530,4219
,15:00,9595,4773,4822
,16:00,11904,5846,6058
,17:00,12281,6004,6277
,18:00,9615,4895,4720
,19:00,6582,3213,3369
,20:00,4714,2201,2513
,21:00,3646,1618,2028
,22:00,2965,1364,1601
,23:00,2317,956,1361
,Total,148883,74940,73943
Wednesday 15 June 2016,00:00,1611,589,1022
,01:00,1012,295,717
,02:00,534,201,333
,03:00,713,496,217
,04:00,1577,1109,468
,05:00,2562,1581,981
,06:00,5896,2875,3021
,07:00,11251,5966,5285
,08:00,11239,6040,5199
,09:00,9400,4874,4526
,10:00,7909,4036,3873
,11:00,7947,3980,3967
,12:00,7979,4040,3939
,13:00,8758,4451,4307
,14:00,8818,4523,4295
,15:00,9813,4918,4895
,16:00,12053,5900,6153
,17:00,12277,5929,6348
,18:00,10110,5263,4847
,19:00,7150,3568,3582
,20:00,5216,2534,2682
,21:00,4583,2061,2522
,22:00,3211,1439,1772
,23:00,2369,1044,1325
,Total,153988,77712,76276
Thursday 16 June 2016,00:00,1752,587,1165
,01:00,1022,291,731
,02:00,532,237,295
,03:00,748,476,272
,04:00,1578,1091,487
,05:00,2657,1651,1006
,06:00,5712,2787,2925
,07:00,11185,5950,5235
,08:00,11135,6083,5052
,09:00,9495,4867,4628
,10:00,8097,4132,3965
,11:00,8253,4147,4106
,12:00,8678,4353,4325
,13:00,9070,4482,4588
,14:00,8898,4454,4444
,15:00,10012,4937,5075
,16:00,12336,6186,6150
,17:00,11529,6066,5463
,18:00,10313,4896,5417
,19:00,7138,3450,3688
,20:00,5402,2561,2841
,21:00,4377,2077,2300
,22:00,3289,1601,1688
,23:00,2511,1048,1463
,Total,155719,78410,77309
Friday 17 June 2016,00:00,1828,705,1123
,01:00,1160,307,853
,02:00,460,206,254
,03:00,769,539,230
,04:00,1718,1254,464
,05:00,2654,1553,1101
,06:00,5425,2748,2677
,07:00,10657,5674,4983
,08:00,10441,5629,4812
,09:00,8941,4567,4374
,10:00,8202,4087,4115
,11:00,8677,4222,4455
,12:00,9452,4529,4923
,13:00,9996,4886,5110
,14:00,10495,5132,5363
,15:00,11513,5591,5922
