Date,Time,All,N,S
Sunday 1 May 2016,00:00,1760,727,1033
,01:00,1243,545,698
,02:00,749,321,428
,03:00,803,489,314
,04:00,1302,906,396
,05:00,1337,819,518
,06:00,1403,780,623
,07:00,2003,1110,893
,08:00,2662,1341,1321
,09:00,4021,2118,1903
,10:00,5427,2786,2641
,11:00,6871,3316,3555
,12:00,8507,4156,4351
,13:00,9304,4740,4564
,14:00,8996,4568,4428
,15:00,8025,4075,3950
,16:00,7594,3844,3750
,17:00,7532,3786,3746
,18:00,6988,3563,3425
,19:00,5526,2720,2806
,20:00,4590,2252,2338
,21:00,3095,1431,1664
,22:00,2234,1063,1171
,23:00,1826,774,1052
,Total,103798,52230,51568
Monday 2 May 2016,00:00,1413,485,928
,01:00,729,308,421
,02:00,456,247,209
,03:00,668,453,215
,04:00,1230,882,348
,05:00,1546,929,617
,06:00,1766,919,847
,07:00,2472,1374,1098
,08:00,2817,1460,1357
,09:00,3609,1973,1636
,10:00,5071,2599,2472
,11:00,6842,3449,3393
,12:00,8331,4284,4047
,13:00,9131,4780,4351
,14:00,9249,4929,4320
,15:00,8722,4455,4267
,16:00,8907,4705,4202
,17:00,8428,4470,3958
,18:00,7695,3935,3760
,19:00,6459,3395,3064
,20:00,5219,2598,2621
,21:00,3563,1793,1770
,22:00,2657,1292,1365
,23:00,1937,806,1131
,Total,108917,56520,52397
Tuesday 3 May 2016,00:00,1269,392,877
,01:00,541,213,328
,02:00,368,178,190
,03:00,607,423,184
,04:00,1461,1082,379
,05:00,2772,1679,1093
,06:00,5917,2884,3033
,07:00,11305,5832,5473
,08:00,10782,6126,4656
,09:00,8998,4731,4267
,10:00,8154,4042,4112
,11:00,8227,4295,3932
,12:00,8382,4216,4166
,13:00,8773,4409,4364
,14:00,8943,4498,4445
,15:00,9452,4743,4709
,16:00,12142,6057,6085
,17:00,11732,6039,5693
,18:00,9891,4924,4967
,19:00,6903,3463,3440
,20:00,4859,2346,2513
,21:00,3872,1745,2127
,22:00,2657,1298,1359
,23:00,1879,884,995
,Total,149886,76499,73387
Wednesday 4 May 2016,00:00,1405,475,930
,01:00,615,198,417
,02:00,398,192,206
,03:00,567,386,181
,04:00,1308,952,356
,05:00,2386,1472,914
,06:00,5816,2828,2988
,07:00,11497,5969,5528
,08:00,10941,6155,4786
,09:00,8747,4470,4277
,10:00,7804,3934,3870
,11:00,7878,4115,3763
,12:00,8246,4148,4098
,13:00,8757,4411,4346
,14:00,9116,4620,4496
,15:00,9760,4993,4767
,16:00,12353,6162,6191
,17:00,12456,6245,6211
,18:00,10390,5243,5147
,19:00,7144,3579,3565
,20:00,5203,2465,2738
,21:00,4242,1844,2398
,22:00,3074,1407,1667
,23:00,2063,871,1192
,Total,152166,77134,75032
Thursday 5 May 2016,00:00,1508,466,1042
,01:00,643,241,402
,02:00,441,204,237
,03:00,574,398,176
,04:00,1403,967,436
,05:00,2273,1372,901
,06:00,5536,2646,2890
,07:00,11316,5933,5383
,08:00,11086,6280,4806
,09:00,9121,4606,4515
,10:00,8172,4140,4032
,11:00,8074,4163,3911
,12:00,8691,4313,4378
,13:00,8899,4409,4490
,14:00,9125,4552,4573
,15:00,9999,5053,4946
,16:00,12094,5940,6154
,17:00,12378,6132,6246
,18:00,10469,5264,5205
,19:00,7440,3632,3808
,20:00,5464,2676,2788
,21:00,4610,2130,2480
,22:00,3124,1466,1658
,23:00,2239,964,1275
,Total,154679,77947,76732
Friday 6 May 2016,00:00,1498,550,948
,01:00,783,230,553
,02:00,425,210,215
,03:00,700,479,221
,04:00,1411,973,438
,05:00,2430,1432,998
,06:00,5420,2645,2775
,07:00,10682,5786,4896
,08:00,10609,5901,4708
,09:00,8642,4378,4264
,10:00,8117,4081,4036
,11:00,8659,4362,4297
,12:00,9313,4626,4687
,13:00,9918,5011,4907
,14:00,10319,5095,5224
,15:00,11570,5741,5829
,16:00,12331,6116,6215
,17:00,11899,5714,6185
,18:00,9426,4710,4716
,19:00,7515,3706,3809
,20:00,5690,2683,3007
,21:00,4477,2052,2425
,22:00,3262,1537,1725
,23:00,2492,1142,1350
,Total,157588,79160,78428
