Date,Time,All,N,S
Saturday 1 October 2016,00:00,2106,739,1367
,01:00,1116,397,719
,02:00,749,349,400
,03:00,839,528,311
,04:00,1562,1082,480
,05:00,1865,1067,798
,06:00,2533,1337,1196
,07:00,3942,2182,1760
,08:00,5409,2845,2564
,09:00,7141,3693,3448
,10:00,8031,4075,3956
,11:00,9448,4931,4517
,12:00,10508,5471,5037
,13:00,11055,5856,5199
,14:00,10916,5853,5063
,15:00,10025,5394,4631
,16:00,8568,4183,4385
,17:00,6939,3348,3591
,18:00,5669,2850,2819
,19:00,6741,2704,4037
,20:00,5240,1976,3264
,21:00,3127,1265,1862
,22:00,2401,1091,1310
,23:00,2013,964,1049
,Total,127943,64180,63763
Sunday 2 October 2016,00:00,1954,812,1142
,01:00,1517,498,1019
,02:00,727,379,348
,03:00,839,540,299
,04:00,1334,922,412
,05:00,1528,903,625
,06:00,1813,984,829
,07:00,2275,1237,1038
,08:00,2798,1418,1380
,09:00,4610,2229,2381
,10:00,5951,2995,2956
,11:00,7718,3854,3864
,12:00,8793,4297,4496
,13:00,10089,5223,4866
,14:00,10075,5107,4968
,15:00,9362,4635,4727
,16:00,8738,4488,4250
,17:00,9182,4629,4553
,18:00,8417,4271,4146
,19:00,7105,3587,3518
,20:00,5532,2721,2811
,21:00,3672,1780,1892
,22:00,2562,1185,1377
,23:00,2031,825,1206
,Total,118622,59519,59103
Monday 3 October 2016,00:00,1504,441,1063
,01:00,567,184,383
,02:00,341,165,176
,03:00,701,476,225
,04:00,1616,1141,475
,05:00,2905,1754,1151
,06:00,6036,2939,3097
,07:00,10778,5907,4871
,08:00,10910,6279,4631
,09:00,9395,5013,4382
,10:00,7939,4120,3819
,11:00,7787,4008,3779
,12:00,8302,4189,4113
,13:00,8604,4281,4323
,14:00,8692,4344,4348
,15:00,9831,4859,4972
,16:00,12004,5829,6175
,17:00,12244,5828,6416
,18:00,9314,4658,4656
,19:00,6567,3160,3407
,20:00,4566,2134,2432
,21:00,3456,1566,1890
,22:00,2298,1083,1215
,23:00,1611,670,941
,Total,147968,75028,72940
Tuesday 4 October 2016,00:00,1302,439,863
,01:00,753,236,517
,02:00,462,226,236
,03:00,660,453,207
,04:00,1553,1099,454
,05:00,2645,1634,1011
,06:00,6047,2945,3102
,07:00,10291,5518,4773
,08:00,10602,5645,4957
,09:00,9961,5537,4424
,10:00,8253,4281,3972
,11:00,7798,3976,3822
,12:00,8253,4152,4101
,13:00,8763,4384,4379
,14:00,8622,4349,4273
,15:00,9542,4774,4768
,16:00,11826,6000,5826
,17:00,11139,6224,4915
,18:00,10177,5126,5051
,19:00,7335,3596,3739
,20:00,4904,2232,2672
,21:00,3810,1741,2069
,22:00,2758,1281,1477
,23:00,1882,875,1007
,Total,149338,76723,72615
Wednesday 5 October 2016,00:00,1537,555,982
,01:00,837,217,620
,02:00,456,228,228
,03:00,637,402,235
,04:00,1497,1046,451
,05:00,2524,1516,1008
,06:00,6095,2837,3258
,07:00,10298,5899,4399
,08:00,11020,6176,4844
,09:00,9661,5137,4524
,10:00,7868,4060,3808
,11:00,8108,4125,3983
,12:00,8464,4298,4166
,13:00,8958,4532,4426
,14:00,8958,4522,4436
,15:00,9919,4832,5087
,16:00,11817,5668,6149
,17:00,11641,5670,5971
,18:00,10190,4906,5284
,19:00,8164,4439,3725
,20:00,5222,2527,2695
,21:00,4337,1944,2393
,22:00,2904,1326,1578
,23:00,2068,908,1160
,Total,153180,77770,75410
Thursday 6 October 2016,00:00,1479,533,946
,01:00,812,263,549
,02:00,525,242,283
,03:00,615,407,208
,04:00,1428,998,430
,05:00,2433,1457,976
,06:00,5932,2790,3142
,07:00,10593,6055,4538
,08:00,10239,6123,4116
,09:00,10052,5066,4986
,10:00,8291,4333,3958
,11:00,8145,4103,4042
,12:00,8510,4256,4254
,13:00,8899,4511,4388
,14:00,9014,4521,4493
,15:00,10213,5114,5099
,16:00,12228,6051,6177
,17:00,12229,6262,5967
,18:00,10762,5348,5414
,19:00,7632,3779,3853
,20:00,5366,2582,2784
,21:00,4421,1921,2500
,22:00,3365,1448,1917
,23:00,2386,992,1394
,Total,155569,79155,76414
Friday 7 October 2016,00:00,1645,602,1043
,01:00,919,282,637
,02:00,593,257,336
,03:00,680,451,229
,04:00,1559,1098,461
,05:00,2570,1505,1065
,06:00,5945,2790,3155
,07:00,9648,5745,3903
,08:00,9106,6153,2953
,09:00,8810,4711,4099
,10:00,8443,4208,4235
,11:00,8336,4196,4140
