datetime,dayOfWeek,month,time,northBound,southBound
2016/2/1 00:00,1,2,0,370,650
2016/2/1 01:00,1,2,100,191,383
2016/2/1 02:00,1,2,200,157,162
2016/2/1 03:00,1,2,300,307,149
2016/2/1 04:00,1,2,400,854,380
2016/2/1 05:00,1,2,500,1506,1011
2016/2/1 06:00,1,2,600,2621,2891
2016/2/1 07:00,1,2,700,5476,5087
2016/2/1 08:00,1,2,800,6085,4148
2016/2/1 09:00,1,2,900,4918,4187
2016/2/1 10:00,1,2,1000,3846,3351
2016/2/1 11:00,1,2,1100,3754,3415
2016/2/1 12:00,1,2,1200,3596,3568
2016/2/1 13:00,1,2,1300,3870,3845
2016/2/1 14:00,1,2,1400,3900,4033
2016/2/1 15:00,1,2,1500,4257,4413
2016/2/1 16:00,1,2,1600,5468,5732
2016/2/1 17:00,1,2,1700,5693,5867
2016/2/1 18:00,1,2,1800,4470,4442
2016/2/1 19:00,1,2,1900,2963,2853
2016/2/1 20:00,1,2,2000,1835,2117
2016/2/1 21:00,1,2,2100,1446,1698
2016/2/1 22:00,1,2,2200,1009,1419
2016/2/1 23:00,1,2,2300,585,743
2016/2/2 00:00,2,2,0,396,585
2016/2/2 01:00,2,2,100,203,405
2016/2/2 02:00,2,2,200,177,179
2016/2/2 03:00,2,2,300,316,161
2016/2/2 04:00,2,2,400,725,331
2016/2/2 05:00,2,2,500,1379,782
2016/2/2 06:00,2,2,600,2519,2749
2016/2/2 07:00,2,2,700,5595,5379
2016/2/2 08:00,2,2,800,6037,4499
2016/2/2 09:00,2,2,900,4788,4334
2016/2/2 10:00,2,2,1000,3878,3494
2016/2/2 11:00,2,2,1100,3721,3575
2016/2/2 12:00,2,2,1200,3671,3801
2016/2/2 13:00,2,2,1300,3898,3824
2016/2/2 14:00,2,2,1400,3981,4019
2016/2/2 15:00,2,2,1500,4527,4462
2016/2/2 16:00,2,2,1600,5616,5511
2016/2/2 17:00,2,2,1700,5740,5939
2016/2/2 18:00,2,2,1800,5001,4687
2016/2/2 19:00,2,2,1900,3222,3135
2016/2/2 20:00,2,2,2000,2024,2313
2016/2/2 21:00,2,2,2100,1447,1929
2016/2/2 22:00,2,2,2200,1129,1324
2016/2/2 23:00,2,2,2300,664,921
2016/2/3 00:00,3,2,0,352,619
2016/2/3 01:00,3,2,100,192,224
2016/2/3 02:00,3,2,200,168,213
2016/2/3 03:00,3,2,300,305,163
2016/2/3 04:00,3,2,400,846,376
2016/2/3 05:00,3,2,500,1292,835
2016/2/3 06:00,3,2,600,2577,2737
2016/2/3 07:00,3,2,700,5438,5266
2016/2/3 08:00,3,2,800,6111,4579
2016/2/3 09:00,3,2,900,4790,4492
2016/2/3 10:00,3,2,1000,3876,3496
2016/2/3 11:00,3,2,1100,3779,3563
2016/2/3 12:00,3,2,1200,3961,3777
2016/2/3 13:00,3,2,1300,4094,4282
2016/2/3 14:00,3,2,1400,4102,4152
2016/2/3 15:00,3,2,1500,4686,4785
2016/2/3 16:00,3,2,1600,5361,6001
