datetime,dayOfWeek,month,time,northBound,southBound
2017/5/1 00:00,1,5,0,571,1142
2017/5/1 01:00,1,5,100,309,574
2017/5/1 02:00,1,5,200,238,260
2017/5/1 03:00,1,5,300,412,283
2017/5/1 04:00,1,5,400,812,341
2017/5/1 05:00,1,5,500,950,638
2017/5/1 06:00,1,5,600,1031,1016
2017/5/1 07:00,1,5,700,1419,1103
2017/5/1 08:00,1,5,800,1415,1392
2017/5/1 09:00,1,5,900,2046,2022
2017/5/1 10:00,1,5,1000,2796,2807
2017/5/1 11:00,1,5,1100,3547,3498
2017/5/1 12:00,1,5,1200,4483,4356
2017/5/1 13:00,1,5,1300,4948,4648
2017/5/1 14:00,1,5,1400,4948,4388
2017/5/1 15:00,1,5,1500,4611,4251
2017/5/1 16:00,1,5,1600,4658,4144
2017/5/1 17:00,1,5,1700,4593,4130
2017/5/1 18:00,1,5,1800,4384,3917
2017/5/1 19:00,1,5,1900,3615,3577
2017/5/1 20:00,1,5,2000,2785,2885
2017/5/1 21:00,1,5,2100,2026,2002
2017/5/1 22:00,1,5,2200,1353,1463
2017/5/1 23:00,1,5,2300,836,1045
2017/5/2 00:00,2,5,0,475,928
2017/5/2 01:00,2,5,100,227,463
2017/5/2 02:00,2,5,200,197,192
2017/5/2 03:00,2,5,300,414,225
2017/5/2 04:00,2,5,400,1075,423
2017/5/2 05:00,2,5,500,1797,1078
2017/5/2 06:00,2,5,600,3490,3432
2017/5/2 07:00,2,5,700,6231,5755
2017/5/2 08:00,2,5,800,6346,5087
2017/5/2 09:00,2,5,900,5193,4917
2017/5/2 10:00,2,5,1000,4439,4042
2017/5/2 11:00,2,5,1100,4140,4078
2017/5/2 12:00,2,5,1200,4247,4262
2017/5/2 13:00,2,5,1300,4511,4373
2017/5/2 14:00,2,5,1400,4553,4470
2017/5/2 15:00,2,5,1500,5031,4895
2017/5/2 16:00,2,5,1600,6030,6328
2017/5/2 17:00,2,5,1700,6222,6266
2017/5/2 18:00,2,5,1800,4981,4797
2017/5/2 19:00,2,5,1900,3374,3348
2017/5/2 20:00,2,5,2000,2410,2647
2017/5/2 21:00,2,5,2100,1818,2098
2017/5/2 22:00,2,5,2200,1327,1360
2017/5/2 23:00,2,5,2300,824,1090
2017/5/3 00:00,3,5,0,519,870
2017/5/3 01:00,3,5,100,247,544
2017/5/3 02:00,3,5,200,223,234
2017/5/3 03:00,3,5,300,412,207
2017/5/3 04:00,3,5,400,950,411
2017/5/3 05:00,3,5,500,1577,954
2017/5/3 06:00,3,5,600,3371,3432
2017/5/3 07:00,3,5,700,5237,4360
2017/5/3 08:00,3,5,800,5802,4056
2017/5/3 09:00,3,5,900,5599,5368
2017/5/3 10:00,3,5,1000,4570,3984
2017/5/3 11:00,3,5,1100,4348,4215
2017/5/3 12:00,3,5,1200,4403,4348
2017/5/3 13:00,3,5,1300,4575,4422
2017/5/3 14:00,3,5,1400,4499,4638
2017/5/3 15:00,3,5,1500,5203,5197
2017/5/3 16:00,3,5,1600,6236,6025
2017/5/3 17:00,3,5,1700,6196,6369
2017/5/3 18:00,3,5,1800,5328,5284
2017/5/3 19:00,3,5,1900,3827,3787
2017/5/3 20:00,3,5,2000,2652,2857
2017/5/3 21:00,3,5,2100,2113,2416
2017/5/3 22:00,3,5,2200,1431,1705
2017/5/3 23:00,3,5,2300,958,1183
2017/5/4 00:00,4,5,0,459,938
2017/5/4 01:00,4,5,100,222,440
2017/5/4 02:00,4,5,200,231,219
2017/5/4 03:00,4,5,300,400,237
2017/5/4 04:00,4,5,400,940,399
2017/5/4 05:00,4,5,500,1474,882
2017/5/4 06:00,4,5,600,3275,3438
2017/5/4 07:00,4,5,700,6088,5737
2017/5/4 08:00,4,5,800,6209,5175
2017/5/4 09:00,4,5,900,4920,4873
2017/5/4 10:00,4,5,1000,4486,4003
2017/5/4 11:00,4,5,1100,4208,4013
2017/5/4 12:00,4,5,1200,4352,4349
2017/5/4 13:00,4,5,1300,4597,4456
2017/5/4 14:00,4,5,1400,4722,4500
2017/5/4 15:00,4,5,1500,5348,5232
2017/5/4 16:00,4,5,1600,6239,6647
2017/5/4 17:00,4,5,1700,6376,6276
2017/5/4 18:00,4,5,1800,5369,5347
2017/5/4 19:00,4,5,1900,3811,3947
2017/5/4 20:00,4,5,2000,2859,3075
2017/5/4 21:00,4,5,2100,2262,2494
2017/5/4 22:00,4,5,2200,1455,1904
2017/5/4 23:00,4,5,2300,1061,1270
2017/5/5 00:00,5,5,0,614,1108
2017/5/5 01:00,5,5,100,300,687
2017/5/5 02:00,5,5,200,253,284
2017/5/5 03:00,5,5,300,459,262
2017/5/5 04:00,5,5,400,1026,464
2017/5/5 05:00,5,5,500,1479,1042
2017/5/5 06:00,5,5,600,3375,3230
2017/5/5 07:00,5,5,700,6065,5444
2017/5/5 08:00,5,5,800,5989,5005
2017/5/5 09:00,5,5,900,4853,4719
2017/5/5 10:00,5,5,1000,4429,4088
2017/5/5 11:00,5,5,1100,4709,4336
2017/5/5 12:00,5,5,1200,4745,4946
2017/5/5 13:00,5,5,1300,5007,5309
2017/5/5 14:00,5,5,1400,5471,5615
2017/5/5 15:00,5,5,1500,5526,4935
2017/5/5 16:00,5,5,1600,6130,3715
2017/5/5 17:00,5,5,1700,5914,5611
2017/5/5 18:00,5,5,1800,5194,5434
2017/5/5 19:00,5,5,1900,3941,4210
2017/5/5 20:00,5,5,2000,2839,3181
2017/5/5 21:00,5,5,2100,2210,2406
2017/5/5 22:00,5,5,2200,1831,1956
2017/5/5 23:00,5,5,2300,1261,1489
2017/5/6 00:00,6,5,0,737,1308
2017/5/6 01:00,6,5,100,360,592
2017/5/6 02:00,6,5,200,338,347
2017/5/6 03:00,6,5,300,509,463
2017/5/6 04:00,6,5,400,1041,442
2017/5/6 05:00,6,5,500,1106,742
2017/5/6 06:00,6,5,600,1546,1305
2017/5/6 07:00,6,5,700,2289,1833
2017/5/6 08:00,6,5,800,2693,2783
2017/5/6 09:00,6,5,900,3588,3489
2017/5/6 10:00,6,5,1000,4054,3784
2017/5/6 11:00,6,5,1100,4438,4393
2017/5/6 12:00,6,5,1200,4690,4933
2017/5/6 13:00,6,5,1300,4925,5348
2017/5/6 14:00,6,5,1400,5085,5032
2017/5/6 15:00,6,5,1500,4495,4517
2017/5/6 16:00,6,5,1600,4284,4280
2017/5/6 17:00,6,5,1700,4386,4359
2017/5/6 18:00,6,5,1800,3971,3624
2017/5/6 19:00,6,5,1900,3127,3126
2017/5/6 20:00,6,5,2000,2257,2303
2017/5/6 21:00,6,5,2100,1444,1737
2017/5/6 22:00,6,5,2200,1219,1416
2017/5/6 23:00,6,5,2300,989,1314
2017/5/7 00:00,7,5,0,755,1112
2017/5/7 01:00,7,5,100,443,791
2017/5/7 02:00,7,5,200,293,365
2017/5/7 03:00,7,5,300,447,249
2017/5/7 04:00,7,5,400,921,404
2017/5/7 05:00,7,5,500,952,535
2017/5/7 06:00,7,5,600,908,778
2017/5/7 07:00,7,5,700,1397,999
2017/5/7 08:00,7,5,800,1649,1623
2017/5/7 09:00,7,5,900,2531,2472
2017/5/7 10:00,7,5,1000,3232,3236
2017/5/7 11:00,7,5,1100,4216,3916
2017/5/7 12:00,7,5,1200,4944,4421
2017/5/7 13:00,7,5,1300,5468,4942
2017/5/7 14:00,7,5,1400,5235,4520
2017/5/7 15:00,7,5,1500,4547,4303
2017/5/7 16:00,7,5,1600,4181,4423
2017/5/7 17:00,7,5,1700,4177,4380
2017/5/7 18:00,7,5,1800,4245,4716
2017/5/7 19:00,7,5,1900,3777,3980
2017/5/7 20:00,7,5,2000,2923,2980
2017/5/7 21:00,7,5,2100,2187,2262
2017/5/7 22:00,7,5,2200,1524,1552
2017/5/7 23:00,7,5,2300,899,1210
2017/5/8 00:00,1,5,0,462,1067
2017/5/8 01:00,1,5,100,223,497
2017/5/8 02:00,1,5,200,213,240
2017/5/8 03:00,1,5,300,419,237
2017/5/8 04:00,1,5,400,1141,423
2017/5/8 05:00,1,5,500,1838,1123
2017/5/8 06:00,1,5,600,3474,3385
2017/5/8 07:00,1,5,700,6216,5682
2017/5/8 08:00,1,5,800,4999,5191
2017/5/8 09:00,1,5,900,5946,4519
2017/5/8 10:00,1,5,1000,4436,4105
2017/5/8 11:00,1,5,1100,4023,4112
2017/5/8 12:00,1,5,1200,4192,4430
2017/5/8 13:00,1,5,1300,4464,4402
2017/5/8 14:00,1,5,1400,4569,4476
2017/5/8 15:00,1,5,1500,5015,4876
2017/5/8 16:00,1,5,1600,6162,6283
2017/5/8 17:00,1,5,1700,5877,6469
2017/5/8 18:00,1,5,1800,4919,4792
2017/5/8 19:00,1,5,1900,3456,3394
2017/5/8 20:00,1,5,2000,2261,2719
2017/5/8 21:00,1,5,2100,1607,1940
2017/5/8 22:00,1,5,2200,1223,1546
2017/5/8 23:00,1,5,2300,803,951
2017/5/9 00:00,2,5,0,465,933
2017/5/9 01:00,2,5,100,218,500
2017/5/9 02:00,2,5,200,197,200
2017/5/9 03:00,2,5,300,379,214
2017/5/9 04:00,2,5,400,1024,415
2017/5/9 05:00,2,5,500,1696,976
2017/5/9 06:00,2,5,600,3339,3517
2017/5/9 07:00,2,5,700,6156,5870
2017/5/9 08:00,2,5,800,6557,5229
2017/5/9 09:00,2,5,900,4969,4924
2017/5/9 10:00,2,5,1000,4151,3978
2017/5/9 11:00,2,5,1100,4105,3858
2017/5/9 12:00,2,5,1200,4218,4057
2017/5/9 13:00,2,5,1300,4313,4378
2017/5/9 14:00,2,5,1400,4659,4454
2017/5/9 15:00,2,5,1500,5142,5094
2017/5/9 16:00,2,5,1600,6180,6542
2017/5/9 17:00,2,5,1700,6049,6138
2017/5/9 18:00,2,5,1800,5007,5155
2017/5/9 19:00,2,5,1900,3527,3446
2017/5/9 20:00,2,5,2000,2308,2942
2017/5/9 21:00,2,5,2100,2014,2255
2017/5/9 22:00,2,5,2200,1292,1620
2017/5/9 23:00,2,5,2300,849,1165
2017/5/10 00:00,3,5,0,480,894
2017/5/10 01:00,3,5,100,204,459
2017/5/10 02:00,3,5,200,217,229
2017/5/10 03:00,3,5,300,414,224
2017/5/10 04:00,3,5,400,977,465
2017/5/10 05:00,3,5,500,1577,964
2017/5/10 06:00,3,5,600,3360,3492
2017/5/10 07:00,3,5,700,6207,5856
2017/5/10 08:00,3,5,800,6440,3489
2017/5/10 09:00,3,5,900,5179,5292
2017/5/10 10:00,3,5,1000,4198,4100
2017/5/10 11:00,3,5,1100,4289,3932
2017/5/10 12:00,3,5,1200,4363,4294
2017/5/10 13:00,3,5,1300,4547,4551
2017/5/10 14:00,3,5,1400,4863,4524
2017/5/10 15:00,3,5,1500,5191,5158
2017/5/10 16:00,3,5,1600,6304,6355
2017/5/10 17:00,3,5,1700,6232,6574
2017/5/10 18:00,3,5,1800,5118,5243
2017/5/10 19:00,3,5,1900,3801,3626
2017/5/10 20:00,3,5,2000,2666,2933
2017/5/10 21:00,3,5,2100,2167,2514
2017/5/10 22:00,3,5,2200,1484,1863
2017/5/10 23:00,3,5,2300,949,1213
2017/5/11 00:00,4,5,0,434,876
2017/5/11 01:00,4,5,100,233,508
2017/5/11 02:00,4,5,200,224,201
2017/5/11 03:00,4,5,300,451,238
2017/5/11 04:00,4,5,400,1017,434
2017/5/11 05:00,4,5,500,1447,1010
2017/5/11 06:00,4,5,600,3338,3503
2017/5/11 07:00,4,5,700,6215,5382
2017/5/11 08:00,4,5,800,6395,5306
2017/5/11 09:00,4,5,900,5115,4780
2017/5/11 10:00,4,5,1000,4443,4186
2017/5/11 11:00,4,5,1100,4329,4108
2017/5/11 12:00,4,5,1200,4632,4367
2017/5/11 13:00,4,5,1300,4626,4579
2017/5/11 14:00,4,5,1400,4843,4631
2017/5/11 15:00,4,5,1500,5263,5467
2017/5/11 16:00,4,5,1600,6096,6370
2017/5/11 17:00,4,5,1700,6140,6162
2017/5/11 18:00,4,5,1800,5517,5521
2017/5/11 19:00,4,5,1900,3924,4028
2017/5/11 20:00,4,5,2000,2899,3145
2017/5/11 21:00,4,5,2100,2196,2454
2017/5/11 22:00,4,5,2200,1515,1893
2017/5/11 23:00,4,5,2300,1101,1132
2017/5/12 00:00,5,5,0,608,1165
2017/5/12 01:00,5,5,100,292,756
2017/5/12 02:00,5,5,200,241,229
2017/5/12 03:00,5,5,300,492,249
2017/5/12 04:00,5,5,400,1110,453
2017/5/12 05:00,5,5,500,1515,1063
2017/5/12 06:00,5,5,600,3302,3264
2017/5/12 07:00,5,5,700,6083,5436
2017/5/12 08:00,5,5,800,6144,4912
2017/5/12 09:00,5,5,900,3972,4516
2017/5/12 10:00,5,5,1000,4006,4017
2017/5/12 11:00,5,5,1100,4204,4287
2017/5/12 12:00,5,5,1200,5330,4865
2017/5/12 13:00,5,5,1300,5274,5308
2017/5/12 14:00,5,5,1400,5552,5796
2017/5/12 15:00,5,5,1500,5860,5969
2017/5/12 16:00,5,5,1600,6040,6155
2017/5/12 17:00,5,5,1700,5515,5460
2017/5/12 18:00,5,5,1800,5147,4815
2017/5/12 19:00,5,5,1900,3937,4217
2017/5/12 20:00,5,5,2000,2829,3245
2017/5/12 21:00,5,5,2100,2292,2407
2017/5/12 22:00,5,5,2200,1746,1998
2017/5/12 23:00,5,5,2300,1099,1499
2017/5/13 00:00,6,5,0,666,1205
2017/5/13 01:00,6,5,100,413,791
2017/5/13 02:00,6,5,200,266,298
2017/5/13 03:00,6,5,300,489,294
2017/5/13 04:00,6,5,400,1018,404
2017/5/13 05:00,6,5,500,1138,692
2017/5/13 06:00,6,5,600,1425,1244
2017/5/13 07:00,6,5,700,2329,1879
2017/5/13 08:00,6,5,800,2799,2774
2017/5/13 09:00,6,5,900,3885,3808
2017/5/13 10:00,6,5,1000,4094,4045
2017/5/13 11:00,6,5,1100,4532,4254
2017/5/13 12:00,6,5,1200,4797,5274
2017/5/13 13:00,6,5,1300,5118,5633
2017/5/13 14:00,6,5,1400,5408,5136
2017/5/13 15:00,6,5,1500,4624,4796
2017/5/13 16:00,6,5,1600,4549,4392
2017/5/13 17:00,6,5,1700,4323,4422
2017/5/13 18:00,6,5,1800,4055,3881
2017/5/13 19:00,6,5,1900,3248,3330
2017/5/13 20:00,6,5,2000,2196,2780
2017/5/13 21:00,6,5,2100,1504,2084
2017/5/13 22:00,6,5,2200,1167,1392
2017/5/13 23:00,6,5,2300,1033,1293
2017/5/14 00:00,7,5,0,789,1084
2017/5/14 01:00,7,5,100,472,835
2017/5/14 02:00,7,5,200,320,349
2017/5/14 03:00,7,5,300,449,240
2017/5/14 04:00,7,5,400,931,372
2017/5/14 05:00,7,5,500,901,615
2017/5/14 06:00,7,5,600,923,835
2017/5/14 07:00,7,5,700,1396,1088
2017/5/14 08:00,7,5,800,1719,1615
2017/5/14 09:00,7,5,900,2842,2908
2017/5/14 10:00,7,5,1000,2335,2503
2017/5/14 11:00,7,5,1100,3805,3822
2017/5/14 12:00,7,5,1200,4392,4530
2017/5/14 13:00,7,5,1300,5001,4946
2017/5/14 14:00,7,5,1400,4991,4688
2017/5/14 15:00,7,5,1500,4599,4523
2017/5/14 16:00,7,5,1600,4707,4433
2017/5/14 17:00,7,5,1700,4525,4309
2017/5/14 18:00,7,5,1800,4346,4042
2017/5/14 19:00,7,5,1900,3600,3513
2017/5/14 20:00,7,5,2000,2726,2857
2017/5/14 21:00,7,5,2100,2047,2141
2017/5/14 22:00,7,5,2200,1418,1488
2017/5/14 23:00,7,5,2300,911,1246
2017/5/15 00:00,1,5,0,469,1052
2017/5/15 01:00,1,5,100,206,394
2017/5/15 02:00,1,5,200,199,223
2017/5/15 03:00,1,5,300,448,208
2017/5/15 04:00,1,5,400,1226,477
2017/5/15 05:00,1,5,500,1776,1171
2017/5/15 06:00,1,5,600,3304,3244
2017/5/15 07:00,1,5,700,5980,5089
2017/5/15 08:00,1,5,800,6138,4353
2017/5/15 09:00,1,5,900,4940,4963
2017/5/15 10:00,1,5,1000,4470,3963
2017/5/15 11:00,1,5,1100,4100,4009
2017/5/15 12:00,1,5,1200,4255,4467
2017/5/15 13:00,1,5,1300,4458,4286
2017/5/15 14:00,1,5,1400,4654,4480
2017/5/15 15:00,1,5,1500,5202,4935
2017/5/15 16:00,1,5,1600,6203,6223
2017/5/15 17:00,1,5,1700,6142,6468
2017/5/15 18:00,1,5,1800,4944,4897
2017/5/15 19:00,1,5,1900,3383,3403
2017/5/15 20:00,1,5,2000,2178,2590
2017/5/15 21:00,1,5,2100,1687,1998
2017/5/15 22:00,1,5,2200,1145,1470
2017/5/15 23:00,1,5,2300,773,1102
2017/5/16 00:00,2,5,0,480,954
2017/5/16 01:00,2,5,100,223,558
2017/5/16 02:00,2,5,200,225,183
2017/5/16 03:00,2,5,300,467,225
2017/5/16 04:00,2,5,400,1077,464
2017/5/16 05:00,2,5,500,1648,1051
