datetime,dayOfWeek,month,time,northBound,southBound
2017/11/1 00:00,3,11,0,382.0,794.0
2017/11/1 01:00,3,11,100,257.0,351.0
2017/11/1 02:00,3,11,200,248.0,258.0
2017/11/1 03:00,3,11,300,454.0,302.0
2017/11/1 04:00,3,11,400,1184.0,523.0
2017/11/1 05:00,3,11,500,1611.0,1188.0
2017/11/1 06:00,3,11,600,3419.0,3483.0
2017/11/1 07:00,3,11,700,6177.0,5639.0
2017/11/1 08:00,3,11,800,6246.0,4639.0
2017/11/1 09:00,3,11,900,4748.0,4583.0
2017/11/1 10:00,3,11,1000,4615.0,4529.0
2017/11/1 11:00,3,11,1100,4708.0,4571.0
2017/11/1 12:00,3,11,1200,5112.0,4895.0
2017/11/1 13:00,3,11,1300,4967.0,4972.0
2017/11/1 14:00,3,11,1400,5202.0,5069.0
2017/11/1 15:00,3,11,1500,5484.0,5470.0
2017/11/1 16:00,3,11,1600,6281.0,5787.0
2017/11/1 17:00,3,11,1700,5768.0,5998.0
2017/11/1 18:00,3,11,1800,5272.0,5597.0
2017/11/1 19:00,3,11,1900,3983.0,3760.0
2017/11/1 20:00,3,11,2000,2534.0,2773.0
2017/11/1 21:00,3,11,2100,1872.0,2349.0
2017/11/1 22:00,3,11,2200,1391.0,1603.0
2017/11/1 23:00,3,11,2300,782.0,1073.0
2017/11/2 00:00,4,11,0,350.0,949.0
2017/11/2 01:00,4,11,100,195.0,296.0
2017/11/2 02:00,4,11,200,233.0,217.0
2017/11/2 03:00,4,11,300,424.0,238.0
2017/11/2 04:00,4,11,400,1115.0,477.0
2017/11/2 05:00,4,11,500,1627.0,1150.0
2017/11/2 06:00,4,11,600,3387.0,3467.0
2017/11/2 07:00,4,11,700,6115.0,3966.0
2017/11/2 08:00,4,11,800,6057.0,4546.0
2017/11/2 09:00,4,11,900,4812.0,4667.0
2017/11/2 10:00,4,11,1000,4817.0,4436.0
2017/11/2 11:00,4,11,1100,4693.0,4480.0
2017/11/2 12:00,4,11,1200,5065.0,5038.0
2017/11/2 13:00,4,11,1300,5076.0,4886.0
2017/11/2 14:00,4,11,1400,5276.0,5058.0
2017/11/2 15:00,4,11,1500,5590.0,5724.0
2017/11/2 16:00,4,11,1600,6345.0,6475.0
2017/11/2 17:00,4,11,1700,5879.0,6214.0
2017/11/2 18:00,4,11,1800,5538.0,5218.0
2017/11/2 19:00,4,11,1900,3828.0,4156.0
2017/11/2 20:00,4,11,2000,2693.0,3001.0
2017/11/2 21:00,4,11,2100,2103.0,2491.0
2017/11/2 22:00,4,11,2200,1528.0,1742.0
2017/11/2 23:00,4,11,2300,814.0,1460.0
2017/11/3 00:00,5,11,0,431.0,892.0
2017/11/3 01:00,5,11,100,252.0,368.0
2017/11/3 02:00,5,11,200,254.0,250.0
2017/11/3 03:00,5,11,300,466.0,282.0
2017/11/3 04:00,5,11,400,1042.0,510.0
2017/11/3 05:00,5,11,500,1557.0,1079.0
2017/11/3 06:00,5,11,600,3453.0,3278.0
2017/11/3 07:00,5,11,700,6017.0,5265.0
2017/11/3 08:00,5,11,800,5438.0,4636.0
2017/11/3 09:00,5,11,900,4762.0,4316.0
2017/11/3 10:00,5,11,1000,4862.0,4439.0
2017/11/3 11:00,5,11,1100,5034.0,4780.0
2017/11/3 12:00,5,11,1200,5305.0,5419.0
2017/11/3 13:00,5,11,1300,5611.0,5409.0
2017/11/3 14:00,5,11,1400,5772.0,5164.0
2017/11/3 15:00,5,11,1500,4538.0,3890.0
2017/11/3 16:00,5,11,1600,5829.0,4634.0
2017/11/3 17:00,5,11,1700,5615.0,6129.0
2017/11/3 18:00,5,11,1800,5196.0,5237.0
2017/11/3 19:00,5,11,1900,4278.0,4107.0
2017/11/3 20:00,5,11,2000,2588.0,3074.0
2017/11/3 21:00,5,11,2100,1961.0,2454.0
2017/11/3 22:00,5,11,2200,1424.0,1855.0
2017/11/3 23:00,5,11,2300,896.0,1422.0
2017/11/4 00:00,6,11,0,516.0,1002.0
2017/11/4 01:00,6,11,100,373.0,404.0
2017/11/4 02:00,6,11,200,293.0,254.0
2017/11/4 03:00,6,11,300,472.0,342.0
2017/11/4 04:00,6,11,400,916.0,442.0
2017/11/4 05:00,6,11,500,1007.0,833.0
2017/11/4 06:00,6,11,600,1513.0,1352.0
2017/11/4 07:00,6,11,700,2394.0,1978.0
2017/11/4 08:00,6,11,800,2790.0,2604.0
2017/11/4 09:00,6,11,900,3784.0,3425.0
2017/11/4 10:00,6,11,1000,4471.0,4112.0
2017/11/4 11:00,6,11,1100,4909.0,4589.0
2017/11/4 12:00,6,11,1200,5198.0,5446.0
2017/11/4 13:00,6,11,1300,5344.0,5447.0
2017/11/4 14:00,6,11,1400,4934.0,3708.0
2017/11/4 15:00,6,11,1500,4441.0,3396.0
2017/11/4 16:00,6,11,1600,4566.0,5061.0
2017/11/4 17:00,6,11,1700,4286.0,4580.0
2017/11/4 18:00,6,11,1800,3718.0,3696.0
2017/11/4 19:00,6,11,1900,2822.0,2896.0
2017/11/4 20:00,6,11,2000,1948.0,2136.0
2017/11/4 21:00,6,11,2100,1340.0,1513.0
2017/11/4 22:00,6,11,2200,1017.0,1281.0
2017/11/4 23:00,6,11,2300,821.0,1139.0
2017/11/5 00:00,7,11,0,544.0,1062.0
2017/11/5 01:00,7,11,100,424.0,471.0
2017/11/5 02:00,7,11,200,316.0,263.0
2017/11/5 03:00,7,11,300,399.0,265.0
2017/11/5 04:00,7,11,400,778.0,365.0
2017/11/5 05:00,7,11,500,763.0,664.0
2017/11/5 06:00,7,11,600,827.0,692.0
2017/11/5 07:00,7,11,700,1311.0,1056.0
2017/11/5 08:00,7,11,800,1593.0,1403.0
2017/11/5 09:00,7,11,900,2592.0,2251.0
2017/11/5 10:00,7,11,1000,3306.0,3179.0
2017/11/5 11:00,7,11,1100,3891.0,3904.0
2017/11/5 12:00,7,11,1200,4897.0,4680.0
2017/11/5 13:00,7,11,1300,5360.0,5052.0
2017/11/5 14:00,7,11,1400,5080.0,5078.0
2017/11/5 15:00,7,11,1500,4782.0,4914.0
2017/11/5 16:00,7,11,1600,4787.0,4627.0
2017/11/5 17:00,7,11,1700,4440.0,4426.0
2017/11/5 18:00,7,11,1800,4210.0,3861.0
2017/11/5 19:00,7,11,1900,3218.0,3358.0
2017/11/5 20:00,7,11,2000,2546.0,2423.0
2017/11/5 21:00,7,11,2100,1803.0,1977.0
2017/11/5 22:00,7,11,2200,1128.0,1650.0
2017/11/5 23:00,7,11,2300,663.0,1055.0
2017/11/6 00:00,1,11,0,342.0,759.0
2017/11/6 01:00,1,11,100,199.0,246.0
2017/11/6 02:00,1,11,200,185.0,149.0
2017/11/6 03:00,1,11,300,374.0,214.0
2017/11/6 04:00,1,11,400,1185.0,417.0
2017/11/6 05:00,1,11,500,1772.0,1317.0
2017/11/6 06:00,1,11,600,3402.0,3723.0
2017/11/6 07:00,1,11,700,6060.0,6012.0
2017/11/6 08:00,1,11,800,6219.0,4877.0
2017/11/6 09:00,1,11,900,5412.0,4689.0
2017/11/6 10:00,1,11,1000,4521.0,3970.0
2017/11/6 11:00,1,11,1100,4309.0,4076.0
2017/11/6 12:00,1,11,1200,4315.0,4381.0
2017/11/6 13:00,1,11,1300,4618.0,4563.0
2017/11/6 14:00,1,11,1400,4604.0,4510.0
2017/11/6 15:00,1,11,1500,5150.0,5258.0
2017/11/6 16:00,1,11,1600,6301.0,6232.0
2017/11/6 17:00,1,11,1700,5881.0,5831.0
