datetime,dayOfWeek,month,time,northBound,southBound
2017/9/1 00:00,5,9,0,673.0,903.0
2017/9/1 01:00,5,9,100,387.0,792.0
2017/9/1 02:00,5,9,200,336.0,549.0
2017/9/1 03:00,5,9,300,578.0,353.0
2017/9/1 04:00,5,9,400,1192.0,596.0
2017/9/1 05:00,5,9,500,1484.0,1042.0
2017/9/1 06:00,5,9,600,3315.0,3093.0
2017/9/1 07:00,5,9,700,6249.0,5379.0
2017/9/1 08:00,5,9,800,5822.0,5286.0
2017/9/1 09:00,5,9,900,4595.0,4784.0
2017/9/1 10:00,5,9,1000,4425.0,4409.0
2017/9/1 11:00,5,9,1100,4613.0,4692.0
2017/9/1 12:00,5,9,1200,4989.0,5110.0
2017/9/1 13:00,5,9,1300,5183.0,5408.0
2017/9/1 14:00,5,9,1400,5571.0,5606.0
2017/9/1 15:00,5,9,1500,5876.0,5793.0
2017/9/1 16:00,5,9,1600,6226.0,6333.0
2017/9/1 17:00,5,9,1700,5563.0,5808.0
2017/9/1 18:00,5,9,1800,4592.0,4663.0
2017/9/1 19:00,5,9,1900,3683.0,3997.0
2017/9/1 20:00,5,9,2000,2723.0,3101.0
2017/9/1 21:00,5,9,2100,1992.0,2340.0
2017/9/1 22:00,5,9,2200,1565.0,1880.0
2017/9/1 23:00,5,9,2300,1172.0,1357.0
2017/9/2 00:00,6,9,0,716.0,1183.0
2017/9/2 01:00,6,9,100,467.0,749.0
2017/9/2 02:00,6,9,200,337.0,382.0
2017/9/2 03:00,6,9,300,614.0,383.0
2017/9/2 04:00,6,9,400,1142.0,516.0
2017/9/2 05:00,6,9,500,1178.0,780.0
2017/9/2 06:00,6,9,600,1533.0,1338.0
2017/9/2 07:00,6,9,700,2367.0,1815.0
2017/9/2 08:00,6,9,800,2692.0,2550.0
2017/9/2 09:00,6,9,900,3588.0,3640.0
2017/9/2 10:00,6,9,1000,4349.0,3908.0
2017/9/2 11:00,6,9,1100,4968.0,4877.0
2017/9/2 12:00,6,9,1200,5263.0,5294.0
2017/9/2 13:00,6,9,1300,5628.0,5314.0
2017/9/2 14:00,6,9,1400,5170.0,5259.0
2017/9/2 15:00,6,9,1500,4901.0,4893.0
2017/9/2 16:00,6,9,1600,4692.0,4700.0
2017/9/2 17:00,6,9,1700,4308.0,4204.0
2017/9/2 18:00,6,9,1800,3639.0,3793.0
2017/9/2 19:00,6,9,1900,3116.0,3126.0
2017/9/2 20:00,6,9,2000,2122.0,2529.0
2017/9/2 21:00,6,9,2100,1502.0,1682.0
2017/9/2 22:00,6,9,2200,1150.0,1178.0
2017/9/2 23:00,6,9,2300,965.0,1120.0
2017/9/3 00:00,7,9,0,758.0,1039.0
2017/9/3 01:00,7,9,100,561.0,965.0
2017/9/3 02:00,7,9,200,396.0,541.0
2017/9/3 03:00,7,9,300,631.0,322.0
2017/9/3 04:00,7,9,400,977.0,402.0
2017/9/3 05:00,7,9,500,957.0,584.0
2017/9/3 06:00,7,9,600,1008.0,781.0
2017/9/3 07:00,7,9,700,1369.0,1026.0
2017/9/3 08:00,7,9,800,1678.0,1384.0
2017/9/3 09:00,7,9,900,2954.0,2151.0
2017/9/3 10:00,7,9,1000,4372.0,2886.0
2017/9/3 11:00,7,9,1100,5411.0,3717.0
2017/9/3 12:00,7,9,1200,5684.0,4497.0
2017/9/3 13:00,7,9,1300,5043.0,5024.0
2017/9/3 14:00,7,9,1400,5109.0,4801.0
2017/9/3 15:00,7,9,1500,4637.0,4300.0
2017/9/3 16:00,7,9,1600,4053.0,3991.0
2017/9/3 17:00,7,9,1700,4090.0,4849.0
2017/9/3 18:00,7,9,1800,3959.0,5790.0
2017/9/3 19:00,7,9,1900,3215.0,4315.0
2017/9/3 20:00,7,9,2000,2697.0,3009.0
2017/9/3 21:00,7,9,2100,1936.0,2035.0
2017/9/3 22:00,7,9,2200,1230.0,1417.0
2017/9/3 23:00,7,9,2300,889.0,1051.0
2017/9/4 00:00,1,9,0,550.0,1038.0
2017/9/4 01:00,1,9,100,362.0,524.0
2017/9/4 02:00,1,9,200,319.0,303.0
2017/9/4 03:00,1,9,300,604.0,263.0
2017/9/4 04:00,1,9,400,1288.0,517.0
2017/9/4 05:00,1,9,500,1743.0,1183.0
2017/9/4 06:00,1,9,600,3417.0,3272.0
2017/9/4 07:00,1,9,700,6278.0,5288.0
2017/9/4 08:00,1,9,800,6007.0,5377.0
2017/9/4 09:00,1,9,900,5018.0,4468.0
2017/9/4 10:00,1,9,1000,4384.0,3999.0
2017/9/4 11:00,1,9,1100,4530.0,4259.0
2017/9/4 12:00,1,9,1200,4589.0,4282.0
2017/9/4 13:00,1,9,1300,4916.0,4513.0
2017/9/4 14:00,1,9,1400,4970.0,4674.0
2017/9/4 15:00,1,9,1500,5430.0,5032.0
2017/9/4 16:00,1,9,1600,6011.0,6150.0
2017/9/4 17:00,1,9,1700,6261.0,6345.0
2017/9/4 18:00,1,9,1800,4989.0,4563.0
2017/9/4 19:00,1,9,1900,3311.0,3388.0
2017/9/4 20:00,1,9,2000,2286.0,2550.0
2017/9/4 21:00,1,9,2100,1590.0,1822.0
2017/9/4 22:00,1,9,2200,1215.0,1305.0
2017/9/4 23:00,1,9,2300,761.0,940.0
2017/9/5 00:00,2,9,0,441.0,981.0
2017/9/5 01:00,2,9,100,247.0,519.0
2017/9/5 02:00,2,9,200,279.0,247.0
2017/9/5 03:00,2,9,300,513.0,234.0
2017/9/5 04:00,2,9,400,1217.0,504.0
2017/9/5 05:00,2,9,500,1682.0,1096.0
2017/9/5 06:00,2,9,600,3494.0,3297.0
2017/9/5 07:00,2,9,700,6025.0,5523.0
2017/9/5 08:00,2,9,800,5913.0,4956.0
2017/9/5 09:00,2,9,900,5516.0,3857.0
2017/9/5 10:00,2,9,1000,4833.0,4212.0
2017/9/5 11:00,2,9,1100,4240.0,4088.0
2017/9/5 12:00,2,9,1200,4328.0,4364.0
