Date,Time,All,N,S
Saturday 1 December 2018,00:00,1797,689,1108
,01:00,980,422,558
,02:00,680,320,360
,03:00,869,517,352
,04:00,1489,1027,462
,05:00,1963,1163,800
,06:00,2996,1563,1433
,07:00,4363,2452,1911
,08:00,5823,3057,2766
,09:00,7381,3822,3559
,10:00,8357,4241,4116
,11:00,9144,4579,4565
,12:00,10163,4998,5165
,13:00,10498,5136,5362
,14:00,9938,4831,5107
,15:00,9064,4480,4584
,16:00,9203,4545,4658
,17:00,8451,4229,4222
,18:00,7312,3637,3675
,19:00,5963,3034,2929
,20:00,4364,2162,2202
,21:00,2975,1294,1681
,22:00,2401,1109,1292
,23:00,2230,920,1310
,Total,128404,64227,64177
Sunday 2 December 2018,00:00,1728,660,1068
,01:00,1043,505,538
,02:00,703,368,335
,03:00,748,438,310
,04:00,1113,763,350
,05:00,1317,765,552
,06:00,1677,829,848
,07:00,2321,1275,1046
,08:00,3158,1706,1452
,09:00,4744,2430,2314
,10:00,6477,3153,3324
,11:00,7988,4066,3922
,12:00,9368,4672,4696
,13:00,10145,5018,5127
,14:00,9631,4824,4807
,15:00,9537,4852,4685
,16:00,9317,4698,4619
,17:00,8631,4252,4379
,18:00,8210,4036,4174
,19:00,6829,3293,3536
,20:00,4726,2150,2576
,21:00,3423,1541,1882
,22:00,2989,1227,1762
,23:00,1914,711,1203
,Total,117737,58232,59505
Monday 3 December 2018,00:00,1116,363,753
,01:00,464,186,278
,02:00,362,187,175
,03:00,568,354,214
,04:00,1512,1069,443
,05:00,3141,1796,1345
,06:00,8111,3801,4310
,07:00,10428,5818,4610
,08:00,8294,5427,2867
,09:00,8681,5304,3377
,10:00,9741,4808,4933
,11:00,8940,4552,4388
,12:00,9091,4497,4594
,13:00,9337,4775,4562
,14:00,9461,4701,4760
,15:00,10787,5353,5434
,16:00,12062,6203,5859
,17:00,11445,5708,5737
,18:00,9474,5002,4472
,19:00,7349,3731,3618
,20:00,5125,2390,2735
,21:00,3975,1770,2205
,22:00,2646,1187,1459
,23:00,1948,727,1221
,Total,154058,79709,74349
Tuesday 4 December 2018,00:00,1327,405,922
,01:00,590,239,351
,02:00,447,207,240
,03:00,612,396,216
,04:00,1488,1017,471
,05:00,2952,1705,1247
,06:00,7909,3664,4245
,07:00,10934,5867,5067
,08:00,10072,5414,4658
,09:00,10144,5484,4660
,10:00,9278,5031,4247
,11:00,8561,4386,4175
,12:00,8878,4426,4452
,13:00,9322,4758,4564
,14:00,9485,4737,4748
,15:00,11035,5416,5619
,16:00,12312,6112,6200
,17:00,10259,5249,5010
,18:00,10002,5025,4977
,19:00,7372,3708,3664
,20:00,5693,2828,2865
,21:00,4166,1898,2268
,22:00,2781,1390,1391
,23:00,1791,789,1002
,Total,157410,80151,77259
Wednesday 5 December 2018,00:00,1133,408,725
,01:00,545,244,301
,02:00,486,246,240
,03:00,621,380,241
,04:00,1406,952,454
,05:00,2759,1631,1128
,06:00,7816,3697,4119
,07:00,7812,5450,2362
,08:00,8936,5389,3547
,09:00,10105,4986,5119
,10:00,9470,4697,4773
,11:00,8728,4465,4263
,12:00,9207,4703,4504
,13:00,9577,4722,4855
,14:00,9699,4896,4803
,15:00,11274,5536,5738
,16:00,12031,5980,6051
,17:00,10752,5510,5242
,18:00,10431,5328,5103
,19:00,7846,4026,3820
,20:00,5629,2805,2824
,21:00,4717,2191,2526
,22:00,3271,1471,1800
,23:00,1730,801,929
,Total,155981,80514,75467
Thursday 6 December 2018,00:00,1179,448,731
,01:00,568,248,320
,02:00,490,241,249
,03:00,662,398,264
,04:00,1519,1042,477
,05:00,2899,1664,1235
,06:00,7973,3665,4308
,07:00,10639,6110,4529
,08:00,10398,5906,4492
,09:00,9999,5236,4763
,10:00,9076,4566,4510
,11:00,8758,4498,4260
,12:00,9418,4786,4632
,13:00,9686,4889,4797
,14:00,9972,5052,4920
,15:00,11379,5613,5766
,16:00,12606,6170,6436
,17:00,10870,5758,5112
,18:00,10111,5106,5005
,19:00,7951,4128,3823
,20:00,5840,2857,2983
,21:00,4902,2362,2540
,22:00,3173,1504,1669
,23:00,2253,869,1384
,Total,162321,83116,79205
Friday 7 December 2018,00:00,1298,477,821
,01:00,693,323,370
,02:00,585,284,301
,03:00,790,478,312
,04:00,1727,1225,502
,05:00,3022,1789,1233
,06:00,7782,3724,4058
,07:00,11276,6272,5004
,08:00,9777,5399,4378
,09:00,9551,4999,4552
,10:00,9157,4719,4438
,11:00,9610,4876,4734
,12:00,10332,5128,5204
,13:00,10514,4990,5524
,14:00,11234,5998,5236
,15:00,11696,6055,5641
,16:00,11874,5815,6059
,17:00,9931,4945,4986
,18:00,9275,5067,4208
,19:00,7794,3806,3988
,20:00,5523,2724,2799
,21:00,4342,2145,2197
,22:00,3529,1554,1975
,23:00,2757,1088,1669
,Total,164069,83880,80189
Saturday 8 December 2018,00:00,1777,724,1053
,01:00,1222,520,702
,02:00,835,399,436
,03:00,916,562,354
,04:00,1479,1021,458
,05:00,2042,1220,822
,06:00,2979,1684,1295
,07:00,4147,2294,1853
,08:00,5579,2810,2769
,09:00,7537,3861,3676
,10:00,8420,4443,3977
,11:00,9136,4614,4522
,12:00,10001,4868,5133
,13:00,10095,4840,5255
,14:00,9787,4876,4911
,15:00,9263,4685,4578
,16:00,9124,4460,4664
,17:00,8082,4031,4051
,18:00,7197,3614,3583
,19:00,5894,2882,3012
,20:00,4267,1867,2400
,21:00,2882,1281,1601
,22:00,2205,1038,1167
,23:00,2169,866,1303
,Total,127035,63460,63575
Sunday 9 December 2018,00:00,1685,702,983
,01:00,1147,536,611
,02:00,786,408,378
,03:00,808,482,326
,04:00,1002,681,321
,05:00,1288,733,555
,06:00,1614,874,740
,07:00,2208,1217,991
,08:00,3152,1580,1572
,09:00,4526,2145,2381
,10:00,6583,3180,3403
,11:00,8250,4061,4189
,12:00,9277,4519,4758
,13:00,10050,4944,5106
,14:00,9709,4935,4774
,15:00,9765,4946,4819
,16:00,9257,4623,4634
,17:00,8677,4394,4283
,18:00,8250,4116,4134
,19:00,6830,3361,3469
,20:00,5428,2661,2767
,21:00,3880,1858,2022
,22:00,2932,1234,1698
,23:00,1899,692,1207
,Total,119003,58882,60121
Monday 10 December 2018,00:00,1127,355,772
,01:00,514,218,296
,02:00,352,167,185
,03:00,609,387,222
,04:00,1552,1107,445
,05:00,3269,1897,1372
,06:00,8443,3857,4586
,07:00,9471,5994,3477
,08:00,10088,5935,4153
,09:00,9927,5121,4806
,10:00,8994,4484,4510
,11:00,8904,4606,4298
,12:00,9101,4596,4505
,13:00,9764,4773,4991
,14:00,9483,4614,4869
,15:00,10843,5336,5507
,16:00,11927,5847,6080
,17:00,10874,5684,5190
,18:00,9918,5020,4898
,19:00,7092,3543,3549
,20:00,5308,2500,2808
,21:00,3950,1776,2174
,22:00,2826,1260,1566
,23:00,1804,744,1060
,Total,156140,79821,76319
Tuesday 11 December 2018,00:00,1195,394,801
,01:00,568,219,349
,02:00,463,237,226
,03:00,665,425,240
,04:00,1540,1056,484
,05:00,2964,1782,1182
,06:00,8239,3803,4436
,07:00,10904,6015,4889
,08:00,10403,5882,4521
,09:00,10022,5256,4766
,10:00,8881,4534,4347
,11:00,8734,4447,4287
,12:00,9001,4462,4539
,13:00,9231,4731,4500
,14:00,9429,4675,4754
,15:00,11019,5475,5544
,16:00,12584,6147,6437
