datetime,dayOfWeek,month,time,northBound,southBound
2018/4/1 00:00,7,4,0,598,1123
2018/4/1 01:00,7,4,100,389,629
2018/4/1 02:00,7,4,200,245,319
2018/4/1 03:00,7,4,300,428,255
2018/4/1 04:00,7,4,400,779,334
2018/4/1 05:00,7,4,500,764,507
2018/4/1 06:00,7,4,600,716,636
2018/4/1 07:00,7,4,700,1064,746
2018/4/1 08:00,7,4,800,1220,1010
2018/4/1 09:00,7,4,900,1633,1529
2018/4/1 10:00,7,4,1000,2161,2318
2018/4/1 11:00,7,4,1100,3056,3078
2018/4/1 12:00,7,4,1200,4242,3877
2018/4/1 13:00,7,4,1300,4766,4247
2018/4/1 14:00,7,4,1400,4453,4009
2018/4/1 15:00,7,4,1500,3530,3509
2018/4/1 16:00,7,4,1600,3051,3201
2018/4/1 17:00,7,4,1700,2946,3117
2018/4/1 18:00,7,4,1800,3079,4093
2018/4/1 19:00,7,4,1900,2778,3029
2018/4/1 20:00,7,4,2000,2292,2350
2018/4/1 21:00,7,4,2100,1642,1854
2018/4/1 22:00,7,4,2200,1154,1265
2018/4/1 23:00,7,4,2300,816,1035
2018/4/2 00:00,1,4,0,484,899
2018/4/2 01:00,1,4,100,336,709
2018/4/2 02:00,1,4,200,265,311
2018/4/2 03:00,1,4,300,433,274
2018/4/2 04:00,1,4,400,925,338
2018/4/2 05:00,1,4,500,944,648
2018/4/2 06:00,1,4,600,1044,906
2018/4/2 07:00,1,4,700,1353,1088
2018/4/2 08:00,1,4,800,1362,1280
2018/4/2 09:00,1,4,900,1987,1712
2018/4/2 10:00,1,4,1000,2671,2428
2018/4/2 11:00,1,4,1100,3429,3490
2018/4/2 12:00,1,4,1200,4164,4554
2018/4/2 13:00,1,4,1300,4940,4893
2018/4/2 14:00,1,4,1400,5029,4756
2018/4/2 15:00,1,4,1500,4852,4321
2018/4/2 16:00,1,4,1600,4687,4222
2018/4/2 17:00,1,4,1700,4300,3836
2018/4/2 18:00,1,4,1800,4100,3607
2018/4/2 19:00,1,4,1900,3392,3213
2018/4/2 20:00,1,4,2000,2650,2663
2018/4/2 21:00,1,4,2100,1777,1962
2018/4/2 22:00,1,4,2200,1215,1359
2018/4/2 23:00,1,4,2300,762,944
2018/4/3 00:00,2,4,0,447,857
2018/4/3 01:00,2,4,100,271,747
2018/4/3 02:00,2,4,200,228,351
2018/4/3 03:00,2,4,300,394,221
2018/4/3 04:00,2,4,400,1117,384
2018/4/3 05:00,2,4,500,1648,1201
2018/4/3 06:00,2,4,600,3334,3431
2018/4/3 07:00,2,4,700,5626,5294
2018/4/3 08:00,2,4,800,5999,4365
2018/4/3 09:00,2,4,900,4620,4288
2018/4/3 10:00,2,4,1000,4449,4006
2018/4/3 11:00,2,4,1100,4510,4553
2018/4/3 12:00,2,4,1200,4913,4843
2018/4/3 13:00,2,4,1300,5085,4891
2018/4/3 14:00,2,4,1400,5222,5120
2018/4/3 15:00,2,4,1500,5342,5357
2018/4/3 16:00,2,4,1600,6185,6308
2018/4/3 17:00,2,4,1700,6278,5971
2018/4/3 18:00,2,4,1800,5037,4757
2018/4/3 19:00,2,4,1900,3818,3545
2018/4/3 20:00,2,4,2000,2517,2721
2018/4/3 21:00,2,4,2100,1706,2019
2018/4/3 22:00,2,4,2200,1353,1496
2018/4/3 23:00,2,4,2300,939,1343
2018/4/4 00:00,3,4,0,498,1017
2018/4/4 01:00,3,4,100,240,636
2018/4/4 02:00,3,4,200,210,274
2018/4/4 03:00,3,4,300,488,219
2018/4/4 04:00,3,4,400,1070,486
2018/4/4 05:00,3,4,500,1661,1162
2018/4/4 06:00,3,4,600,3367,3464
2018/4/4 07:00,3,4,700,5694,5127
2018/4/4 08:00,3,4,800,5927,4748
2018/4/4 09:00,3,4,900,4914,4489
2018/4/4 10:00,3,4,1000,4426,4296
2018/4/4 11:00,3,4,1100,4685,4462
