datetime,dayOfWeek,month,time,northBound,southBound
2018/1/1 00:00,1,1,0,431,530
2018/1/1 01:00,1,1,100,671,705
2018/1/1 02:00,1,1,200,507,506
2018/1/1 03:00,1,1,300,456,388
2018/1/1 04:00,1,1,400,509,326
2018/1/1 05:00,1,1,500,475,369
2018/1/1 06:00,1,1,600,742,500
2018/1/1 07:00,1,1,700,963,688
2018/1/1 08:00,1,1,800,930,806
2018/1/1 09:00,1,1,900,965,897
2018/1/1 10:00,1,1,1000,1353,1350
2018/1/1 11:00,1,1,1100,2059,1958
2018/1/1 12:00,1,1,1200,3163,2672
2018/1/1 13:00,1,1,1300,3883,3410
2018/1/1 14:00,1,1,1400,4003,3578
2018/1/1 15:00,1,1,1500,3720,3637
2018/1/1 16:00,1,1,1600,3517,3311
2018/1/1 17:00,1,1,1700,3202,3124
2018/1/1 18:00,1,1,1800,2948,2575
2018/1/1 19:00,1,1,1900,2428,2440
2018/1/1 20:00,1,1,2000,1879,1914
2018/1/1 21:00,1,1,2100,1398,1568
2018/1/1 22:00,1,1,2200,859,1115
2018/1/1 23:00,1,1,2300,629,849
2018/1/2 00:00,2,1,0,353,806
2018/1/2 01:00,2,1,100,232,348
2018/1/2 02:00,2,1,200,203,180
2018/1/2 03:00,2,1,300,438,204
2018/1/2 04:00,2,1,400,1007,450
2018/1/2 05:00,2,1,500,1379,1071
2018/1/2 06:00,2,1,600,2466,2243
2018/1/2 07:00,2,1,700,3975,3746
2018/1/2 08:00,2,1,800,4250,3654
2018/1/2 09:00,2,1,900,3435,3204
2018/1/2 10:00,2,1,1000,3301,3252
2018/1/2 11:00,2,1,1100,3640,3595
2018/1/2 12:00,2,1,1200,4150,3931
2018/1/2 13:00,2,1,1300,4604,4257
2018/1/2 14:00,2,1,1400,4631,4490
2018/1/2 15:00,2,1,1500,4824,4722
2018/1/2 16:00,2,1,1600,5267,5254
2018/1/2 17:00,2,1,1700,5072,4992
2018/1/2 18:00,2,1,1800,3803,3520
2018/1/2 19:00,2,1,1900,2664,2671
2018/1/2 20:00,2,1,2000,1697,2058
2018/1/2 21:00,2,1,2100,1279,1509
2018/1/2 22:00,2,1,2200,1093,1118
2018/1/2 23:00,2,1,2300,657,1195
2018/1/3 00:00,3,1,0,400,823
2018/1/3 01:00,3,1,100,195,516
2018/1/3 02:00,3,1,200,249,218
2018/1/3 03:00,3,1,300,425,201
2018/1/3 04:00,3,1,400,1117,461
2018/1/3 05:00,3,1,500,1450,1152
2018/1/3 06:00,3,1,600,2898,2877
2018/1/3 07:00,3,1,700,5198,4505
2018/1/3 08:00,3,1,800,4736,4362
2018/1/3 09:00,3,1,900,4133,3634
2018/1/3 10:00,3,1,1000,3868,3513
2018/1/3 11:00,3,1,1100,4147,3925
2018/1/3 12:00,3,1,1200,4346,4082
2018/1/3 13:00,3,1,1300,4622,4430
2018/1/3 14:00,3,1,1400,4661,4601
2018/1/3 15:00,3,1,1500,4888,5010
2018/1/3 16:00,3,1,1600,5853,6136
2018/1/3 17:00,3,1,1700,5341,5779
2018/1/3 18:00,3,1,1800,4439,4187
2018/1/3 19:00,3,1,1900,2967,2972
2018/1/3 20:00,3,1,2000,2055,2091
2018/1/3 21:00,3,1,2100,1527,1686
2018/1/3 22:00,3,1,2200,1174,1435
2018/1/3 23:00,3,1,2300,692,979
2018/1/4 00:00,4,1,0,407,609
2018/1/4 01:00,4,1,100,230,365
2018/1/4 02:00,4,1,200,218,326
2018/1/4 03:00,4,1,300,442,236
2018/1/4 04:00,4,1,400,970,475
2018/1/4 05:00,4,1,500,1463,996
2018/1/4 06:00,4,1,600,3157,2894
2018/1/4 07:00,4,1,700,5370,4821
2018/1/4 08:00,4,1,800,5352,4557
2018/1/4 09:00,4,1,900,4368,4055
2018/1/4 10:00,4,1,1000,3994,3718
2018/1/4 11:00,4,1,1100,4113,4009
2018/1/4 12:00,4,1,1200,4438,4312
2018/1/4 13:00,4,1,1300,4650,4633
2018/1/4 14:00,4,1,1400,4716,4714
2018/1/4 15:00,4,1,1500,5064,5170
2018/1/4 16:00,4,1,1600,6092,6372
2018/1/4 17:00,4,1,1700,5720,5936
2018/1/4 18:00,4,1,1800,4647,4455
2018/1/4 19:00,4,1,1900,3127,3326
2018/1/4 20:00,4,1,2000,2181,2669
2018/1/4 21:00,4,1,2100,1735,1804
2018/1/4 22:00,4,1,2200,1114,1373
2018/1/4 23:00,4,1,2300,813,971
2018/1/5 00:00,5,1,0,379,824
2018/1/5 01:00,5,1,100,247,300
2018/1/5 02:00,5,1,200,247,214
2018/1/5 03:00,5,1,300,439,220
2018/1/5 04:00,5,1,400,1007,484
2018/1/5 05:00,5,1,500,1433,950
2018/1/5 06:00,5,1,600,2928,2637
2018/1/5 07:00,5,1,700,5107,4525
2018/1/5 08:00,5,1,800,5169,4592
2018/1/5 09:00,5,1,900,4240,3722
2018/1/5 10:00,5,1,1000,4324,3587
2018/1/5 11:00,5,1,1100,4423,4075
2018/1/5 12:00,5,1,1200,4799,4728
2018/1/5 13:00,5,1,1300,5167,4936
2018/1/5 14:00,5,1,1400,5387,5412
2018/1/5 15:00,5,1,1500,5663,5849
2018/1/5 16:00,5,1,1600,5887,6175
2018/1/5 17:00,5,1,1700,5480,5732
2018/1/5 18:00,5,1,1800,4453,4356
2018/1/5 19:00,5,1,1900,3420,3504
2018/1/5 20:00,5,1,2000,2214,2655
2018/1/5 21:00,5,1,2100,1705,2127
2018/1/5 22:00,5,1,2200,1248,1613
2018/1/5 23:00,5,1,2300,788,1167
2018/1/6 00:00,6,1,0,529,987
2018/1/6 01:00,6,1,100,372,414
2018/1/6 02:00,6,1,200,310,273
2018/1/6 03:00,6,1,300,425,296
2018/1/6 04:00,6,1,400,955,441
2018/1/6 05:00,6,1,500,1080,751
2018/1/6 06:00,6,1,600,1312,1152
2018/1/6 07:00,6,1,700,1784,1538
2018/1/6 08:00,6,1,800,2113,2013
2018/1/6 09:00,6,1,900,2952,2578
2018/1/6 10:00,6,1,1000,3475,3096
2018/1/6 11:00,6,1,1100,3974,4033
2018/1/6 12:00,6,1,1200,4320,4723
2018/1/6 13:00,6,1,1300,4684,4596
2018/1/6 14:00,6,1,1400,4474,4698
2018/1/6 15:00,6,1,1500,4246,4762
2018/1/6 16:00,6,1,1600,4045,4444
2018/1/6 17:00,6,1,1700,3745,4057
2018/1/6 18:00,6,1,1800,3348,3183
2018/1/6 19:00,6,1,1900,2693,2686
2018/1/6 20:00,6,1,2000,1963,2272
2018/1/6 21:00,6,1,2100,1269,1639
2018/1/6 22:00,6,1,2200,1036,1192
2018/1/6 23:00,6,1,2300,842,1000
2018/1/7 00:00,7,1,0,602,945
2018/1/7 01:00,7,1,100,363,480
2018/1/7 02:00,7,1,200,296,275
2018/1/7 03:00,7,1,300,409,230
2018/1/7 04:00,7,1,400,770,354
2018/1/7 05:00,7,1,500,775,574
2018/1/7 06:00,7,1,600,774,718
2018/1/7 07:00,7,1,700,1125,818
2018/1/7 08:00,7,1,800,1326,1084
2018/1/7 09:00,7,1,900,1835,1703
2018/1/7 10:00,7,1,1000,2589,2398
2018/1/7 11:00,7,1,1100,3269,3322
2018/1/7 12:00,7,1,1200,4196,3946
2018/1/7 13:00,7,1,1300,4697,4197
2018/1/7 14:00,7,1,1400,4680,4483
2018/1/7 15:00,7,1,1500,4379,4373
2018/1/7 16:00,7,1,1600,4386,4522
2018/1/7 17:00,7,1,1700,4120,4154
2018/1/7 18:00,7,1,1800,3689,3429
2018/1/7 19:00,7,1,1900,2921,3008
2018/1/7 20:00,7,1,2000,2201,2164
2018/1/7 21:00,7,1,2100,1635,1695
2018/1/7 22:00,7,1,2200,995,1332
2018/1/7 23:00,7,1,2300,649,975
2018/1/8 00:00,1,1,0,383,685
2018/1/8 01:00,1,1,100,213,328
2018/1/8 02:00,1,1,200,167,193
2018/1/8 03:00,1,1,300,374,199
2018/1/8 04:00,1,1,400,959,425
2018/1/8 05:00,1,1,500,1529,1056
2018/1/8 06:00,1,1,600,3144,3461
2018/1/8 07:00,1,1,700,5867,5743
2018/1/8 08:00,1,1,800,5797,4659
2018/1/8 09:00,1,1,900,4840,4180
2018/1/8 10:00,1,1,1000,4079,3696
2018/1/8 11:00,1,1,1100,3977,3713
2018/1/8 12:00,1,1,1200,4068,3917
2018/1/8 13:00,1,1,1300,4254,4116
2018/1/8 14:00,1,1,1400,4299,4340
2018/1/8 15:00,1,1,1500,4641,4915
2018/1/8 16:00,1,1,1600,5858,6289
2018/1/8 17:00,1,1,1700,5613,3727
2018/1/8 18:00,1,1,1800,4586,5073
2018/1/8 19:00,1,1,1900,2887,2796
2018/1/8 20:00,1,1,2000,2036,2246
2018/1/8 21:00,1,1,2100,1374,1633
2018/1/8 22:00,1,1,2200,1010,1149
2018/1/8 23:00,1,1,2300,639,744
2018/1/9 00:00,2,1,0,385,754
2018/1/9 01:00,2,1,100,204,429
2018/1/9 02:00,2,1,200,213,169
2018/1/9 03:00,2,1,300,378,236
2018/1/9 04:00,2,1,400,966,409
2018/1/9 05:00,2,1,500,1486,969
2018/1/9 06:00,2,1,600,3239,3438
2018/1/9 07:00,2,1,700,6009,5739
2018/1/9 08:00,2,1,800,5464,4401
2018/1/9 09:00,2,1,900,4496,4058
2018/1/9 10:00,2,1,1000,3786,4097
2018/1/9 11:00,2,1,1100,3770,3832
2018/1/9 12:00,2,1,1200,3852,3965
2018/1/9 13:00,2,1,1300,4156,4204
2018/1/9 14:00,2,1,1400,4211,4337
2018/1/9 15:00,2,1,1500,4714,4983
2018/1/9 16:00,2,1,1600,5920,6071
2018/1/9 17:00,2,1,1700,5542,4898
2018/1/9 18:00,2,1,1800,4980,4075
2018/1/9 19:00,2,1,1900,3169,3120
2018/1/9 20:00,2,1,2000,1959,2250
2018/1/9 21:00,2,1,2100,1485,1832
2018/1/9 22:00,2,1,2200,1140,1320
2018/1/9 23:00,2,1,2300,625,1026
2018/1/10 00:00,3,1,0,333,669
2018/1/10 01:00,3,1,100,186,267
2018/1/10 02:00,3,1,200,206,168
2018/1/10 03:00,3,1,300,351,230
2018/1/10 04:00,3,1,400,833,409
2018/1/10 05:00,3,1,500,1418,966
2018/1/10 06:00,3,1,600,3188,3260
2018/1/10 07:00,3,1,700,5853,5397
2018/1/10 08:00,3,1,800,5869,4754
2018/1/10 09:00,3,1,900,5001,4408
2018/1/10 10:00,3,1,1000,4234,3926
2018/1/10 11:00,3,1,1100,4069,3797
2018/1/10 12:00,3,1,1200,4304,4179
2018/1/10 13:00,3,1,1300,4277,4453
2018/1/10 14:00,3,1,1400,4363,4225
2018/1/10 15:00,3,1,1500,4935,5003
2018/1/10 16:00,3,1,1600,5842,5952
2018/1/10 17:00,3,1,1700,5455,5176
2018/1/10 18:00,3,1,1800,4873,3955
2018/1/10 19:00,3,1,1900,3203,3416
2018/1/10 20:00,3,1,2000,2065,2583
2018/1/10 21:00,3,1,2100,1634,1925
2018/1/10 22:00,3,1,2200,1243,1495
2018/1/10 23:00,3,1,2300,699,1019
2018/1/11 00:00,4,1,0,448,880
2018/1/11 01:00,4,1,100,244,419
2018/1/11 02:00,4,1,200,200,229
2018/1/11 03:00,4,1,300,382,189
2018/1/11 04:00,4,1,400,909,398
2018/1/11 05:00,4,1,500,1370,934
2018/1/11 06:00,4,1,600,3136,3325
2018/1/11 07:00,4,1,700,6091,5347
2018/1/11 08:00,4,1,800,5815,4329
2018/1/11 09:00,4,1,900,4744,4609
2018/1/11 10:00,4,1,1000,4394,3836
2018/1/11 11:00,4,1,1100,4121,3930
2018/1/11 12:00,4,1,1200,4018,4177
2018/1/11 13:00,4,1,1300,4319,4176
2018/1/11 14:00,4,1,1400,4368,4494
2018/1/11 15:00,4,1,1500,4938,5113
2018/1/11 16:00,4,1,1600,5734,5912
2018/1/11 17:00,4,1,1700,5354,5302
2018/1/11 18:00,4,1,1800,4970,4702
2018/1/11 19:00,4,1,1900,3452,3636
2018/1/11 20:00,4,1,2000,2360,2607
2018/1/11 21:00,4,1,2100,1795,2098
2018/1/11 22:00,4,1,2200,1152,1736
2018/1/11 23:00,4,1,2300,762,1006
2018/1/12 00:00,5,1,0,384,852
2018/1/12 01:00,5,1,100,233,309
2018/1/12 02:00,5,1,200,222,223
2018/1/12 03:00,5,1,300,414,198
2018/1/12 04:00,5,1,400,888,427
2018/1/12 05:00,5,1,500,1420,967
2018/1/12 06:00,5,1,600,3117,3150
2018/1/12 07:00,5,1,700,5853,5344
2018/1/12 08:00,5,1,800,4442,4691
2018/1/12 09:00,5,1,900,5547,4104
2018/1/12 10:00,5,1,1000,4293,3961
2018/1/12 11:00,5,1,1100,4377,4138
2018/1/12 12:00,5,1,1200,4609,4557
2018/1/12 13:00,5,1,1300,4893,4921
