day,month,time,location,direction,volume
6,4,0,Example,0,706
6,4,0,Example,1,1173
6,4,100,Example,0,411
6,4,100,Example,1,647
6,4,200,Example,0,287
6,4,200,Example,1,328
6,4,300,Example,0,455
6,4,300,Example,1,281
6,4,400,Example,0,1038
6,4,400,Example,1,393
6,4,500,Example,0,1103
6,4,500,Example,1,759
6,4,600,Example,0,1262
6,4,600,Example,1,1203
6,4,700,Example,0,2130
6,4,700,Example,1,1685
6,4,800,Example,0,2784
6,4,800,Example,1,2428
6,4,900,Example,0,3669
6,4,900,Example,1,3648
6,4,1000,Example,0,4022
6,4,1000,Example,1,3966
6,4,1100,Example,0,4357
6,4,1100,Example,1,4469
6,4,1200,Example,0,4680
6,4,1200,Example,1,5033
6,4,1300,Example,0,4982
6,4,1300,Example,1,5031
6,4,1400,Example,0,5021
6,4,1400,Example,1,4902
6,4,1500,Example,0,4506
6,4,1500,Example,1,4543
6,4,1600,Example,0,4343
6,4,1600,Example,1,4595
6,4,1700,Example,0,4055
6,4,1700,Example,1,4174
6,4,1800,Example,0,3564
6,4,1800,Example,1,3620
6,4,1900,Example,0,2997
6,4,1900,Example,1,3057
6,4,2000,Example,0,2055
6,4,2000,Example,1,2448
6,4,2100,Example,0,1444
6,4,2100,Example,1,1818
6,4,2200,Example,0,1104
6,4,2200,Example,1,1234
6,4,2300,Example,0,923
6,4,2300,Example,1,1237
7,4,0,Example,0,738
7,4,0,Example,1,1028
7,4,100,Example,0,473
7,4,100,Example,1,730
7,4,200,Example,0,317
7,4,200,Example,1,334
7,4,300,Example,0,435
7,4,300,Example,1,256
7,4,400,Example,0,824
7,4,400,Example,1,347
7,4,500,Example,0,886
7,4,500,Example,1,610
7,4,600,Example,0,863
7,4,600,Example,1,747
7,4,700,Example,0,1376
7,4,700,Example,1,966
7,4,800,Example,0,1731
7,4,800,Example,1,1516
7,4,900,Example,0,2575
7,4,900,Example,1,2616
7,4,1000,Example,0,3372
7,4,1000,Example,1,3256
7,4,1100,Example,0,4172
7,4,1100,Example,1,4038
7,4,1200,Example,0,4806
7,4,1200,Example,1,4665
7,4,1300,Example,0,5179
7,4,1300,Example,1,5032
7,4,1400,Example,0,5334
7,4,1400,Example,1,4915
7,4,1500,Example,0,4865
7,4,1500,Example,1,4702
7,4,1600,Example,0,4572
7,4,1600,Example,1,4664
7,4,1700,Example,0,4535
7,4,1700,Example,1,4704
7,4,1800,Example,0,4509
7,4,1800,Example,1,4292
7,4,1900,Example,0,3605
7,4,1900,Example,1,3542
7,4,2000,Example,0,2887
7,4,2000,Example,1,2878
7,4,2100,Example,0,2115
7,4,2100,Example,1,2119
7,4,2200,Example,0,1332
7,4,2200,Example,1,1521
7,4,2300,Example,0,830
7,4,2300,Example,1,1138
1,4,0,Example,0,452
1,4,0,Example,1,1101
1,4,100,Example,0,210
1,4,100,Example,1,385
1,4,200,Example,0,179
1,4,200,Example,1,200
1,4,300,Example,0,435
1,4,300,Example,1,227
1,4,400,Example,0,1155
1,4,400,Example,1,472
1,4,500,Example,0,1801
1,4,500,Example,1,1167
1,4,600,Example,0,3395
1,4,600,Example,1,3415
1,4,700,Example,0,6241
1,4,700,Example,1,5252
1,4,800,Example,0,6265
1,4,800,Example,1,5343
1,4,900,Example,0,5127
1,4,900,Example,1,4583
1,4,1000,Example,0,4542
1,4,1000,Example,1,3823
1,4,1100,Example,0,4241
1,4,1100,Example,1,3975
1,4,1200,Example,0,4327
1,4,1200,Example,1,4077
1,4,1300,Example,0,4407
1,4,1300,Example,1,4341
1,4,1400,Example,0,4444
1,4,1400,Example,1,4465
1,4,1500,Example,0,4994
1,4,1500,Example,1,5035
1,4,1600,Example,0,5873
1,4,1600,Example,1,5675
1,4,1700,Example,0,6207
1,4,1700,Example,1,6260
1,4,1800,Example,0,4877
1,4,1800,Example,1,5061
1,4,1900,Example,0,3338
1,4,1900,Example,1,3233
1,4,2000,Example,0,2288
1,4,2000,Example,1,2638
1,4,2100,Example,0,1662
1,4,2100,Example,1,1793
1,4,2200,Example,0,1231
1,4,2200,Example,1,1614
1,4,2300,Example,0,782
1,4,2300,Example,1,897
2,4,0,Example,0,426
2,4,0,Example,1,880
2,4,100,Example,0,236
2,4,100,Example,1,598
2,4,200,Example,0,186
2,4,200,Example,1,215
2,4,300,Example,0,364
2,4,300,Example,1,186
2,4,400,Example,0,1113
2,4,400,Example,1,417
2,4,500,Example,0,1666
2,4,500,Example,1,1010
2,4,600,Example,0,3366
2,4,600,Example,1,3363
2,4,700,Example,0,6193
2,4,700,Example,1,5756
2,4,800,Example,0,5827
2,4,800,Example,1,5188
2,4,900,Example,0,4145
2,4,900,Example,1,4866
2,4,1000,Example,0,4878
2,4,1000,Example,1,3752
2,4,1100,Example,0,4180
2,4,1100,Example,1,3906
2,4,1200,Example,0,4241
2,4,1200,Example,1,4109
2,4,1300,Example,0,4404
2,4,1300,Example,1,4311
2,4,1400,Example,0,4463
2,4,1400,Example,1,4372
2,4,1500,Example,0,5060
2,4,1500,Example,1,5086
2,4,1600,Example,0,6175
2,4,1600,Example,1,6597
2,4,1700,Example,0,6106
2,4,1700,Example,1,6084
2,4,1800,Example,0,5158
2,4,1800,Example,1,4944
2,4,1900,Example,0,3545
2,4,1900,Example,1,3530
2,4,2000,Example,0,2441
2,4,2000,Example,1,2830
2,4,2100,Example,0,1844
2,4,2100,Example,1,2100
2,4,2200,Example,0,1436
2,4,2200,Example,1,1644
2,4,2300,Example,0,899
2,4,2300,Example,1,1176
3,4,0,Example,0,476
3,4,0,Example,1,920
3,4,100,Example,0,209
3,4,100,Example,1,491
3,4,200,Example,0,229
3,4,200,Example,1,196
3,4,300,Example,0,415
3,4,300,Example,1,216
3,4,400,Example,0,1074
3,4,400,Example,1,522
3,4,500,Example,0,1590
3,4,500,Example,1,983
3,4,600,Example,0,3323
3,4,600,Example,1,3274
3,4,700,Example,0,6257
3,4,700,Example,1,5697
3,4,800,Example,0,6403
3,4,800,Example,1,5016
3,4,900,Example,0,5317
3,4,900,Example,1,4887
3,4,1000,Example,0,4164
3,4,1000,Example,1,4101
3,4,1100,Example,0,4251
3,4,1100,Example,1,4096
3,4,1200,Example,0,4163
3,4,1200,Example,1,4402
3,4,1300,Example,0,4588
3,4,1300,Example,1,4600
3,4,1400,Example,0,4695
3,4,1400,Example,1,4595
3,4,1500,Example,0,5203
3,4,1500,Example,1,5047
3,4,1600,Example,0,6094
3,4,1600,Example,1,6576
3,4,1700,Example,0,6124
3,4,1700,Example,1,6334
3,4,1800,Example,0,5203
3,4,1800,Example,1,5022
3,4,1900,Example,0,3873
3,4,1900,Example,1,3728
3,4,2000,Example,0,2753
3,4,2000,Example,1,2943
3,4,2100,Example,0,1950
3,4,2100,Example,1,2303
3,4,2200,Example,0,1427
3,4,2200,Example,1,1712
3,4,2300,Example,0,936
3,4,2300,Example,1,1240
4,4,0,Example,0,438
4,4,0,Example,1,1061
4,4,100,Example,0,219
4,4,100,Example,1,386
4,4,200,Example,0,260
4,4,200,Example,1,205
4,4,300,Example,0,430
4,4,300,Example,1,244
4,4,400,Example,0,944
4,4,400,Example,1,421
4,4,500,Example,0,1523
4,4,500,Example,1,982
4,4,600,Example,0,3247
4,4,600,Example,1,3353
4,4,700,Example,0,6199
4,4,700,Example,1,5658
4,4,800,Example,0,6371
4,4,800,Example,1,5035
4,4,900,Example,0,5010
4,4,900,Example,1,4837
4,4,1000,Example,0,4343
4,4,1000,Example,1,4233
4,4,1100,Example,0,4131
4,4,1100,Example,1,4227
4,4,1200,Example,0,4310
4,4,1200,Example,1,4357
4,4,1300,Example,0,4525
4,4,1300,Example,1,4573
4,4,1400,Example,0,4774
4,4,1400,Example,1,4596
4,4,1500,Example,0,5364
4,4,1500,Example,1,5192
4,4,1600,Example,0,6344
4,4,1600,Example,1,6397
4,4,1700,Example,0,5494
4,4,1700,Example,1,6380
4,4,1800,Example,0,5767
4,4,1800,Example,1,5352
4,4,1900,Example,0,3704
4,4,1900,Example,1,4000
4,4,2000,Example,0,2813
4,4,2000,Example,1,3016
4,4,2100,Example,0,2143
4,4,2100,Example,1,2458
4,4,2200,Example,0,1583
4,4,2200,Example,1,1984
4,4,2300,Example,0,1114
4,4,2300,Example,1,1470
5,4,0,Example,0,661
5,4,0,Example,1,1266
5,4,100,Example,0,317
5,4,100,Example,1,620
5,4,200,Example,0,291
5,4,200,Example,1,297
5,4,300,Example,0,537
5,4,300,Example,1,309
5,4,400,Example,0,946
5,4,400,Example,1,479
5,4,500,Example,0,1523
5,4,500,Example,1,1024
5,4,600,Example,0,3345
5,4,600,Example,1,3262
5,4,700,Example,0,6274
5,4,700,Example,1,5323
5,4,800,Example,0,5770
5,4,800,Example,1,5132
5,4,900,Example,0,4871
5,4,900,Example,1,4467
5,4,1000,Example,0,4097
5,4,1000,Example,1,4237
5,4,1100,Example,0,4546
5,4,1100,Example,1,4390
5,4,1200,Example,0,4806
5,4,1200,Example,1,4968
5,4,1300,Example,0,5306
5,4,1300,Example,1,5475
5,4,1400,Example,0,5531
5,4,1400,Example,1,5801
5,4,1500,Example,0,5687
5,4,1500,Example,1,5909
5,4,1600,Example,0,5732
5,4,1600,Example,1,3547
5,4,1700,Example,0,3180
5,4,1700,Example,1,4814
5,4,1800,Example,0,5784
5,4,1800,Example,1,5316
5,4,1900,Example,0,4567
5,4,1900,Example,1,4088
5,4,2000,Example,0,2805
5,4,2000,Example,1,3055
5,4,2100,Example,0,2083
5,4,2100,Example,1,2311
5,4,2200,Example,0,1396
5,4,2200,Example,1,1842
5,4,2300,Example,0,1008
5,4,2300,Example,1,1520
6,4,0,Example,0,678
6,4,0,Example,1,1241
6,4,100,Example,0,359
6,4,100,Example,1,690
6,4,200,Example,0,258
6,4,200,Example,1,267
6,4,300,Example,0,624
6,4,300,Example,1,282
6,4,400,Example,0,1012
6,4,400,Example,1,578
6,4,500,Example,0,1064
6,4,500,Example,1,800
6,4,600,Example,0,1515
6,4,600,Example,1,1344
6,4,700,Example,0,2282
6,4,700,Example,1,1933
6,4,800,Example,0,2892
6,4,800,Example,1,2716
6,4,900,Example,0,4066
6,4,900,Example,1,3804
6,4,1000,Example,0,4139
6,4,1000,Example,1,4072
6,4,1100,Example,0,4699
6,4,1100,Example,1,4959
6,4,1200,Example,0,4039
6,4,1200,Example,1,4800
6,4,1300,Example,0,5198
6,4,1300,Example,1,5556
6,4,1400,Example,0,5317
6,4,1400,Example,1,5030
6,4,1500,Example,0,4526
6,4,1500,Example,1,4737
6,4,1600,Example,0,4282
6,4,1600,Example,1,4604
6,4,1700,Example,0,4160
6,4,1700,Example,1,4454
6,4,1800,Example,0,3917
6,4,1800,Example,1,4054
6,4,1900,Example,0,3206
6,4,1900,Example,1,3352
6,4,2000,Example,0,2205
6,4,2000,Example,1,2482
6,4,2100,Example,0,1622
6,4,2100,Example,1,1757
6,4,2200,Example,0,1215
6,4,2200,Example,1,1325
6,4,2300,Example,0,956
6,4,2300,Example,1,1171
7,4,0,Example,0,757
7,4,0,Example,1,1070
7,4,100,Example,0,422
7,4,100,Example,1,738
7,4,200,Example,0,298
7,4,200,Example,1,272
7,4,300,Example,0,497
7,4,300,Example,1,245
7,4,400,Example,0,904
7,4,400,Example,1,371
7,4,500,Example,0,932
7,4,500,Example,1,593
7,4,600,Example,0,925
7,4,600,Example,1,844
7,4,700,Example,0,1450
7,4,700,Example,1,1168
7,4,800,Example,0,1697
7,4,800,Example,1,1750
7,4,900,Example,0,2655
7,4,900,Example,1,2675
7,4,1000,Example,0,3325
7,4,1000,Example,1,3327
7,4,1100,Example,0,4210
7,4,1100,Example,1,3843
7,4,1200,Example,0,4927
7,4,1200,Example,1,4608
7,4,1300,Example,0,5678
7,4,1300,Example,1,4936
7,4,1400,Example,0,5252
7,4,1400,Example,1,4686
7,4,1500,Example,0,4761
7,4,1500,Example,1,4508
7,4,1600,Example,0,4568
7,4,1600,Example,1,4554
7,4,1700,Example,0,4534
7,4,1700,Example,1,4165
7,4,1800,Example,0,4208
7,4,1800,Example,1,4743
7,4,1900,Example,0,3263
7,4,1900,Example,1,3709
7,4,2000,Example,0,2422
7,4,2000,Example,1,2789
7,4,2100,Example,0,1826
7,4,2100,Example,1,2045
7,4,2200,Example,0,1278
7,4,2200,Example,1,1404
7,4,2300,Example,0,822
7,4,2300,Example,1,1289
1,4,0,Example,0,410
1,4,0,Example,1,1016
1,4,100,Example,0,199
1,4,100,Example,1,458
1,4,200,Example,0,214
1,4,200,Example,1,176
1,4,300,Example,0,473
1,4,300,Example,1,213
1,4,400,Example,0,1181
1,4,400,Example,1,469
1,4,500,Example,0,1684
1,4,500,Example,1,1097
1,4,600,Example,0,3342
1,4,600,Example,1,3352
1,4,700,Example,0,6000
1,4,700,Example,1,5442
1,4,800,Example,0,6121
1,4,800,Example,1,4985
1,4,900,Example,0,4850
1,4,900,Example,1,4453
1,4,1000,Example,0,4633
1,4,1000,Example,1,4259
1,4,1100,Example,0,4442
1,4,1100,Example,1,4329
1,4,1200,Example,0,4525
1,4,1200,Example,1,4516
1,4,1300,Example,0,4646
1,4,1300,Example,1,4794
1,4,1400,Example,0,4777
1,4,1400,Example,1,4542
1,4,1500,Example,0,5259
1,4,1500,Example,1,5070
1,4,1600,Example,0,6058
1,4,1600,Example,1,6402
1,4,1700,Example,0,6320
1,4,1700,Example,1,6350
1,4,1800,Example,0,5055
1,4,1800,Example,1,4980
1,4,1900,Example,0,3442
1,4,1900,Example,1,3621
1,4,2000,Example,0,2364
1,4,2000,Example,1,2668
1,4,2100,Example,0,1703
1,4,2100,Example,1,2020
1,4,2200,Example,0,1200
1,4,2200,Example,1,1304
1,4,2300,Example,0,850
1,4,2300,Example,1,1106
2,4,0,Example,0,407
2,4,0,Example,1,943
2,4,100,Example,0,224
2,4,100,Example,1,403
2,4,200,Example,0,192
2,4,200,Example,1,194
2,4,300,Example,0,413
2,4,300,Example,1,209
2,4,400,Example,0,1104
2,4,400,Example,1,404
2,4,500,Example,0,1599
2,4,500,Example,1,1005
2,4,600,Example,0,3401
2,4,600,Example,1,3375
2,4,700,Example,0,6260
2,4,700,Example,1,5503
2,4,800,Example,0,6233
2,4,800,Example,1,5376
2,4,900,Example,0,4923
2,4,900,Example,1,4602
2,4,1000,Example,0,4540
2,4,1000,Example,1,4235
2,4,1100,Example,0,4546
2,4,1100,Example,1,4378
2,4,1200,Example,0,4497
2,4,1200,Example,1,4485
2,4,1300,Example,0,4530
2,4,1300,Example,1,4722
2,4,1400,Example,0,4804
2,4,1400,Example,1,4688
2,4,1500,Example,0,5339
2,4,1500,Example,1,5110
2,4,1600,Example,0,6390
2,4,1600,Example,1,6426
2,4,1700,Example,0,6297
2,4,1700,Example,1,6433
2,4,1800,Example,0,5335
2,4,1800,Example,1,5269
2,4,1900,Example,0,3824
2,4,1900,Example,1,3742
2,4,2000,Example,0,2640
2,4,2000,Example,1,2809
2,4,2100,Example,0,1867
2,4,2100,Example,1,2281
2,4,2200,Example,0,1406
2,4,2200,Example,1,1617
2,4,2300,Example,0,1039
2,4,2300,Example,1,1178
3,4,0,Example,0,472
3,4,0,Example,1,1108
3,4,100,Example,0,236
3,4,100,Example,1,551
3,4,200,Example,0,223
3,4,200,Example,1,219
3,4,300,Example,0,482
3,4,300,Example,1,216
3,4,400,Example,0,1056
3,4,400,Example,1,499
3,4,500,Example,0,1591
3,4,500,Example,1,1070
3,4,600,Example,0,3370
3,4,600,Example,1,3322
3,4,700,Example,0,6217
3,4,700,Example,1,5427
3,4,800,Example,0,6218
3,4,800,Example,1,5238
3,4,900,Example,0,4822
3,4,900,Example,1,4630
3,4,1000,Example,0,4547
3,4,1000,Example,1,4466
3,4,1100,Example,0,4585
3,4,1100,Example,1,4363
3,4,1200,Example,0,4575
3,4,1200,Example,1,4678
3,4,1300,Example,0,4836
3,4,1300,Example,1,4840
3,4,1400,Example,0,5114
