datetime,dayOfWeek,month,time,northBound,southBound
2017/8/1 00:00,2,8,0,499,994
2017/8/1 01:00,2,8,100,288,635
2017/8/1 02:00,2,8,200,226,296
2017/8/1 03:00,2,8,300,533,208
2017/8/1 04:00,2,8,400,1058,478
2017/8/1 05:00,2,8,500,1500,1064
2017/8/1 06:00,2,8,600,3229,2909
2017/8/1 07:00,2,8,700,5846,5126
2017/8/1 08:00,2,8,800,6049,5300
2017/8/1 09:00,2,8,900,4697,4402
2017/8/1 10:00,2,8,1000,4524,4235
2017/8/1 11:00,2,8,1100,4478,4373
2017/8/1 12:00,2,8,1200,4563,4502
2017/8/1 13:00,2,8,1300,4468,4658
2017/8/1 14:00,2,8,1400,4842,4806
2017/8/1 15:00,2,8,1500,5055,4989
2017/8/1 16:00,2,8,1600,6081,6493
2017/8/1 17:00,2,8,1700,5839,6302
2017/8/1 18:00,2,8,1800,5160,5051
2017/8/1 19:00,2,8,1900,3677,3545
2017/8/1 20:00,2,8,2000,2510,2862
2017/8/1 21:00,2,8,2100,1857,2340
2017/8/1 22:00,2,8,2200,1406,1531
2017/8/1 23:00,2,8,2300,1042,1299
2017/8/2 00:00,3,8,0,575,1094
2017/8/2 01:00,3,8,100,260,689
2017/8/2 02:00,3,8,200,264,349
2017/8/2 03:00,3,8,300,561,283
2017/8/2 04:00,3,8,400,1024,501
2017/8/2 05:00,3,8,500,1401,1024
2017/8/2 06:00,3,8,600,3171,3030
2017/8/2 07:00,3,8,700,5610,4998
2017/8/2 08:00,3,8,800,5962,5228
2017/8/2 09:00,3,8,900,4580,4534
2017/8/2 10:00,3,8,1000,4284,4129
2017/8/2 11:00,3,8,1100,4649,4244
2017/8/2 12:00,3,8,1200,4678,4738
2017/8/2 13:00,3,8,1300,4895,4751
2017/8/2 14:00,3,8,1400,4919,4849
2017/8/2 15:00,3,8,1500,5355,5249
2017/8/2 16:00,3,8,1600,6281,6505
2017/8/2 17:00,3,8,1700,6348,6352
2017/8/2 18:00,3,8,1800,5205,5185
2017/8/2 19:00,3,8,1900,3538,3782
2017/8/2 20:00,3,8,2000,2602,2870
2017/8/2 21:00,3,8,2100,2143,2326
2017/8/2 22:00,3,8,2200,1669,1848
2017/8/2 23:00,3,8,2300,1154,1651
2017/8/3 00:00,4,8,0,599,1142
2017/8/3 01:00,4,8,100,244,803
2017/8/3 02:00,4,8,200,295,337
2017/8/3 03:00,4,8,300,558,309
2017/8/3 04:00,4,8,400,1062,481
2017/8/3 05:00,4,8,500,1448,1014
2017/8/3 06:00,4,8,600,3192,2867
2017/8/3 07:00,4,8,700,5696,5038
2017/8/3 08:00,4,8,800,5904,5324
2017/8/3 09:00,4,8,900,4842,4548
2017/8/3 10:00,4,8,1000,4411,4192
2017/8/3 11:00,4,8,1100,4582,4545
2017/8/3 12:00,4,8,1200,4823,4633
2017/8/3 13:00,4,8,1300,4857,5010
2017/8/3 14:00,4,8,1400,5009,4896
2017/8/3 15:00,4,8,1500,5367,5483
2017/8/3 16:00,4,8,1600,5971,6430
2017/8/3 17:00,4,8,1700,4184,6359
2017/8/3 18:00,4,8,1800,5663,5264
2017/8/3 19:00,4,8,1900,3816,4419
2017/8/3 20:00,4,8,2000,2953,3101
2017/8/3 21:00,4,8,2100,2207,2510
2017/8/3 22:00,4,8,2200,1531,1793
2017/8/3 23:00,4,8,2300,1084,1247
2017/8/4 00:00,5,8,0,652,1214
2017/8/4 01:00,5,8,100,345,817
2017/8/4 02:00,5,8,200,323,331
2017/8/4 03:00,5,8,300,698,340
2017/8/4 04:00,5,8,400,1147,525
2017/8/4 05:00,5,8,500,1353,1042
2017/8/4 06:00,5,8,600,3085,2737
2017/8/4 07:00,5,8,700,5379,4747
2017/8/4 08:00,5,8,800,5555,4828
2017/8/4 09:00,5,8,900,4349,4160
2017/8/4 10:00,5,8,1000,4085,4278
2017/8/4 11:00,5,8,1100,4788,4684
2017/8/4 12:00,5,8,1200,5212,5373
2017/8/4 13:00,5,8,1300,5372,5677
2017/8/4 14:00,5,8,1400,5768,5625
2017/8/4 15:00,5,8,1500,5757,5852
2017/8/4 16:00,5,8,1600,4407,5508
2017/8/4 17:00,5,8,1700,5873,5651
2017/8/4 18:00,5,8,1800,4618,4623
