day,month,time,location,direction,volume
5,12,0,Example,0,446
5,12,0,Example,1,1040
5,12,100,Example,0,281
5,12,100,Example,1,368
5,12,200,Example,0,237
5,12,200,Example,1,213
5,12,300,Example,0,458
5,12,300,Example,1,281
5,12,400,Example,0,1143
5,12,400,Example,1,462
5,12,500,Example,0,1580
5,12,500,Example,1,1034
5,12,600,Example,0,3265
5,12,600,Example,1,3403
5,12,700,Example,0,5329
5,12,700,Example,1,5472
5,12,800,Example,0,4505
5,12,800,Example,1,4700
5,12,900,Example,0,5757
5,12,900,Example,1,4454
5,12,1000,Example,0,4728
5,12,1000,Example,1,4398
5,12,1100,Example,0,4752
5,12,1100,Example,1,4435
5,12,1200,Example,0,5157
5,12,1200,Example,1,5003
5,12,1300,Example,0,5255
5,12,1300,Example,1,5489
5,12,1400,Example,0,5610
5,12,1400,Example,1,5765
5,12,1500,Example,0,5887
5,12,1500,Example,1,6389
5,12,1600,Example,0,6033
5,12,1600,Example,1,6059
5,12,1700,Example,0,5443
5,12,1700,Example,1,5232
5,12,1800,Example,0,4713
5,12,1800,Example,1,4456
5,12,1900,Example,0,3866
5,12,1900,Example,1,3778
5,12,2000,Example,0,2719
5,12,2000,Example,1,2849
5,12,2100,Example,0,2165
5,12,2100,Example,1,2228
5,12,2200,Example,0,1376
5,12,2200,Example,1,1696
5,12,2300,Example,0,935
5,12,2300,Example,1,1215
6,12,0,Example,0,670
6,12,0,Example,1,978
6,12,100,Example,0,435
6,12,100,Example,1,567
6,12,200,Example,0,364
6,12,200,Example,1,357
6,12,300,Example,0,454
6,12,300,Example,1,341
6,12,400,Example,0,912
6,12,400,Example,1,449
6,12,500,Example,0,1083
6,12,500,Example,1,711
6,12,600,Example,0,1479
6,12,600,Example,1,1239
6,12,700,Example,0,2227
6,12,700,Example,1,1843
6,12,800,Example,0,2773
6,12,800,Example,1,2734
6,12,900,Example,0,3492
6,12,900,Example,1,3679
6,12,1000,Example,0,3999
6,12,1000,Example,1,3887
6,12,1100,Example,0,4295
6,12,1100,Example,1,4605
6,12,1200,Example,0,4881
6,12,1200,Example,1,4939
6,12,1300,Example,0,4899
6,12,1300,Example,1,5060
6,12,1400,Example,0,4684
6,12,1400,Example,1,5041
6,12,1500,Example,0,4529
6,12,1500,Example,1,4444
6,12,1600,Example,0,4390
6,12,1600,Example,1,4585
6,12,1700,Example,0,4182
6,12,1700,Example,1,4034
6,12,1800,Example,0,3463
6,12,1800,Example,1,3475
6,12,1900,Example,0,2797
6,12,1900,Example,1,2775
6,12,2000,Example,0,1995
6,12,2000,Example,1,2239
6,12,2100,Example,0,1347
6,12,2100,Example,1,1524
6,12,2200,Example,0,1050
6,12,2200,Example,1,1094
6,12,2300,Example,0,851
6,12,2300,Example,1,1066
7,12,0,Example,0,572
7,12,0,Example,1,982
7,12,100,Example,0,471
7,12,100,Example,1,524
7,12,200,Example,0,342
7,12,200,Example,1,318
7,12,300,Example,0,392
7,12,300,Example,1,280
7,12,400,Example,0,667
7,12,400,Example,1,353
7,12,500,Example,0,710
7,12,500,Example,1,483
7,12,600,Example,0,784
7,12,600,Example,1,705
7,12,700,Example,0,1228
7,12,700,Example,1,940
7,12,800,Example,0,1655
7,12,800,Example,1,1463
7,12,900,Example,0,2381
7,12,900,Example,1,2539
7,12,1000,Example,0,3226
7,12,1000,Example,1,3245
7,12,1100,Example,0,3854
7,12,1100,Example,1,3927
7,12,1200,Example,0,4537
7,12,1200,Example,1,4496
7,12,1300,Example,0,5091
7,12,1300,Example,1,5024
7,12,1400,Example,0,5042
7,12,1400,Example,1,4870
7,12,1500,Example,0,4851
7,12,1500,Example,1,4599
7,12,1600,Example,0,4598
7,12,1600,Example,1,4730
7,12,1700,Example,0,4457
7,12,1700,Example,1,4437
7,12,1800,Example,0,4049
7,12,1800,Example,1,3937
7,12,1900,Example,0,3244
7,12,1900,Example,1,3295
7,12,2000,Example,0,2459
7,12,2000,Example,1,2539
7,12,2100,Example,0,1797
7,12,2100,Example,1,1993
7,12,2200,Example,0,1153
7,12,2200,Example,1,1530
7,12,2300,Example,0,695
7,12,2300,Example,1,1086
1,12,0,Example,0,365
1,12,0,Example,1,800
1,12,100,Example,0,204
1,12,100,Example,1,341
1,12,200,Example,0,183
1,12,200,Example,1,193
1,12,300,Example,0,353
1,12,300,Example,1,214
1,12,400,Example,0,1074
1,12,400,Example,1,394
1,12,500,Example,0,1726
1,12,500,Example,1,1217
1,12,600,Example,0,3410
1,12,600,Example,1,3744
1,12,700,Example,0,6003
1,12,700,Example,1,5213
1,12,800,Example,0,5927
