datetime,dayOfWeek,month,time,northBound,southBound
2017/2/1 00:00,3,2,0,389,591
2017/2/1 01:00,3,2,100,186,266
2017/2/1 02:00,3,2,200,168,196
2017/2/1 03:00,3,2,300,339,219
2017/2/1 04:00,3,2,400,816,407
2017/2/1 05:00,3,2,500,1426,913
2017/2/1 06:00,3,2,600,2951,3213
2017/2/1 07:00,3,2,700,5817,5346
2017/2/1 08:00,3,2,800,6028,4630
2017/2/1 09:00,3,2,900,4929,4577
2017/2/1 10:00,3,2,1000,4094,3822
2017/2/1 11:00,3,2,1100,3875,3683
2017/2/1 12:00,3,2,1200,3970,4094
2017/2/1 13:00,3,2,1300,4213,4255
2017/2/1 14:00,3,2,1400,4259,4217
2017/2/1 15:00,3,2,1500,4627,4960
2017/2/1 16:00,3,2,1600,5883,5967
2017/2/1 17:00,3,2,1700,5880,5954
2017/2/1 18:00,3,2,1800,4704,4926
2017/2/1 19:00,3,2,1900,3558,3449
2017/2/1 20:00,3,2,2000,2456,2526
2017/2/1 21:00,3,2,2100,1823,2312
2017/2/1 22:00,3,2,2200,1184,1454
2017/2/1 23:00,3,2,2300,737,951
2017/2/2 00:00,4,2,0,352,673
2017/2/2 01:00,4,2,100,206,269
2017/2/2 02:00,4,2,200,182,189
2017/2/2 03:00,4,2,300,373,185
2017/2/2 04:00,4,2,400,897,436
2017/2/2 05:00,4,2,500,1345,899
2017/2/2 06:00,4,2,600,2896,3059
2017/2/2 07:00,4,2,700,5786,5272
2017/2/2 08:00,4,2,800,5667,4532
2017/2/2 09:00,4,2,900,5169,4442
2017/2/2 10:00,4,2,1000,4093,3790
2017/2/2 11:00,4,2,1100,3981,3825
2017/2/2 12:00,4,2,1200,4161,4076
2017/2/2 13:00,4,2,1300,4166,4120
2017/2/2 14:00,4,2,1400,4279,4220
2017/2/2 15:00,4,2,1500,4753,4999
2017/2/2 16:00,4,2,1600,5816,5843
2017/2/2 17:00,4,2,1700,5838,5069
2017/2/2 18:00,4,2,1800,4962,5167
2017/2/2 19:00,4,2,1900,3616,3629
2017/2/2 20:00,4,2,2000,2397,2592
2017/2/2 21:00,4,2,2100,2000,2392
2017/2/2 22:00,4,2,2200,1276,1844
2017/2/2 23:00,4,2,2300,795,1020
2017/2/3 00:00,5,2,0,398,742
