datetime,dayOfWeek,month,time,northBound,southBound
2017/1/1 00:00,7,1,0,451,469
2017/1/1 01:00,7,1,100,652,667
2017/1/1 02:00,7,1,200,527,492
2017/1/1 03:00,7,1,300,462,349
2017/1/1 04:00,7,1,400,514,296
2017/1/1 05:00,7,1,500,466,365
2017/1/1 06:00,7,1,600,571,408
2017/1/1 07:00,7,1,700,979,645
2017/1/1 08:00,7,1,800,916,742
2017/1/1 09:00,7,1,900,992,887
2017/1/1 10:00,7,1,1000,1310,1296
2017/1/1 11:00,7,1,1100,2077,1926
2017/1/1 12:00,7,1,1200,2775,2707
2017/1/1 13:00,7,1,1300,3574,3206
2017/1/1 14:00,7,1,1400,3815,3555
2017/1/1 15:00,7,1,1500,3523,3355
2017/1/1 16:00,7,1,1600,3187,3304
2017/1/1 17:00,7,1,1700,2903,2971
2017/1/1 18:00,7,1,1800,2686,2479
2017/1/1 19:00,7,1,1900,2194,2153
2017/1/1 20:00,7,1,2000,1701,1656
2017/1/1 21:00,7,1,2100,1205,1421
2017/1/1 22:00,7,1,2200,836,1089
2017/1/1 23:00,7,1,2300,708,813
2017/1/2 00:00,1,1,0,438,878
2017/1/2 01:00,1,1,100,229,316
2017/1/2 02:00,1,1,200,180,187
2017/1/2 03:00,1,1,300,364,273
2017/1/2 04:00,1,1,400,800,369
2017/1/2 05:00,1,1,500,919,720
2017/1/2 06:00,1,1,600,1045,873
2017/1/2 07:00,1,1,700,1197,981
2017/1/2 08:00,1,1,800,1250,1092
2017/1/2 09:00,1,1,900,1536,1449
2017/1/2 10:00,1,1,1000,2268,2128
2017/1/2 11:00,1,1,1100,2903,2947
2017/1/2 12:00,1,1,1200,3836,3614
2017/1/2 13:00,1,1,1300,4498,3994
2017/1/2 14:00,1,1,1400,4529,4350
2017/1/2 15:00,1,1,1500,4260,4042
2017/1/2 16:00,1,1,1600,4119,3845
2017/1/2 17:00,1,1,1700,3928,3671
2017/1/2 18:00,1,1,1800,3270,2939
2017/1/2 19:00,1,1,1900,2638,2607
2017/1/2 20:00,1,1,2000,1864,2051
2017/1/2 21:00,1,1,2100,1265,1468
2017/1/2 22:00,1,1,2200,876,1117
2017/1/2 23:00,1,1,2300,665,883
2017/1/3 00:00,2,1,0,392,778
2017/1/3 01:00,2,1,100,189,290
2017/1/3 02:00,2,1,200,201,169
2017/1/3 03:00,2,1,300,387,182
2017/1/3 04:00,2,1,400,887,432
2017/1/3 05:00,2,1,500,1459,1099
2017/1/3 06:00,2,1,600,2447,2446
2017/1/3 07:00,2,1,700,4408,4018
2017/1/3 08:00,2,1,800,4582,3866
2017/1/3 09:00,2,1,900,3420,3180
2017/1/3 10:00,2,1,1000,3428,3232
2017/1/3 11:00,2,1,1100,3758,3477
2017/1/3 12:00,2,1,1200,4115,3885
2017/1/3 13:00,2,1,1300,4222,4139
2017/1/3 14:00,2,1,1400,4170,4418
2017/1/3 15:00,2,1,1500,4474,4535
2017/1/3 16:00,2,1,1600,5437,5420
2017/1/3 17:00,2,1,1700,5462,5372
2017/1/3 18:00,2,1,1800,3912,3719
2017/1/3 19:00,2,1,1900,2606,2650
2017/1/3 20:00,2,1,2000,1774,2046
2017/1/3 21:00,2,1,2100,1320,1481
2017/1/3 22:00,2,1,2200,983,1118
2017/1/3 23:00,2,1,2300,773,937
2017/1/4 00:00,3,1,0,417,797
2017/1/4 01:00,3,1,100,197,398
2017/1/4 02:00,3,1,200,200,169
2017/1/4 03:00,3,1,300,426,206
2017/1/4 04:00,3,1,400,985,435
2017/1/4 05:00,3,1,500,1455,1062
2017/1/4 06:00,3,1,600,2667,2864
2017/1/4 07:00,3,1,700,5063,4469
2017/1/4 08:00,3,1,800,5240,4322
2017/1/4 09:00,3,1,900,4028,3742
2017/1/4 10:00,3,1,1000,3714,3452
2017/1/4 11:00,3,1,1100,3986,3816
2017/1/4 12:00,3,1,1200,4266,3917
2017/1/4 13:00,3,1,1300,4554,4342
2017/1/4 14:00,3,1,1400,4342,4404
2017/1/4 15:00,3,1,1500,4685,4626
2017/1/4 16:00,3,1,1600,5654,6034
2017/1/4 17:00,3,1,1700,5264,5872
2017/1/4 18:00,3,1,1800,2286,4179
2017/1/4 19:00,3,1,1900,2575,2784
2017/1/4 20:00,3,1,2000,1645,2164
2017/1/4 21:00,3,1,2100,1364,1761
2017/1/4 22:00,3,1,2200,989,1227
2017/1/4 23:00,3,1,2300,705,847
2017/1/5 00:00,4,1,0,447,792
2017/1/5 01:00,4,1,100,193,349
2017/1/5 02:00,4,1,200,212,176
2017/1/5 03:00,4,1,300,483,210
2017/1/5 04:00,4,1,400,905,503
2017/1/5 05:00,4,1,500,1272,949
2017/1/5 06:00,4,1,600,2698,2804
2017/1/5 07:00,4,1,700,5068,4635
2017/1/5 08:00,4,1,800,5448,4470
2017/1/5 09:00,4,1,900,4214,3906
2017/1/5 10:00,4,1,1000,4187,3638
2017/1/5 11:00,4,1,1100,4221,3894
2017/1/5 12:00,4,1,1200,4168,4167
2017/1/5 13:00,4,1,1300,4271,4313
2017/1/5 14:00,4,1,1400,4493,4620
2017/1/5 15:00,4,1,1500,4655,4914
2017/1/5 16:00,4,1,1600,5809,6068
2017/1/5 17:00,4,1,1700,5845,6026
2017/1/5 18:00,4,1,1800,4789,4209
2017/1/5 19:00,4,1,1900,3104,3209
2017/1/5 20:00,4,1,2000,2180,2540
2017/1/5 21:00,4,1,2100,1647,1917
2017/1/5 22:00,4,1,2200,1132,1345
2017/1/5 23:00,4,1,2300,716,979
2017/1/6 00:00,5,1,0,423,797
2017/1/6 01:00,5,1,100,232,398
2017/1/6 02:00,5,1,200,244,241
2017/1/6 03:00,5,1,300,453,250
2017/1/6 04:00,5,1,400,895,436
2017/1/6 05:00,5,1,500,1250,986
2017/1/6 06:00,5,1,600,2603,2666
2017/1/6 07:00,5,1,700,4874,4369
2017/1/6 08:00,5,1,800,5060,4491
2017/1/6 09:00,5,1,900,3892,3934
2017/1/6 10:00,5,1,1000,3963,3686
2017/1/6 11:00,5,1,1100,3932,4004
2017/1/6 12:00,5,1,1200,4610,4422
2017/1/6 13:00,5,1,1300,3406,4607
2017/1/6 14:00,5,1,1400,4126,5051
2017/1/6 15:00,5,1,1500,5382,5541
2017/1/6 16:00,5,1,1600,5715,5749
2017/1/6 17:00,5,1,1700,5567,5194
2017/1/6 18:00,5,1,1800,4630,4063
2017/1/6 19:00,5,1,1900,3177,2621
2017/1/6 20:00,5,1,2000,2224,2400
2017/1/6 21:00,5,1,2100,1753,1988
2017/1/6 22:00,5,1,2200,1144,1407
2017/1/6 23:00,5,1,2300,847,1183
2017/1/7 00:00,6,1,0,512,1062
2017/1/7 01:00,6,1,100,343,446
2017/1/7 02:00,6,1,200,216,261
2017/1/7 03:00,6,1,300,423,255
2017/1/7 04:00,6,1,400,855,415
2017/1/7 05:00,6,1,500,955,697
2017/1/7 06:00,6,1,600,1183,1078
2017/1/7 07:00,6,1,700,1781,1406
2017/1/7 08:00,6,1,800,2225,2101
2017/1/7 09:00,6,1,900,2830,2676
2017/1/7 10:00,6,1,1000,3435,3104
2017/1/7 11:00,6,1,1100,3945,3791
2017/1/7 12:00,6,1,1200,4187,4339
2017/1/7 13:00,6,1,1300,4342,4623
2017/1/7 14:00,6,1,1400,4308,4651
2017/1/7 15:00,6,1,1500,4095,4359
2017/1/7 16:00,6,1,1600,4137,3997
2017/1/7 17:00,6,1,1700,3722,3850
2017/1/7 18:00,6,1,1800,3251,3215
2017/1/7 19:00,6,1,1900,2623,2539
2017/1/7 20:00,6,1,2000,1777,2052
2017/1/7 21:00,6,1,2100,1230,1575
2017/1/7 22:00,6,1,2200,1012,1126
2017/1/7 23:00,6,1,2300,859,1256
2017/1/8 00:00,7,1,0,587,967
2017/1/8 01:00,7,1,100,390,522
2017/1/8 02:00,7,1,200,274,253
2017/1/8 03:00,7,1,300,400,259
2017/1/8 04:00,7,1,400,724,359
2017/1/8 05:00,7,1,500,759,530
2017/1/8 06:00,7,1,600,723,730
2017/1/8 07:00,7,1,700,1168,862
2017/1/8 08:00,7,1,800,1336,1123
2017/1/8 09:00,7,1,900,1821,1595
2017/1/8 10:00,7,1,1000,2315,2316
2017/1/8 11:00,7,1,1100,2941,2899
2017/1/8 12:00,7,1,1200,3649,3583
2017/1/8 13:00,7,1,1300,4607,3982
2017/1/8 14:00,7,1,1400,4604,4177
2017/1/8 15:00,7,1,1500,4109,4349
2017/1/8 16:00,7,1,1600,4119,4360
2017/1/8 17:00,7,1,1700,3833,3869
2017/1/8 18:00,7,1,1800,3588,3468
2017/1/8 19:00,7,1,1900,2795,2761
2017/1/8 20:00,7,1,2000,2144,2200
2017/1/8 21:00,7,1,2100,1460,1625
2017/1/8 22:00,7,1,2200,997,1188
2017/1/8 23:00,7,1,2300,745,1007
2017/1/9 00:00,1,1,0,392,939
2017/1/9 01:00,1,1,100,173,377
2017/1/9 02:00,1,1,200,166,149
2017/1/9 03:00,1,1,300,360,174
2017/1/9 04:00,1,1,400,935,378
2017/1/9 05:00,1,1,500,1540,1023
2017/1/9 06:00,1,1,600,2879,3302
2017/1/9 07:00,1,1,700,5172,4917
2017/1/9 08:00,1,1,800,6055,4358
2017/1/9 09:00,1,1,900,5052,4424
2017/1/9 10:00,1,1,1000,3992,3522
2017/1/9 11:00,1,1,1100,3852,3693
2017/1/9 12:00,1,1,1200,3821,3824
2017/1/9 13:00,1,1,1300,3955,4060
2017/1/9 14:00,1,1,1400,3006,4030
2017/1/9 15:00,1,1,1500,2445,4359
2017/1/9 16:00,1,1,1600,4111,5908
2017/1/9 17:00,1,1,1700,5964,5247
2017/1/9 18:00,1,1,1800,5076,4304
2017/1/9 19:00,1,1,1900,3419,2959
2017/1/9 20:00,1,1,2000,1955,2195
2017/1/9 21:00,1,1,2100,1366,1512
2017/1/9 22:00,1,1,2200,961,1259
2017/1/9 23:00,1,1,2300,630,834
2017/1/10 00:00,2,1,0,316,752
2017/1/10 01:00,2,1,100,187,255
2017/1/10 02:00,2,1,200,208,180
2017/1/10 03:00,2,1,300,374,186
2017/1/10 04:00,2,1,400,878,374
2017/1/10 05:00,2,1,500,1382,920
2017/1/10 06:00,2,1,600,2947,3218
2017/1/10 07:00,2,1,700,5526,5388
2017/1/10 08:00,2,1,800,5761,4595
2017/1/10 09:00,2,1,900,4876,4401
2017/1/10 10:00,2,1,1000,4045,3648
2017/1/10 11:00,2,1,1100,3778,3627
2017/1/10 12:00,2,1,1200,3798,3818
2017/1/10 13:00,2,1,1300,3942,4030
2017/1/10 14:00,2,1,1400,4082,4040
2017/1/10 15:00,2,1,1500,4748,4644
2017/1/10 16:00,2,1,1600,5388,6075
2017/1/10 17:00,2,1,1700,4983,5375
2017/1/10 18:00,2,1,1800,5305,4192
2017/1/10 19:00,2,1,1900,3357,2981
2017/1/10 20:00,2,1,2000,1934,2304
2017/1/10 21:00,2,1,2100,1532,1729
2017/1/10 22:00,2,1,2200,1055,1484
2017/1/10 23:00,2,1,2300,712,983
2017/1/11 00:00,3,1,0,356,747
2017/1/11 01:00,3,1,100,172,263
2017/1/11 02:00,3,1,200,190,209
2017/1/11 03:00,3,1,300,364,198
2017/1/11 04:00,3,1,400,775,380
2017/1/11 05:00,3,1,500,1374,887
2017/1/11 06:00,3,1,600,2883,3194
2017/1/11 07:00,3,1,700,5758,5317
2017/1/11 08:00,3,1,800,5874,4435
2017/1/11 09:00,3,1,900,4649,4563
2017/1/11 10:00,3,1,1000,3885,3526
2017/1/11 11:00,3,1,1100,3683,3695
2017/1/11 12:00,3,1,1200,3988,3869
2017/1/11 13:00,3,1,1300,4103,4067
2017/1/11 14:00,3,1,1400,4191,4223
2017/1/11 15:00,3,1,1500,4752,4749
2017/1/11 16:00,3,1,1600,5791,6091
2017/1/11 17:00,3,1,1700,5858,5928
2017/1/11 18:00,3,1,1800,4529,4425
2017/1/11 19:00,3,1,1900,3136,3166
2017/1/11 20:00,3,1,2000,2100,2390
2017/1/11 21:00,3,1,2100,1639,1872
2017/1/11 22:00,3,1,2200,1122,1531
2017/1/11 23:00,3,1,2300,703,802
2017/1/12 00:00,4,1,0,371,713
2017/1/12 01:00,4,1,100,211,289
2017/1/12 02:00,4,1,200,198,191
2017/1/12 03:00,4,1,300,371,225
2017/1/12 04:00,4,1,400,847,357
2017/1/12 05:00,4,1,500,1296,875
2017/1/12 06:00,4,1,600,2886,3028
2017/1/12 07:00,4,1,700,5104,5161
2017/1/12 08:00,4,1,800,5185,4409
2017/1/12 09:00,4,1,900,4847,4389
2017/1/12 10:00,4,1,1000,4295,3507
2017/1/12 11:00,4,1,1100,3830,3681
2017/1/12 12:00,4,1,1200,3988,3841
2017/1/12 13:00,4,1,1300,4057,4047
2017/1/12 14:00,4,1,1400,4268,4242
2017/1/12 15:00,4,1,1500,4754,4807
2017/1/12 16:00,4,1,1600,5928,5950
2017/1/12 17:00,4,1,1700,5713,6030
2017/1/12 18:00,4,1,1800,4612,4481
2017/1/12 19:00,4,1,1900,3083,3306
2017/1/12 20:00,4,1,2000,2194,2311
