datetime,dayOfWeek,month,time,northBound,southBound
2017/7/1 00:00,6,7,0,819,1345
2017/7/1 01:00,6,7,100,489,987
2017/7/1 02:00,6,7,200,356,391
2017/7/1 03:00,6,7,300,618,349
2017/7/1 04:00,6,7,400,1053,505
2017/7/1 05:00,6,7,500,1177,827
2017/7/1 06:00,6,7,600,1561,1376
2017/7/1 07:00,6,7,700,2439,1901
2017/7/1 08:00,6,7,800,2941,2403
2017/7/1 09:00,6,7,900,3345,3167
2017/7/1 10:00,6,7,1000,3834,3707
2017/7/1 11:00,6,7,1100,4588,4689
2017/7/1 12:00,6,7,1200,4875,5426
2017/7/1 13:00,6,7,1300,4765,5390
2017/7/1 14:00,6,7,1400,4961,5207
2017/7/1 15:00,6,7,1500,4579,4782
2017/7/1 16:00,6,7,1600,4348,4624
2017/7/1 17:00,6,7,1700,4228,4424
2017/7/1 18:00,6,7,1800,3945,3865
2017/7/1 19:00,6,7,1900,3046,3061
2017/7/1 20:00,6,7,2000,2262,2593
2017/7/1 21:00,6,7,2100,1470,1846
2017/7/1 22:00,6,7,2200,1311,1264
2017/7/1 23:00,6,7,2300,1308,1282
2017/7/2 00:00,7,7,0,905,1314
2017/7/2 01:00,7,7,100,541,945
2017/7/2 02:00,7,7,200,404,617
2017/7/2 03:00,7,7,300,629,402
2017/7/2 04:00,7,7,400,1041,475
2017/7/2 05:00,7,7,500,983,620
2017/7/2 06:00,7,7,600,957,834
2017/7/2 07:00,7,7,700,1369,1083
2017/7/2 08:00,7,7,800,1545,1406
2017/7/2 09:00,7,7,900,2441,2162
2017/7/2 10:00,7,7,1000,2974,3040
2017/7/2 11:00,7,7,1100,4002,4070
2017/7/2 12:00,7,7,1200,4925,4782
2017/7/2 13:00,7,7,1300,5829,5014
2017/7/2 14:00,7,7,1400,5785,4550
2017/7/2 15:00,7,7,1500,4964,4348
2017/7/2 16:00,7,7,1600,4789,4488
2017/7/2 17:00,7,7,1700,4774,4380
2017/7/2 18:00,7,7,1800,4535,5619
2017/7/2 19:00,7,7,1900,3688,4513
2017/7/2 20:00,7,7,2000,2804,3182
2017/7/2 21:00,7,7,2100,2139,2156
2017/7/2 22:00,7,7,2200,1331,1533
2017/7/2 23:00,7,7,2300,1072,1369
2017/7/3 00:00,1,7,0,594,1108
2017/7/3 01:00,1,7,100,285,656
2017/7/3 02:00,1,7,200,234,316
2017/7/3 03:00,1,7,300,567,234
2017/7/3 04:00,1,7,400,1337,494
2017/7/3 05:00,1,7,500,1733,1295
2017/7/3 06:00,1,7,600,3387,3168
2017/7/3 07:00,1,7,700,5915,5255
2017/7/3 08:00,1,7,800,6151,5180
2017/7/3 09:00,1,7,900,4542,4541
2017/7/3 10:00,1,7,1000,4225,4041
2017/7/3 11:00,1,7,1100,4319,4137
2017/7/3 12:00,1,7,1200,4470,4255
2017/7/3 13:00,1,7,1300,4717,4471
2017/7/3 14:00,1,7,1400,4748,4794
2017/7/3 15:00,1,7,1500,5085,5103
2017/7/3 16:00,1,7,1600,5950,6150
2017/7/3 17:00,1,7,1700,6130,3338
2017/7/3 18:00,1,7,1800,5055,5309
2017/7/3 19:00,1,7,1900,3472,3660
2017/7/3 20:00,1,7,2000,2506,2722
2017/7/3 21:00,1,7,2100,1720,2134
2017/7/3 22:00,1,7,2200,1237,1455
2017/7/3 23:00,1,7,2300,886,1067
2017/7/4 00:00,2,7,0,521,738
2017/7/4 01:00,2,7,100,264,633
2017/7/4 02:00,2,7,200,313,476
2017/7/4 03:00,2,7,300,522,335
2017/7/4 04:00,2,7,400,1211,578
2017/7/4 05:00,2,7,500,1667,1161
2017/7/4 06:00,2,7,600,3402,3168
2017/7/4 07:00,2,7,700,6091,5409
2017/7/4 08:00,2,7,800,6062,5423
2017/7/4 09:00,2,7,900,4641,4720
2017/7/4 10:00,2,7,1000,4426,4136
2017/7/4 11:00,2,7,1100,4292,4176
2017/7/4 12:00,2,7,1200,4405,4302
2017/7/4 13:00,2,7,1300,4234,4596
2017/7/4 14:00,2,7,1400,5066,4773
2017/7/4 15:00,2,7,1500,5090,5077
2017/7/4 16:00,2,7,1600,5829,5061
2017/7/4 17:00,2,7,1700,6129,5995
2017/7/4 18:00,2,7,1800,5448,5419
2017/7/4 19:00,2,7,1900,3572,3620
2017/7/4 20:00,2,7,2000,2482,2910
2017/7/4 21:00,2,7,2100,1890,2285
2017/7/4 22:00,2,7,2200,1408,1621
2017/7/4 23:00,2,7,2300,1121,1316
2017/7/5 00:00,3,7,0,578,1148
2017/7/5 01:00,3,7,100,322,758
2017/7/5 02:00,3,7,200,266,385
2017/7/5 03:00,3,7,300,589,260
2017/7/5 04:00,3,7,400,1259,568
2017/7/5 05:00,3,7,500,1520,1153
2017/7/5 06:00,3,7,600,3441,3185
2017/7/5 07:00,3,7,700,6053,5398
2017/7/5 08:00,3,7,800,6147,5463
2017/7/5 09:00,3,7,900,4771,4630
2017/7/5 10:00,3,7,1000,4338,4149
