datetime,dayOfWeek,month,time,northBound,southBound
2017/6/1 00:00,4,6,0,574,1108
2017/6/1 01:00,4,6,100,314,530
2017/6/1 02:00,4,6,200,289,296
2017/6/1 03:00,4,6,300,516,348
2017/6/1 04:00,4,6,400,1241,521
2017/6/1 05:00,4,6,500,1630,1104
2017/6/1 06:00,4,6,600,3523,3393
2017/6/1 07:00,4,6,700,6335,5797
2017/6/1 08:00,4,6,800,6372,5241
2017/6/1 09:00,4,6,900,4961,4907
2017/6/1 10:00,4,6,1000,4443,4218
2017/6/1 11:00,4,6,1100,4419,4254
2017/6/1 12:00,4,6,1200,4613,4493
2017/6/1 13:00,4,6,1300,4625,4751
2017/6/1 14:00,4,6,1400,4764,4774
2017/6/1 15:00,4,6,1500,5369,5260
2017/6/1 16:00,4,6,1600,5928,6064
2017/6/1 17:00,4,6,1700,5539,4981
2017/6/1 18:00,4,6,1800,5383,5090
2017/6/1 19:00,4,6,1900,4243,4621
2017/6/1 20:00,4,6,2000,3038,3189
2017/6/1 21:00,4,6,2100,2416,2407
2017/6/1 22:00,4,6,2200,1541,1671
2017/6/1 23:00,4,6,2300,1068,1424
2017/6/2 00:00,5,6,0,685,1057
2017/6/2 01:00,5,6,100,312,675
2017/6/2 02:00,5,6,200,292,326
2017/6/2 03:00,5,6,300,630,284
2017/6/2 04:00,5,6,400,1265,510
2017/6/2 05:00,5,6,500,1744,1105
2017/6/2 06:00,5,6,600,3298,3244
2017/6/2 07:00,5,6,700,6064,5235
2017/6/2 08:00,5,6,800,5719,5041
2017/6/2 09:00,5,6,900,4602,4647
2017/6/2 10:00,5,6,1000,4273,4561
2017/6/2 11:00,5,6,1100,4707,4981
2017/6/2 12:00,5,6,1200,5060,5230
2017/6/2 13:00,5,6,1300,5207,5686
2017/6/2 14:00,5,6,1400,5597,5738
2017/6/2 15:00,5,6,1500,5959,5540
2017/6/2 16:00,5,6,1600,6165,6142
2017/6/2 17:00,5,6,1700,5523,5538
2017/6/2 18:00,5,6,1800,4862,4537
2017/6/2 19:00,5,6,1900,3945,4239
2017/6/2 20:00,5,6,2000,2746,3181
2017/6/2 21:00,5,6,2100,2173,2339
2017/6/2 22:00,5,6,2200,1809,1908
2017/6/2 23:00,5,6,2300,1197,1581
2017/6/3 00:00,6,6,0,781,1274
2017/6/3 01:00,6,6,100,481,793
2017/6/3 02:00,6,6,200,339,347
2017/6/3 03:00,6,6,300,578,325
2017/6/3 04:00,6,6,400,1227,438
2017/6/3 05:00,6,6,500,1196,908
