day,month,time,location,direction,volume
3,3,0,Example,0,354
3,3,0,Example,1,759
3,3,100,Example,0,197
3,3,100,Example,1,273
3,3,200,Example,0,191
3,3,200,Example,1,181
3,3,300,Example,0,342
3,3,300,Example,1,179
3,3,400,Example,0,905
3,3,400,Example,1,419
3,3,500,Example,0,1477
3,3,500,Example,1,964
3,3,600,Example,0,2988
3,3,600,Example,1,3173
3,3,700,Example,0,6035
3,3,700,Example,1,5443
3,3,800,Example,0,6184
3,3,800,Example,1,4934
3,3,900,Example,0,4989
3,3,900,Example,1,4689
3,3,1000,Example,0,4033
3,3,1000,Example,1,3665
3,3,1100,Example,0,3925
3,3,1100,Example,1,3696
3,3,1200,Example,0,3990
3,3,1200,Example,1,4047
3,3,1300,Example,0,4293
3,3,1300,Example,1,4393
3,3,1400,Example,0,4431
3,3,1400,Example,1,4430
3,3,1500,Example,0,4937
3,3,1500,Example,1,4949
3,3,1600,Example,0,5821
3,3,1600,Example,1,6408
3,3,1700,Example,0,5277
3,3,1700,Example,1,5894
3,3,1800,Example,0,4717
3,3,1800,Example,1,4920
3,3,1900,Example,0,4186
3,3,1900,Example,1,3419
3,3,2000,Example,0,2439
3,3,2000,Example,1,2573
3,3,2100,Example,0,1922
3,3,2100,Example,1,2225
3,3,2200,Example,0,1269
3,3,2200,Example,1,1672
3,3,2300,Example,0,727
3,3,2300,Example,1,1000
4,3,0,Example,0,394
4,3,0,Example,1,654
4,3,100,Example,0,242
4,3,100,Example,1,283
4,3,200,Example,0,193
4,3,200,Example,1,224
4,3,300,Example,0,397
4,3,300,Example,1,210
4,3,400,Example,0,933
4,3,400,Example,1,439
4,3,500,Example,0,1449
4,3,500,Example,1,952
4,3,600,Example,0,2956
4,3,600,Example,1,3160
4,3,700,Example,0,6036
4,3,700,Example,1,4984
4,3,800,Example,0,5919
4,3,800,Example,1,4142
4,3,900,Example,0,5310
4,3,900,Example,1,4889
4,3,1000,Example,0,4262
4,3,1000,Example,1,3893
4,3,1100,Example,0,4042
4,3,1100,Example,1,3859
4,3,1200,Example,0,4219
4,3,1200,Example,1,4169
4,3,1300,Example,0,4428
4,3,1300,Example,1,4411
4,3,1400,Example,0,4585
4,3,1400,Example,1,4448
4,3,1500,Example,0,5040
4,3,1500,Example,1,5172
4,3,1600,Example,0,6068
4,3,1600,Example,1,6075
4,3,1700,Example,0,6049
4,3,1700,Example,1,5992
4,3,1800,Example,0,5062
4,3,1800,Example,1,5045
4,3,1900,Example,0,3624
4,3,1900,Example,1,3816
4,3,2000,Example,0,2712
4,3,2000,Example,1,2890
4,3,2100,Example,0,2066
4,3,2100,Example,1,2420
4,3,2200,Example,0,1341
4,3,2200,Example,1,1850
4,3,2300,Example,0,817
4,3,2300,Example,1,1069
5,3,0,Example,0,454
5,3,0,Example,1,792
5,3,100,Example,0,243
5,3,100,Example,1,335
5,3,200,Example,0,217
5,3,200,Example,1,201
5,3,300,Example,0,457
5,3,300,Example,1,220
5,3,400,Example,0,1139
5,3,400,Example,1,465
5,3,500,Example,0,1430
5,3,500,Example,1,1024
5,3,600,Example,0,2924
5,3,600,Example,1,3163
5,3,700,Example,0,5522
5,3,700,Example,1,5243
5,3,800,Example,0,5875
5,3,800,Example,1,4829
5,3,900,Example,0,5086
5,3,900,Example,1,4555
5,3,1000,Example,0,4282
5,3,1000,Example,1,4015
5,3,1100,Example,0,4325
5,3,1100,Example,1,4055
5,3,1200,Example,0,4692
5,3,1200,Example,1,3541
5,3,1300,Example,0,4934
5,3,1300,Example,1,3677
5,3,1400,Example,0,5264
5,3,1400,Example,1,4340
5,3,1500,Example,0,5621
5,3,1500,Example,1,4635
5,3,1600,Example,0,5916
5,3,1600,Example,1,5386
5,3,1700,Example,0,5578
5,3,1700,Example,1,4225
5,3,1800,Example,0,4873
5,3,1800,Example,1,4998
5,3,1900,Example,0,3692
5,3,1900,Example,1,4114
5,3,2000,Example,0,2616
5,3,2000,Example,1,2749
5,3,2100,Example,0,2076
5,3,2100,Example,1,2195
5,3,2200,Example,0,1444
5,3,2200,Example,1,1974
5,3,2300,Example,0,1110
5,3,2300,Example,1,1298
6,3,0,Example,0,550
6,3,0,Example,1,924
6,3,100,Example,0,370
6,3,100,Example,1,556
6,3,200,Example,0,293
6,3,200,Example,1,268
6,3,300,Example,0,445
6,3,300,Example,1,271
6,3,400,Example,0,959
6,3,400,Example,1,392
6,3,500,Example,0,1062
6,3,500,Example,1,714
6,3,600,Example,0,1197
6,3,600,Example,1,1128
6,3,700,Example,0,1942
6,3,700,Example,1,1639
6,3,800,Example,0,2621
6,3,800,Example,1,2611
6,3,900,Example,0,3403
6,3,900,Example,1,3160
6,3,1000,Example,0,3901
6,3,1000,Example,1,3776
6,3,1100,Example,0,4480
6,3,1100,Example,1,4257
6,3,1200,Example,0,4576
6,3,1200,Example,1,4758
6,3,1300,Example,0,4558
6,3,1300,Example,1,4849
6,3,1400,Example,0,4615
6,3,1400,Example,1,4883
6,3,1500,Example,0,4414
6,3,1500,Example,1,4536
6,3,1600,Example,0,4448
6,3,1600,Example,1,4288
6,3,1700,Example,0,4078
