day,month,time,location,direction,volume
1,5,0,Example,0,571
1,5,0,Example,1,1142
1,5,100,Example,0,309
1,5,100,Example,1,574
1,5,200,Example,0,238
1,5,200,Example,1,260
1,5,300,Example,0,412
1,5,300,Example,1,283
1,5,400,Example,0,812
1,5,400,Example,1,341
1,5,500,Example,0,950
1,5,500,Example,1,638
1,5,600,Example,0,1031
1,5,600,Example,1,1016
1,5,700,Example,0,1419
1,5,700,Example,1,1103
1,5,800,Example,0,1415
1,5,800,Example,1,1392
1,5,900,Example,0,2046
1,5,900,Example,1,2022
1,5,1000,Example,0,2796
1,5,1000,Example,1,2807
1,5,1100,Example,0,3547
1,5,1100,Example,1,3498
1,5,1200,Example,0,4483
1,5,1200,Example,1,4356
1,5,1300,Example,0,4948
1,5,1300,Example,1,4648
1,5,1400,Example,0,4948
1,5,1400,Example,1,4388
1,5,1500,Example,0,4611
1,5,1500,Example,1,4251
1,5,1600,Example,0,4658
1,5,1600,Example,1,4144
1,5,1700,Example,0,4593
1,5,1700,Example,1,4130
1,5,1800,Example,0,4384
1,5,1800,Example,1,3917
1,5,1900,Example,0,3615
1,5,1900,Example,1,3577
1,5,2000,Example,0,2785
1,5,2000,Example,1,2885
1,5,2100,Example,0,2026
1,5,2100,Example,1,2002
1,5,2200,Example,0,1353
1,5,2200,Example,1,1463
1,5,2300,Example,0,836
1,5,2300,Example,1,1045
2,5,0,Example,0,475
2,5,0,Example,1,928
2,5,100,Example,0,227
2,5,100,Example,1,463
2,5,200,Example,0,197
2,5,200,Example,1,192
2,5,300,Example,0,414
2,5,300,Example,1,225
2,5,400,Example,0,1075
2,5,400,Example,1,423
2,5,500,Example,0,1797
2,5,500,Example,1,1078
2,5,600,Example,0,3490
2,5,600,Example,1,3432
2,5,700,Example,0,6231
2,5,700,Example,1,5755
2,5,800,Example,0,6346
2,5,800,Example,1,5087
2,5,900,Example,0,5193
2,5,900,Example,1,4917
2,5,1000,Example,0,4439
2,5,1000,Example,1,4042
2,5,1100,Example,0,4140
2,5,1100,Example,1,4078
2,5,1200,Example,0,4247
2,5,1200,Example,1,4262
2,5,1300,Example,0,4511
2,5,1300,Example,1,4373
2,5,1400,Example,0,4553
2,5,1400,Example,1,4470
2,5,1500,Example,0,5031
2,5,1500,Example,1,4895
2,5,1600,Example,0,6030
2,5,1600,Example,1,6328
2,5,1700,Example,0,6222
2,5,1700,Example,1,6266
2,5,1800,Example,0,4981
2,5,1800,Example,1,4797
2,5,1900,Example,0,3374
2,5,1900,Example,1,3348
2,5,2000,Example,0,2410
2,5,2000,Example,1,2647
2,5,2100,Example,0,1818
2,5,2100,Example,1,2098
2,5,2200,Example,0,1327
2,5,2200,Example,1,1360
2,5,2300,Example,0,824
2,5,2300,Example,1,1090
3,5,0,Example,0,519
3,5,0,Example,1,870
3,5,100,Example,0,247
3,5,100,Example,1,544
3,5,200,Example,0,223
3,5,200,Example,1,234
3,5,300,Example,0,412
3,5,300,Example,1,207
3,5,400,Example,0,950
3,5,400,Example,1,411
3,5,500,Example,0,1577
3,5,500,Example,1,954
3,5,600,Example,0,3371
3,5,600,Example,1,3432
3,5,700,Example,0,5237
3,5,700,Example,1,4360
3,5,800,Example,0,5802
3,5,800,Example,1,4056
3,5,900,Example,0,5599
3,5,900,Example,1,5368
3,5,1000,Example,0,4570
3,5,1000,Example,1,3984
3,5,1100,Example,0,4348
3,5,1100,Example,1,4215
3,5,1200,Example,0,4403
3,5,1200,Example,1,4348
3,5,1300,Example,0,4575
3,5,1300,Example,1,4422
3,5,1400,Example,0,4499
3,5,1400,Example,1,4638
3,5,1500,Example,0,5203
3,5,1500,Example,1,5197
3,5,1600,Example,0,6236
3,5,1600,Example,1,6025
3,5,1700,Example,0,6196
3,5,1700,Example,1,6369
3,5,1800,Example,0,5328
3,5,1800,Example,1,5284
3,5,1900,Example,0,3827
3,5,1900,Example,1,3787
3,5,2000,Example,0,2652
3,5,2000,Example,1,2857
3,5,2100,Example,0,2113
3,5,2100,Example,1,2416
3,5,2200,Example,0,1431
3,5,2200,Example,1,1705
3,5,2300,Example,0,958
3,5,2300,Example,1,1183
4,5,0,Example,0,459
4,5,0,Example,1,938
4,5,100,Example,0,222
4,5,100,Example,1,440
4,5,200,Example,0,231
4,5,200,Example,1,219
4,5,300,Example,0,400
4,5,300,Example,1,237
4,5,400,Example,0,940
4,5,400,Example,1,399
4,5,500,Example,0,1474
4,5,500,Example,1,882
4,5,600,Example,0,3275
4,5,600,Example,1,3438
4,5,700,Example,0,6088
4,5,700,Example,1,5737
4,5,800,Example,0,6209
4,5,800,Example,1,5175
4,5,900,Example,0,4920
4,5,900,Example,1,4873
4,5,1000,Example,0,4486
4,5,1000,Example,1,4003
4,5,1100,Example,0,4208
4,5,1100,Example,1,4013
4,5,1200,Example,0,4352
4,5,1200,Example,1,4349
4,5,1300,Example,0,4597
4,5,1300,Example,1,4456
4,5,1400,Example,0,4722
4,5,1400,Example,1,4500
4,5,1500,Example,0,5348
4,5,1500,Example,1,5232
4,5,1600,Example,0,6239
4,5,1600,Example,1,6647
4,5,1700,Example,0,6376
4,5,1700,Example,1,6276
4,5,1800,Example,0,5369
4,5,1800,Example,1,5347
4,5,1900,Example,0,3811
4,5,1900,Example,1,3947
4,5,2000,Example,0,2859
4,5,2000,Example,1,3075
4,5,2100,Example,0,2262
4,5,2100,Example,1,2494
4,5,2200,Example,0,1455
4,5,2200,Example,1,1904
4,5,2300,Example,0,1061
4,5,2300,Example,1,1270
5,5,0,Example,0,614
5,5,0,Example,1,1108
5,5,100,Example,0,300
5,5,100,Example,1,687
5,5,200,Example,0,253
5,5,200,Example,1,284
5,5,300,Example,0,459
5,5,300,Example,1,262
5,5,400,Example,0,1026
5,5,400,Example,1,464
5,5,500,Example,0,1479
5,5,500,Example,1,1042
5,5,600,Example,0,3375
5,5,600,Example,1,3230
5,5,700,Example,0,6065
5,5,700,Example,1,5444
5,5,800,Example,0,5989
5,5,800,Example,1,5005
5,5,900,Example,0,4853
5,5,900,Example,1,4719
5,5,1000,Example,0,4429
5,5,1000,Example,1,4088
5,5,1100,Example,0,4709
5,5,1100,Example,1,4336
5,5,1200,Example,0,4745
5,5,1200,Example,1,4946
5,5,1300,Example,0,5007
5,5,1300,Example,1,5309
5,5,1400,Example,0,5471
5,5,1400,Example,1,5615
5,5,1500,Example,0,5526
5,5,1500,Example,1,4935
5,5,1600,Example,0,6130
5,5,1600,Example,1,3715
5,5,1700,Example,0,5914
5,5,1700,Example,1,5611
5,5,1800,Example,0,5194
5,5,1800,Example,1,5434
5,5,1900,Example,0,3941
5,5,1900,Example,1,4210
5,5,2000,Example,0,2839
5,5,2000,Example,1,3181
5,5,2100,Example,0,2210
5,5,2100,Example,1,2406
5,5,2200,Example,0,1831
5,5,2200,Example,1,1956
5,5,2300,Example,0,1261
5,5,2300,Example,1,1489
6,5,0,Example,0,737
6,5,0,Example,1,1308
6,5,100,Example,0,360
6,5,100,Example,1,592
6,5,200,Example,0,338
6,5,200,Example,1,347
6,5,300,Example,0,509
6,5,300,Example,1,463
6,5,400,Example,0,1041
6,5,400,Example,1,442
6,5,500,Example,0,1106
6,5,500,Example,1,742
6,5,600,Example,0,1546
6,5,600,Example,1,1305
6,5,700,Example,0,2289
6,5,700,Example,1,1833
6,5,800,Example,0,2693
6,5,800,Example,1,2783
6,5,900,Example,0,3588
6,5,900,Example,1,3489
6,5,1000,Example,0,4054
6,5,1000,Example,1,3784
6,5,1100,Example,0,4438
6,5,1100,Example,1,4393
6,5,1200,Example,0,4690
6,5,1200,Example,1,4933
6,5,1300,Example,0,4925
6,5,1300,Example,1,5348
6,5,1400,Example,0,5085
6,5,1400,Example,1,5032
6,5,1500,Example,0,4495
6,5,1500,Example,1,4517
6,5,1600,Example,0,4284
6,5,1600,Example,1,4280
6,5,1700,Example,0,4386
6,5,1700,Example,1,4359
6,5,1800,Example,0,3971
6,5,1800,Example,1,3624
6,5,1900,Example,0,3127
6,5,1900,Example,1,3126
6,5,2000,Example,0,2257
6,5,2000,Example,1,2303
6,5,2100,Example,0,1444
6,5,2100,Example,1,1737
6,5,2200,Example,0,1219
6,5,2200,Example,1,1416
6,5,2300,Example,0,989
6,5,2300,Example,1,1314
7,5,0,Example,0,755
7,5,0,Example,1,1112
7,5,100,Example,0,443
7,5,100,Example,1,791
7,5,200,Example,0,293
7,5,200,Example,1,365
7,5,300,Example,0,447
7,5,300,Example,1,249
7,5,400,Example,0,921
7,5,400,Example,1,404
7,5,500,Example,0,952
7,5,500,Example,1,535
7,5,600,Example,0,908
7,5,600,Example,1,778
7,5,700,Example,0,1397
7,5,700,Example,1,999
7,5,800,Example,0,1649
7,5,800,Example,1,1623
7,5,900,Example,0,2531
7,5,900,Example,1,2472
7,5,1000,Example,0,3232
7,5,1000,Example,1,3236
7,5,1100,Example,0,4216
7,5,1100,Example,1,3916
7,5,1200,Example,0,4944
7,5,1200,Example,1,4421
7,5,1300,Example,0,5468
7,5,1300,Example,1,4942
7,5,1400,Example,0,5235
7,5,1400,Example,1,4520
7,5,1500,Example,0,4547
7,5,1500,Example,1,4303
7,5,1600,Example,0,4181
7,5,1600,Example,1,4423
7,5,1700,Example,0,4177
7,5,1700,Example,1,4380
7,5,1800,Example,0,4245
7,5,1800,Example,1,4716
7,5,1900,Example,0,3777
7,5,1900,Example,1,3980
7,5,2000,Example,0,2923
7,5,2000,Example,1,2980
7,5,2100,Example,0,2187
7,5,2100,Example,1,2262
7,5,2200,Example,0,1524
7,5,2200,Example,1,1552
7,5,2300,Example,0,899
7,5,2300,Example,1,1210
1,5,0,Example,0,462
1,5,0,Example,1,1067
1,5,100,Example,0,223
1,5,100,Example,1,497
1,5,200,Example,0,213
1,5,200,Example,1,240
1,5,300,Example,0,419
1,5,300,Example,1,237
1,5,400,Example,0,1141
1,5,400,Example,1,423
1,5,500,Example,0,1838
1,5,500,Example,1,1123
1,5,600,Example,0,3474
1,5,600,Example,1,3385
1,5,700,Example,0,6216
1,5,700,Example,1,5682
1,5,800,Example,0,4999
1,5,800,Example,1,5191
1,5,900,Example,0,5946
1,5,900,Example,1,4519
1,5,1000,Example,0,4436
1,5,1000,Example,1,4105
1,5,1100,Example,0,4023
1,5,1100,Example,1,4112
1,5,1200,Example,0,4192
1,5,1200,Example,1,4430
1,5,1300,Example,0,4464
1,5,1300,Example,1,4402
1,5,1400,Example,0,4569
1,5,1400,Example,1,4476
1,5,1500,Example,0,5015
1,5,1500,Example,1,4876
1,5,1600,Example,0,6162
1,5,1600,Example,1,6283
1,5,1700,Example,0,5877
1,5,1700,Example,1,6469
1,5,1800,Example,0,4919
1,5,1800,Example,1,4792
1,5,1900,Example,0,3456
1,5,1900,Example,1,3394
1,5,2000,Example,0,2261
1,5,2000,Example,1,2719
1,5,2100,Example,0,1607
1,5,2100,Example,1,1940
1,5,2200,Example,0,1223
1,5,2200,Example,1,1546
1,5,2300,Example,0,803
1,5,2300,Example,1,951
2,5,0,Example,0,465
2,5,0,Example,1,933
2,5,100,Example,0,218
2,5,100,Example,1,500
2,5,200,Example,0,197
2,5,200,Example,1,200
2,5,300,Example,0,379
2,5,300,Example,1,214
2,5,400,Example,0,1024
2,5,400,Example,1,415
2,5,500,Example,0,1696
2,5,500,Example,1,976
2,5,600,Example,0,3339
2,5,600,Example,1,3517
2,5,700,Example,0,6156
2,5,700,Example,1,5870
2,5,800,Example,0,6557
2,5,800,Example,1,5229
2,5,900,Example,0,4969
2,5,900,Example,1,4924
2,5,1000,Example,0,4151
2,5,1000,Example,1,3978
2,5,1100,Example,0,4105
2,5,1100,Example,1,3858
2,5,1200,Example,0,4218
2,5,1200,Example,1,4057
2,5,1300,Example,0,4313
2,5,1300,Example,1,4378
2,5,1400,Example,0,4659
2,5,1400,Example,1,4454
2,5,1500,Example,0,5142
2,5,1500,Example,1,5094
2,5,1600,Example,0,6180
2,5,1600,Example,1,6542
2,5,1700,Example,0,6049
2,5,1700,Example,1,6138
2,5,1800,Example,0,5007
2,5,1800,Example,1,5155
2,5,1900,Example,0,3527
2,5,1900,Example,1,3446
2,5,2000,Example,0,2308
2,5,2000,Example,1,2942
2,5,2100,Example,0,2014
2,5,2100,Example,1,2255
2,5,2200,Example,0,1292
2,5,2200,Example,1,1620
2,5,2300,Example,0,849
2,5,2300,Example,1,1165
3,5,0,Example,0,480
3,5,0,Example,1,894
3,5,100,Example,0,204
3,5,100,Example,1,459
3,5,200,Example,0,217
3,5,200,Example,1,229
3,5,300,Example,0,414
3,5,300,Example,1,224
3,5,400,Example,0,977
3,5,400,Example,1,465
3,5,500,Example,0,1577
3,5,500,Example,1,964
3,5,600,Example,0,3360
3,5,600,Example,1,3492
3,5,700,Example,0,6207
3,5,700,Example,1,5856
3,5,800,Example,0,6440
3,5,800,Example,1,3489
3,5,900,Example,0,5179
3,5,900,Example,1,5292
3,5,1000,Example,0,4198
3,5,1000,Example,1,4100
3,5,1100,Example,0,4289
3,5,1100,Example,1,3932
3,5,1200,Example,0,4363
3,5,1200,Example,1,4294
3,5,1300,Example,0,4547
3,5,1300,Example,1,4551
3,5,1400,Example,0,4863
3,5,1400,Example,1,4524
3,5,1500,Example,0,5191
3,5,1500,Example,1,5158
3,5,1600,Example,0,6304
3,5,1600,Example,1,6355
3,5,1700,Example,0,6232
3,5,1700,Example,1,6574
3,5,1800,Example,0,5118
3,5,1800,Example,1,5243
3,5,1900,Example,0,3801
3,5,1900,Example,1,3626
3,5,2000,Example,0,2666
3,5,2000,Example,1,2933
3,5,2100,Example,0,2167
3,5,2100,Example,1,2514
3,5,2200,Example,0,1484
3,5,2200,Example,1,1863
3,5,2300,Example,0,949
3,5,2300,Example,1,1213
4,5,0,Example,0,434
4,5,0,Example,1,876
4,5,100,Example,0,233
4,5,100,Example,1,508
4,5,200,Example,0,224
4,5,200,Example,1,201
4,5,300,Example,0,451
4,5,300,Example,1,238
4,5,400,Example,0,1017
4,5,400,Example,1,434
4,5,500,Example,0,1447
4,5,500,Example,1,1010
4,5,600,Example,0,3338
4,5,600,Example,1,3503
4,5,700,Example,0,6215
4,5,700,Example,1,5382
4,5,800,Example,0,6395
4,5,800,Example,1,5306
4,5,900,Example,0,5115
4,5,900,Example,1,4780
4,5,1000,Example,0,4443
4,5,1000,Example,1,4186
4,5,1100,Example,0,4329
4,5,1100,Example,1,4108
4,5,1200,Example,0,4632
4,5,1200,Example,1,4367
4,5,1300,Example,0,4626
4,5,1300,Example,1,4579
4,5,1400,Example,0,4843
4,5,1400,Example,1,4631
4,5,1500,Example,0,5263
4,5,1500,Example,1,5467
4,5,1600,Example,0,6096
4,5,1600,Example,1,6370
4,5,1700,Example,0,6140
4,5,1700,Example,1,6162
4,5,1800,Example,0,5517
4,5,1800,Example,1,5521
4,5,1900,Example,0,3924
4,5,1900,Example,1,4028
4,5,2000,Example,0,2899
4,5,2000,Example,1,3145
4,5,2100,Example,0,2196
4,5,2100,Example,1,2454
4,5,2200,Example,0,1515
4,5,2200,Example,1,1893
4,5,2300,Example,0,1101
4,5,2300,Example,1,1132
5,5,0,Example,0,608
5,5,0,Example,1,1165
5,5,100,Example,0,292
5,5,100,Example,1,756
5,5,200,Example,0,241
5,5,200,Example,1,229
5,5,300,Example,0,492
5,5,300,Example,1,249
5,5,400,Example,0,1110
5,5,400,Example,1,453
5,5,500,Example,0,1515
5,5,500,Example,1,1063
5,5,600,Example,0,3302
5,5,600,Example,1,3264
5,5,700,Example,0,6083
5,5,700,Example,1,5436
5,5,800,Example,0,6144
5,5,800,Example,1,4912
5,5,900,Example,0,3972
5,5,900,Example,1,4516
5,5,1000,Example,0,4006
5,5,1000,Example,1,4017
5,5,1100,Example,0,4204
5,5,1100,Example,1,4287
5,5,1200,Example,0,5330
5,5,1200,Example,1,4865
5,5,1300,Example,0,5274
5,5,1300,Example,1,5308
5,5,1400,Example,0,5552
5,5,1400,Example,1,5796
5,5,1500,Example,0,5860
5,5,1500,Example,1,5969
5,5,1600,Example,0,6040
5,5,1600,Example,1,6155
5,5,1700,Example,0,5515
5,5,1700,Example,1,5460
5,5,1800,Example,0,5147
5,5,1800,Example,1,4815
5,5,1900,Example,0,3937
