datetime,dayOfWeek,month,time,northBound,southBound
2017/11/1 00:00,3,11,0,382,794
2017/11/1 01:00,3,11,100,257,351
2017/11/1 02:00,3,11,200,248,258
2017/11/1 03:00,3,11,300,454,302
2017/11/1 04:00,3,11,400,1184,523
2017/11/1 05:00,3,11,500,1611,1188
2017/11/1 06:00,3,11,600,3419,3483
2017/11/1 07:00,3,11,700,6177,5639
2017/11/1 08:00,3,11,800,6246,4639
2017/11/1 09:00,3,11,900,4748,4583
2017/11/1 10:00,3,11,1000,4615,4529
2017/11/1 11:00,3,11,1100,4708,4571
2017/11/1 12:00,3,11,1200,5112,4895
2017/11/1 13:00,3,11,1300,4967,4972
2017/11/1 14:00,3,11,1400,5202,5069
2017/11/1 15:00,3,11,1500,5484,5470
2017/11/1 16:00,3,11,1600,6281,5787
2017/11/1 17:00,3,11,1700,5768,5998
2017/11/1 18:00,3,11,1800,5272,5597
2017/11/1 19:00,3,11,1900,3983,3760
2017/11/1 20:00,3,11,2000,2534,2773
2017/11/1 21:00,3,11,2100,1872,2349
2017/11/1 22:00,3,11,2200,1391,1603
2017/11/1 23:00,3,11,2300,782,1073
2017/11/2 00:00,4,11,0,350,949
2017/11/2 01:00,4,11,100,195,296
2017/11/2 02:00,4,11,200,233,217
2017/11/2 03:00,4,11,300,424,238
2017/11/2 04:00,4,11,400,1115,477
2017/11/2 05:00,4,11,500,1627,1150
2017/11/2 06:00,4,11,600,3387,3467
2017/11/2 07:00,4,11,700,6115,3966
2017/11/2 08:00,4,11,800,6057,4546
2017/11/2 09:00,4,11,900,4812,4667
2017/11/2 10:00,4,11,1000,4817,4436
2017/11/2 11:00,4,11,1100,4693,4480
2017/11/2 12:00,4,11,1200,5065,5038
2017/11/2 13:00,4,11,1300,5076,4886
2017/11/2 14:00,4,11,1400,5276,5058
2017/11/2 15:00,4,11,1500,5590,5724
2017/11/2 16:00,4,11,1600,6345,6475
2017/11/2 17:00,4,11,1700,5879,6214
2017/11/2 18:00,4,11,1800,5538,5218
2017/11/2 19:00,4,11,1900,3828,4156
2017/11/2 20:00,4,11,2000,2693,3001
2017/11/2 21:00,4,11,2100,2103,2491
2017/11/2 22:00,4,11,2200,1528,1742
2017/11/2 23:00,4,11,2300,814,1460
2017/11/3 00:00,5,11,0,431,892
2017/11/3 01:00,5,11,100,252,368
2017/11/3 02:00,5,11,200,254,250
2017/11/3 03:00,5,11,300,466,282
2017/11/3 04:00,5,11,400,1042,510
2017/11/3 05:00,5,11,500,1557,1079
2017/11/3 06:00,5,11,600,3453,3278
2017/11/3 07:00,5,11,700,6017,5265
2017/11/3 08:00,5,11,800,5438,4636
2017/11/3 09:00,5,11,900,4762,4316
2017/11/3 10:00,5,11,1000,4862,4439
2017/11/3 11:00,5,11,1100,5034,4780
2017/11/3 12:00,5,11,1200,5305,5419
2017/11/3 13:00,5,11,1300,5611,5409
2017/11/3 14:00,5,11,1400,5772,5164
2017/11/3 15:00,5,11,1500,4538,3890
2017/11/3 16:00,5,11,1600,5829,4634
2017/11/3 17:00,5,11,1700,5615,6129
2017/11/3 18:00,5,11,1800,5196,5237
2017/11/3 19:00,5,11,1900,4278,4107
2017/11/3 20:00,5,11,2000,2588,3074
2017/11/3 21:00,5,11,2100,1961,2454
2017/11/3 22:00,5,11,2200,1424,1855
2017/11/3 23:00,5,11,2300,896,1422
2017/11/4 00:00,6,11,0,516,1002
2017/11/4 01:00,6,11,100,373,404
2017/11/4 02:00,6,11,200,293,254
2017/11/4 03:00,6,11,300,472,342
2017/11/4 04:00,6,11,400,916,442
2017/11/4 05:00,6,11,500,1007,833
2017/11/4 06:00,6,11,600,1513,1352
2017/11/4 07:00,6,11,700,2394,1978
2017/11/4 08:00,6,11,800,2790,2604
2017/11/4 09:00,6,11,900,3784,3425
2017/11/4 10:00,6,11,1000,4471,4112
2017/11/4 11:00,6,11,1100,4909,4589
2017/11/4 12:00,6,11,1200,5198,5446
2017/11/4 13:00,6,11,1300,5344,5447
2017/11/4 14:00,6,11,1400,4934,3708
2017/11/4 15:00,6,11,1500,4441,3396
2017/11/4 16:00,6,11,1600,4566,5061
2017/11/4 17:00,6,11,1700,4286,4580
2017/11/4 18:00,6,11,1800,3718,3696
2017/11/4 19:00,6,11,1900,2822,2896
2017/11/4 20:00,6,11,2000,1948,2136
2017/11/4 21:00,6,11,2100,1340,1513
2017/11/4 22:00,6,11,2200,1017,1281
2017/11/4 23:00,6,11,2300,821,1139
2017/11/5 00:00,7,11,0,544,1062
2017/11/5 01:00,7,11,100,424,471
2017/11/5 02:00,7,11,200,316,263
2017/11/5 03:00,7,11,300,399,265
2017/11/5 04:00,7,11,400,778,365
2017/11/5 05:00,7,11,500,763,664
2017/11/5 06:00,7,11,600,827,692
2017/11/5 07:00,7,11,700,1311,1056
2017/11/5 08:00,7,11,800,1593,1403
2017/11/5 09:00,7,11,900,2592,2251
2017/11/5 10:00,7,11,1000,3306,3179
2017/11/5 11:00,7,11,1100,3891,3904
2017/11/5 12:00,7,11,1200,4897,4680
2017/11/5 13:00,7,11,1300,5360,5052
2017/11/5 14:00,7,11,1400,5080,5078
2017/11/5 15:00,7,11,1500,4782,4914
2017/11/5 16:00,7,11,1600,4787,4627
