day,month,time,location,direction,volume
7,10,0,Example,0,828
7,10,0,Example,1,1104
7,10,100,Example,0,507
7,10,100,Example,1,1016
7,10,200,Example,0,413
7,10,200,Example,1,559
7,10,300,Example,0,597
7,10,300,Example,1,332
7,10,400,Example,0,919
7,10,400,Example,1,432
7,10,500,Example,0,872
7,10,500,Example,1,589
7,10,600,Example,0,927
7,10,600,Example,1,800
7,10,700,Example,0,1332
7,10,700,Example,1,1046
7,10,800,Example,0,1585
7,10,800,Example,1,1417
7,10,900,Example,0,2500
7,10,900,Example,1,2373
7,10,1000,Example,0,3186
7,10,1000,Example,1,3162
7,10,1100,Example,0,3977
7,10,1100,Example,1,3836
7,10,1200,Example,0,4677
7,10,1200,Example,1,4462
7,10,1300,Example,0,5437
7,10,1300,Example,1,5141
7,10,1400,Example,0,5418
7,10,1400,Example,1,4986
7,10,1500,Example,0,5207
7,10,1500,Example,1,4716
7,10,1600,Example,0,4659
7,10,1600,Example,1,4462
7,10,1700,Example,0,4558
7,10,1700,Example,1,4572
7,10,1800,Example,0,4365
7,10,1800,Example,1,4211
7,10,1900,Example,0,3606
7,10,1900,Example,1,3350
7,10,2000,Example,0,2654
7,10,2000,Example,1,2976
7,10,2100,Example,0,1861
7,10,2100,Example,1,1972
7,10,2200,Example,0,1151
7,10,2200,Example,1,1443
7,10,2300,Example,0,801
7,10,2300,Example,1,1027
1,10,0,Example,0,433
1,10,0,Example,1,1249
1,10,100,Example,0,240
1,10,100,Example,1,559
1,10,200,Example,0,209
1,10,200,Example,1,183
1,10,300,Example,0,479
1,10,300,Example,1,215
1,10,400,Example,0,1170
1,10,400,Example,1,468
1,10,500,Example,0,1751
1,10,500,Example,1,1240
1,10,600,Example,0,3424
1,10,600,Example,1,3370
1,10,700,Example,0,6215
1,10,700,Example,1,4927
1,10,800,Example,0,6099
1,10,800,Example,1,4244
1,10,900,Example,0,5097
1,10,900,Example,1,5104
1,10,1000,Example,0,4137
1,10,1000,Example,1,4015
1,10,1100,Example,0,4393
1,10,1100,Example,1,4129
