datetime,dayOfWeek,month,time,northBound,southBound
2017/9/1 00:00,5,9,0,673,903
2017/9/1 01:00,5,9,100,387,792
2017/9/1 02:00,5,9,200,336,549
2017/9/1 03:00,5,9,300,578,353
2017/9/1 04:00,5,9,400,1192,596
2017/9/1 05:00,5,9,500,1484,1042
2017/9/1 06:00,5,9,600,3315,3093
2017/9/1 07:00,5,9,700,6249,5379
2017/9/1 08:00,5,9,800,5822,5286
2017/9/1 09:00,5,9,900,4595,4784
2017/9/1 10:00,5,9,1000,4425,4409
2017/9/1 11:00,5,9,1100,4613,4692
2017/9/1 12:00,5,9,1200,4989,5110
2017/9/1 13:00,5,9,1300,5183,5408
2017/9/1 14:00,5,9,1400,5571,5606
2017/9/1 15:00,5,9,1500,5876,5793
2017/9/1 16:00,5,9,1600,6226,6333
2017/9/1 17:00,5,9,1700,5563,5808
2017/9/1 18:00,5,9,1800,4592,4663
2017/9/1 19:00,5,9,1900,3683,3997
2017/9/1 20:00,5,9,2000,2723,3101
2017/9/1 21:00,5,9,2100,1992,2340
2017/9/1 22:00,5,9,2200,1565,1880
2017/9/1 23:00,5,9,2300,1172,1357
2017/9/2 00:00,6,9,0,716,1183
2017/9/2 01:00,6,9,100,467,749
2017/9/2 02:00,6,9,200,337,382
2017/9/2 03:00,6,9,300,614,383
2017/9/2 04:00,6,9,400,1142,516
2017/9/2 05:00,6,9,500,1178,780
2017/9/2 06:00,6,9,600,1533,1338
2017/9/2 07:00,6,9,700,2367,1815
2017/9/2 08:00,6,9,800,2692,2550
2017/9/2 09:00,6,9,900,3588,3640
2017/9/2 10:00,6,9,1000,4349,3908
2017/9/2 11:00,6,9,1100,4968,4877
2017/9/2 12:00,6,9,1200,5263,5294
2017/9/2 13:00,6,9,1300,5628,5314
2017/9/2 14:00,6,9,1400,5170,5259
2017/9/2 15:00,6,9,1500,4901,4893
2017/9/2 16:00,6,9,1600,4692,4700
2017/9/2 17:00,6,9,1700,4308,4204
2017/9/2 18:00,6,9,1800,3639,3793
2017/9/2 19:00,6,9,1900,3116,3126
2017/9/2 20:00,6,9,2000,2122,2529
2017/9/2 21:00,6,9,2100,1502,1682
2017/9/2 22:00,6,9,2200,1150,1178
2017/9/2 23:00,6,9,2300,965,1120
2017/9/3 00:00,7,9,0,758,1039
2017/9/3 01:00,7,9,100,561,965
2017/9/3 02:00,7,9,200,396,541
2017/9/3 03:00,7,9,300,631,322
2017/9/3 04:00,7,9,400,977,402
2017/9/3 05:00,7,9,500,957,584
2017/9/3 06:00,7,9,600,1008,781
2017/9/3 07:00,7,9,700,1369,1026
2017/9/3 08:00,7,9,800,1678,1384
2017/9/3 09:00,7,9,900,2954,2151
2017/9/3 10:00,7,9,1000,4372,2886
2017/9/3 11:00,7,9,1100,5411,3717
2017/9/3 12:00,7,9,1200,5684,4497
2017/9/3 13:00,7,9,1300,5043,5024
2017/9/3 14:00,7,9,1400,5109,4801
2017/9/3 15:00,7,9,1500,4637,4300
2017/9/3 16:00,7,9,1600,4053,3991
2017/9/3 17:00,7,9,1700,4090,4849
2017/9/3 18:00,7,9,1800,3959,5790
2017/9/3 19:00,7,9,1900,3215,4315
2017/9/3 20:00,7,9,2000,2697,3009
2017/9/3 21:00,7,9,2100,1936,2035
2017/9/3 22:00,7,9,2200,1230,1417
2017/9/3 23:00,7,9,2300,889,1051
2017/9/4 00:00,1,9,0,550,1038
2017/9/4 01:00,1,9,100,362,524
2017/9/4 02:00,1,9,200,319,303
2017/9/4 03:00,1,9,300,604,263
2017/9/4 04:00,1,9,400,1288,517
2017/9/4 05:00,1,9,500,1743,1183
2017/9/4 06:00,1,9,600,3417,3272
2017/9/4 07:00,1,9,700,6278,5288
2017/9/4 08:00,1,9,800,6007,5377
2017/9/4 09:00,1,9,900,5018,4468
2017/9/4 10:00,1,9,1000,4384,3999
2017/9/4 11:00,1,9,1100,4530,4259
2017/9/4 12:00,1,9,1200,4589,4282
2017/9/4 13:00,1,9,1300,4916,4513
2017/9/4 14:00,1,9,1400,4970,4674
2017/9/4 15:00,1,9,1500,5430,5032
2017/9/4 16:00,1,9,1600,6011,6150
2017/9/4 17:00,1,9,1700,6261,6345
2017/9/4 18:00,1,9,1800,4989,4563
2017/9/4 19:00,1,9,1900,3311,3388
2017/9/4 20:00,1,9,2000,2286,2550
2017/9/4 21:00,1,9,2100,1590,1822
2017/9/4 22:00,1,9,2200,1215,1305
2017/9/4 23:00,1,9,2300,761,940
2017/9/5 00:00,2,9,0,441,981
2017/9/5 01:00,2,9,100,247,519
2017/9/5 02:00,2,9,200,279,247
2017/9/5 03:00,2,9,300,513,234
2017/9/5 04:00,2,9,400,1217,504
2017/9/5 05:00,2,9,500,1682,1096
2017/9/5 06:00,2,9,600,3494,3297
2017/9/5 07:00,2,9,700,6025,5523
2017/9/5 08:00,2,9,800,5913,4956
2017/9/5 09:00,2,9,900,5516,3857
2017/9/5 10:00,2,9,1000,4833,4212
2017/9/5 11:00,2,9,1100,4240,4088
2017/9/5 12:00,2,9,1200,4328,4364
2017/9/5 13:00,2,9,1300,4623,4483
2017/9/5 14:00,2,9,1400,4809,4621
2017/9/5 15:00,2,9,1500,5498,5061
2017/9/5 16:00,2,9,1600,6354,6632
2017/9/5 17:00,2,9,1700,6209,5633
2017/9/5 18:00,2,9,1800,5153,4855
2017/9/5 19:00,2,9,1900,3430,3334
2017/9/5 20:00,2,9,2000,2322,2772
2017/9/5 21:00,2,9,2100,1647,2010
2017/9/5 22:00,2,9,2200,1420,1741
2017/9/5 23:00,2,9,2300,941,1305
2017/9/6 00:00,3,9,0,557,929
2017/9/6 01:00,3,9,100,290,686
2017/9/6 02:00,3,9,200,294,334
2017/9/6 03:00,3,9,300,506,269
2017/9/6 04:00,3,9,400,1186,508
2017/9/6 05:00,3,9,500,1571,1085
2017/9/6 06:00,3,9,600,3546,3277
2017/9/6 07:00,3,9,700,6371,5540
2017/9/6 08:00,3,9,800,6124,5459
2017/9/6 09:00,3,9,900,5145,4562
2017/9/6 10:00,3,9,1000,4337,4137
2017/9/6 11:00,3,9,1100,4354,4102
2017/9/6 12:00,3,9,1200,4362,4366
2017/9/6 13:00,3,9,1300,4555,4459
2017/9/6 14:00,3,9,1400,4892,4645
2017/9/6 15:00,3,9,1500,5300,5402
2017/9/6 16:00,3,9,1600,6324,6640
2017/9/6 17:00,3,9,1700,6157,6067
2017/9/6 18:00,3,9,1800,5401,5054
2017/9/6 19:00,3,9,1900,3923,3915
2017/9/6 20:00,3,9,2000,2664,3120
2017/9/6 21:00,3,9,2100,1963,2308
2017/9/6 22:00,3,9,2200,1531,1759
2017/9/6 23:00,3,9,2300,910,1258
2017/9/7 00:00,4,9,0,552,999
2017/9/7 01:00,4,9,100,275,612
2017/9/7 02:00,4,9,200,275,294
2017/9/7 03:00,4,9,300,521,273
2017/9/7 04:00,4,9,400,1179,497
2017/9/7 05:00,4,9,500,1652,1069
2017/9/7 06:00,4,9,600,3610,3300
2017/9/7 07:00,4,9,700,6459,5343
