Date,Time,All,N,S,,,,,,,,
Saturday 1 April 2017,00:00,1879,706,1173,,,,,,,,
,01:00,1058,411,647,,,,,,,,
,02:00,615,287,328,,,,,,,,
,03:00,736,455,281,,,,,,,,
,04:00,1431,1038,393,,,,,,,,
,05:00,1862,1103,759,,,,,,,,
,06:00,2465,1262,1203,,,,,,,,
,07:00,3815,2130,1685,,,,,,,,
,08:00,5212,2784,2428,,,,,,,,
,09:00,7317,3669,3648,,,,,,,,
,10:00,7988,4022,3966,,,,,,,,
,11:00,8826,4357,4469,,,,,,,,
,12:00,9713,4680,5033,,,,,,,,
,13:00,10013,4982,5031,,,,,,,,
,14:00,9923,5021,4902,,,,,,,,
,15:00,9049,4506,4543,,,,,,,,
,16:00,8938,4343,4595,,,,,,,,
,17:00,8229,4055,4174,,,,,,,,
,18:00,7184,3564,3620,,,,,,,,
,19:00,6054,2997,3057,,,,,,,,
,20:00,4503,2055,2448,,,,,,,,
,21:00,3262,1444,1818,,,,,,,,
,22:00,2338,1104,1234,,,,,,,,
,23:00,2160,923,1237,,,,,,,,
,Total,124570,61898,62672,,,,,,,,
Sunday 2 April 2017,00:00,1766,738,1028,,,,,,,,
,01:00,1203,473,730,,,,,,,,
,02:00,651,317,334,,,,,,,,
,03:00,691,435,256,,,,,,,,
,04:00,1171,824,347,,,,,,,,
,05:00,1496,886,610,,,,,,,,
,06:00,1610,863,747,,,,,,,,
,07:00,2342,1376,966,,,,,,,,
,08:00,3247,1731,1516,,,,,,,,
,09:00,5191,2575,2616,,,,,,,,
,10:00,6628,3372,3256,,,,,,,,
,11:00,8210,4172,4038,,,,,,,,
,12:00,9471,4806,4665,,,,,,,,
,13:00,10211,5179,5032,,,,,,,,
,14:00,10249,5334,4915,,,,,,,,
,15:00,9567,4865,4702,,,,,,,,
,16:00,9236,4572,4664,,,,,,,,
,17:00,9239,4535,4704,,,,,,,,
,18:00,8801,4509,4292,,,,,,,,
,19:00,7147,3605,3542,,,,,,,,
,20:00,5765,2887,2878,,,,,,,,
,21:00,4234,2115,2119,,,,,,,,
,22:00,2853,1332,1521,,,,,,,,
