Date,Time,All,N,S,,,,,,,,
Friday 1 December 2017,00:00,1486,446,1040,,,,,,,,
,01:00,649,281,368,,,,,,,,
,02:00,450,237,213,,,,,,,,
,03:00,739,458,281,,,,,,,,
,04:00,1605,1143,462,,,,,,,,
,05:00,2614,1580,1034,,,,,,,,
,06:00,6668,3265,3403,,,,,,,,
,07:00,10801,5329,5472,,,,,,,,
,08:00,9205,4505,4700,,,,,,,,
,09:00,10211,5757,4454,,,,,,,,
,10:00,9126,4728,4398,,,,,,,,
,11:00,9187,4752,4435,,,,,,,,
,12:00,10160,5157,5003,,,,,,,,
,13:00,10744,5255,5489,,,,,,,,
,14:00,11375,5610,5765,,,,,,,,
,15:00,12276,5887,6389,,,,,,,,
,16:00,12092,6033,6059,,,,,,,,
,17:00,10675,5443,5232,,,,,,,,
,18:00,9169,4713,4456,,,,,,,,
,19:00,7644,3866,3778,,,,,,,,
,20:00,5568,2719,2849,,,,,,,,
,21:00,4393,2165,2228,,,,,,,,
,22:00,3072,1376,1696,,,,,,,,
,23:00,2150,935,1215,,,,,,,,
,Total,162059,81640,80419,,,,,,,,
Saturday 2 December 2017,00:00,1648,670,978,,,,,,,,
,01:00,1002,435,567,,,,,,,,
,02:00,721,364,357,,,,,,,,
,03:00,795,454,341,,,,,,,,
,04:00,1361,912,449,,,,,,,,
,05:00,1794,1083,711,,,,,,,,
,06:00,2718,1479,1239,,,,,,,,
,07:00,4070,2227,1843,,,,,,,,
,08:00,5507,2773,2734,,,,,,,,
,09:00,7171,3492,3679,,,,,,,,
,10:00,7886,3999,3887,,,,,,,,
,11:00,8900,4295,4605,,,,,,,,
,12:00,9820,4881,4939,,,,,,,,
,13:00,9959,4899,5060,,,,,,,,
,14:00,9725,4684,5041,,,,,,,,
,15:00,8973,4529,4444,,,,,,,,
,16:00,8975,4390,4585,,,,,,,,
,17:00,8216,4182,4034,,,,,,,,
,18:00,6938,3463,3475,,,,,,,,
,19:00,5572,2797,2775,,,,,,,,
,20:00,4234,1995,2239,,,,,,,,
,21:00,2871,1347,1524,,,,,,,,
,22:00,2144,1050,1094,,,,,,,,
,23:00,1917,851,1066,,,,,,,,
,Total,122917,61251,61666,,,,,,,,
Sunday 3 December 2017,00:00,1554,572,982,,,,,,,,
,01:00,995,471,524,,,,,,,,
,02:00,660,342,318,,,,,,,,
,03:00,672,392,280,,,,,,,,
,04:00,1020,667,353,,,,,,,,
,05:00,1193,710,483,,,,,,,,
,06:00,1489,784,705,,,,,,,,
,07:00,2168,1228,940,,,,,,,,
,08:00,3118,1655,1463,,,,,,,,
,09:00,4920,2381,2539,,,,,,,,
,10:00,6471,3226,3245,,,,,,,,
,11:00,7781,3854,3927,,,,,,,,
,12:00,9033,4537,4496,,,,,,,,
,13:00,10115,5091,5024,,,,,,,,
,14:00,9912,5042,4870,,,,,,,,
,15:00,9450,4851,4599,,,,,,,,
,16:00,9328,4598,4730,,,,,,,,
,17:00,8894,4457,4437,,,,,,,,
,18:00,7986,4049,3937,,,,,,,,
,19:00,6539,3244,3295,,,,,,,,
,20:00,4998,2459,2539,,,,,,,,
,21:00,3790,1797,1993,,,,,,,,
,22:00,2683,1153,1530,,,,,,,,
,23:00,1781,695,1086,,,,,,,,
,Total,116550,58255,58295,,,,,,,,
Monday 4 December 2017,00:00,1165,365,800,,,,,,,,
,01:00,545,204,341,,,,,,,,
,02:00,376,183,193,,,,,,,,
,03:00,567,353,214,,,,,,,,
,04:00,1468,1074,394,,,,,,,,
,05:00,2943,1726,1217,,,,,,,,
,06:00,7154,3410,3744,,,,,,,,
,07:00,11216,6003,5213,,,,,,,,
,08:00,10825,5927,4898,,,,,,,,
,09:00,9956,5239,4717,,,,,,,,
,10:00,8755,4546,4209,,,,,,,,
,11:00,8490,4319,4171,,,,,,,,
,12:00,8977,4527,4450,,,,,,,,
,13:00,9317,4687,4630,,,,,,,,
,14:00,9285,4545,4740,,,,,,,,
,15:00,10415,5290,5125,,,,,,,,
,16:00,12123,5846,6277,,,,,,,,
,17:00,11444,5571,5873,,,,,,,,
,18:00,9662,4871,4791,,,,,,,,
,19:00,6987,3524,3463,,,,,,,,
,20:00,4829,2384,2445,,,,,,,,
,21:00,3868,1644,2224,,,,,,,,
,22:00,2783,1231,1552,,,,,,,,
,23:00,1703,726,977,,,,,,,,
,Total,154853,78195,76658,,,,,,,,
Tuesday 5 December 2017,00:00,1282,374,908,,,,,,,,
,01:00,528,211,317,,,,,,,,
,02:00,422,211,211,,,,,,,,
,03:00,595,344,251,,,,,,,,
,04:00,1556,1102,454,,,,,,,,
,05:00,2746,1631,1115,,,,,,,,
,06:00,7042,3431,3611,,,,,,,,
,07:00,10946,6010,4936,,,,,,,,
,08:00,10848,6025,4823,,,,,,,,
,09:00,10030,5191,4839,,,,,,,,
,10:00,8755,4472,4283,,,,,,,,
,11:00,8546,4404,4142,,,,,,,,
,12:00,8806,4336,4470,,,,,,,,
,13:00,9188,4620,4568,,,,,,,,
,14:00,9216,4648,4568,,,,,,,,
,15:00,10788,5427,5361,,,,,,,,
,16:00,12409,5993,6416,,,,,,,,
,17:00,11419,6078,5341,,,,,,,,
,18:00,9623,4829,4794,,,,,,,,
,19:00,7393,3876,3517,,,,,,,,
,20:00,5374,2526,2848,,,,,,,,
,21:00,4081,1951,2130,,,,,,,,
,22:00,2868,1323,1545,,,,,,,,
,23:00,1814,797,1017,,,,,,,,
,Total,156275,79810,76465,,,,,,,,
Wednesday 6 December 2017,00:00,1201,412,789,,,,,,,,
,01:00,555,241,314,,,,,,,,
,02:00,412,204,208,,,,,,,,
,03:00,635,379,256,,,,,,,,
,04:00,1440,1016,424,,,,,,,,
,05:00,2634,1588,1046,,,,,,,,
,06:00,7034,3442,3592,,,,,,,,
,07:00,10803,6026,4777,,,,,,,,
,08:00,11113,6024,5089,,,,,,,,
,09:00,10145,5268,4877,,,,,,,,
,10:00,8877,4626,4251,,,,,,,,
,11:00,8826,4546,4280,,,,,,,,
,12:00,9195,4716,4479,,,,,,,,
,13:00,9332,4565,4767,,,,,,,,
,14:00,9609,4958,4651,,,,,,,,
,15:00,10930,5438,5492,,,,,,,,
,16:00,12298,5998,6300,,,,,,,,
,17:00,11436,5831,5605,,,,,,,,
,18:00,9912,5160,4752,,,,,,,,
,19:00,7732,3901,3831,,,,,,,,
,20:00,5469,2629,2840,,,,,,,,
,21:00,4453,2011,2442,,,,,,,,
,22:00,3120,1467,1653,,,,,,,,
,23:00,1819,779,1040,,,,,,,,
,Total,158980,81225,77755,,,,,,,,
Thursday 7 December 2017,00:00,1094,451,643,,,,,,,,
,01:00,539,220,319,,,,,,,,
,02:00,463,246,217,,,,,,,,
,03:00,653,396,257,,,,,,,,
,04:00,1435,998,437,,,,,,,,
,05:00,2718,1616,1102,,,,,,,,
,06:00,6851,3339,3512,,,,,,,,
,07:00,11252,5957,5295,,,,,,,,
,08:00,10745,5732,5013,,,,,,,,
,09:00,10107,5378,4729,,,,,,,,
,10:00,8877,4637,4240,,,,,,,,
,11:00,8443,4287,4156,,,,,,,,
,12:00,8916,4482,4434,,,,,,,,
,13:00,9517,4828,4689,,,,,,,,
,14:00,9672,4860,4812,,,,,,,,
,15:00,10704,5160,5544,,,,,,,,
,16:00,11985,6039,5946,,,,,,,,
,17:00,11642,5686,5956,,,,,,,,
,18:00,10078,5161,4917,,,,,,,,
,19:00,8055,4115,3940,,,,,,,,
,20:00,5864,2940,2924,,,,,,,,
,21:00,4839,2352,2487,,,,,,,,
,22:00,3435,1596,1839,,,,,,,,
,23:00,2027,850,1177,,,,,,,,
,Total,159911,81326,78585,,,,,,,,
Friday 8 December 2017,00:00,1218,469,749,,,,,,,,
,01:00,633,284,349,,,,,,,,
,02:00,488,232,256,,,,,,,,
,03:00,737,447,290,,,,,,,,
