Date,Time,All,N,S,,,,,,,,
Wednesday 1 February 2017,00:00,980,389,591,,,,,,,,
,01:00,452,186,266,,,,,,,,
,02:00,364,168,196,,,,,,,,
,03:00,558,339,219,,,,,,,,
,04:00,1223,816,407,,,,,,,,
,05:00,2339,1426,913,,,,,,,,
,06:00,6164,2951,3213,,,,,,,,
,07:00,11163,5817,5346,,,,,,,,
,08:00,10658,6028,4630,,,,,,,,
,09:00,9506,4929,4577,,,,,,,,
,10:00,7916,4094,3822,,,,,,,,
,11:00,7558,3875,3683,,,,,,,,
,12:00,8064,3970,4094,,,,,,,,
,13:00,8468,4213,4255,,,,,,,,
,14:00,8476,4259,4217,,,,,,,,
,15:00,9587,4627,4960,,,,,,,,
,16:00,11850,5883,5967,,,,,,,,
,17:00,11834,5880,5954,,,,,,,,
,18:00,9630,4704,4926,,,,,,,,
,19:00,7007,3558,3449,,,,,,,,
,20:00,4982,2456,2526,,,,,,,,
,21:00,4135,1823,2312,,,,,,,,
,22:00,2638,1184,1454,,,,,,,,
,23:00,1688,737,951,,,,,,,,
,Total,147240,74312,72928,,,,,,,,
Thursday 2 February 2017,00:00,1025,352,673,,,,,,,,
,01:00,475,206,269,,,,,,,,
,02:00,371,182,189,,,,,,,,
,03:00,558,373,185,,,,,,,,
,04:00,1333,897,436,,,,,,,,
,05:00,2244,1345,899,,,,,,,,
,06:00,5955,2896,3059,,,,,,,,
,07:00,11058,5786,5272,,,,,,,,
,08:00,10199,5667,4532,,,,,,,,
,09:00,9611,5169,4442,,,,,,,,
,10:00,7883,4093,3790,,,,,,,,
,11:00,7806,3981,3825,,,,,,,,
,12:00,8237,4161,4076,,,,,,,,
,13:00,8286,4166,4120,,,,,,,,
,14:00,8499,4279,4220,,,,,,,,
,15:00,9752,4753,4999,,,,,,,,
,16:00,11659,5816,5843,,,,,,,,
,17:00,10907,5838,5069,,,,,,,,
,18:00,10129,4962,5167,,,,,,,,
,19:00,7245,3616,3629,,,,,,,,
,20:00,4989,2397,2592,,,,,,,,
,21:00,4392,2000,2392,,,,,,,,
,22:00,3120,1276,1844,,,,,,,,
,23:00,1815,795,1020,,,,,,,,
,Total,147548,75006,72542,,,,,,,,
Friday 3 February 2017,00:00,1140,398,742,,,,,,,,
,01:00,565,232,333,,,,,,,,
,02:00,405,221,184,,,,,,,,
,03:00,623,406,217,,,,,,,,
,04:00,1465,1004,461,,,,,,,,
,05:00,2503,1491,1012,,,,,,,,
,06:00,6001,2982,3019,,,,,,,,
,07:00,11065,5942,5123,,,,,,,,
,08:00,10735,5989,4746,,,,,,,,
,09:00,8457,4019,4438,,,,,,,,
,10:00,7442,3632,3810,,,,,,,,
,11:00,8439,4566,3873,,,,,,,,
,12:00,8884,4328,4556,,,,,,,,
,13:00,9872,4994,4878,,,,,,,,
,14:00,10655,5174,5481,,,,,,,,
,15:00,11071,5541,5530,,,,,,,,
,16:00,10261,5436,4825,,,,,,,,
,17:00,9953,5687,4266,,,,,,,,
,18:00,8832,4733,4099,,,,,,,,
,19:00,8057,3578,4479,,,,,,,,
,20:00,5338,2559,2779,,,,,,,,
,21:00,4283,1998,2285,,,,,,,,
,22:00,3104,1396,1708,,,,,,,,
,23:00,1982,908,1074,,,,,,,,
,Total,151132,77214,73918,,,,,,,,
Saturday 4 February 2017,00:00,1424,554,870,,,,,,,,
,01:00,825,348,477,,,,,,,,
,02:00,591,288,303,,,,,,,,
,03:00,785,438,347,,,,,,,,
,04:00,1353,979,374,,,,,,,,
,05:00,1634,1015,619,,,,,,,,
,06:00,2284,1205,1079,,,,,,,,
,07:00,3548,1910,1638,,,,,,,,
,08:00,4717,2407,2310,,,,,,,,
,09:00,6499,3387,3112,,,,,,,,
,10:00,7401,3851,3550,,,,,,,,
,11:00,8423,4332,4091,,,,,,,,
,12:00,9445,4522,4923,,,,,,,,
,13:00,9638,4670,4968,,,,,,,,
,14:00,8904,4237,4667,,,,,,,,
,15:00,7659,3737,3922,,,,,,,,
,16:00,7821,3815,4006,,,,,,,,
,17:00,7409,3700,3709,,,,,,,,
,18:00,6515,3312,3203,,,,,,,,
,19:00,5176,2620,2556,,,,,,,,
,20:00,3747,1791,1956,,,,,,,,
,21:00,2780,1243,1537,,,,,,,,
,22:00,1926,952,974,,,,,,,,
,23:00,1873,755,1118,,,,,,,,
,Total,112377,56068,56309,,,,,,,,
Sunday 5 February 2017,00:00,1515,604,911,,,,,,,,
,01:00,875,391,484,,,,,,,,
,02:00,550,279,271,,,,,,,,
,03:00,626,366,260,,,,,,,,
,04:00,990,665,325,,,,,,,,
,05:00,1137,666,471,,,,,,,,
,06:00,1329,721,608,,,,,,,,
,07:00,1989,1117,872,,,,,,,,
,08:00,2615,1435,1180,,,,,,,,
,09:00,3930,2035,1895,,,,,,,,
,10:00,5458,2751,2707,,,,,,,,
,11:00,6908,3389,3519,,,,,,,,
,12:00,8504,4102,4402,,,,,,,,
,13:00,9626,4878,4748,,,,,,,,
,14:00,9371,4864,4507,,,,,,,,
,15:00,8621,4506,4115,,,,,,,,
,16:00,8641,4246,4395,,,,,,,,
,17:00,8780,4413,4367,,,,,,,,
,18:00,7887,3956,3931,,,,,,,,
,19:00,6493,3299,3194,,,,,,,,
,20:00,5174,2599,2575,,,,,,,,
,21:00,3995,1863,2132,,,,,,,,
,22:00,2538,1051,1487,,,,,,,,
,23:00,1742,709,1033,,,,,,,,
,Total,109294,54905,54389,,,,,,,,
