Date,Time,All,N,S,,,,,,,,
Sunday 1 January 2017,00:00,920,451,469,,,,,,,,
,01:00,1319,652,667,,,,,,,,
,02:00,1019,527,492,,,,,,,,
,03:00,811,462,349,,,,,,,,
,04:00,810,514,296,,,,,,,,
,05:00,831,466,365,,,,,,,,
,06:00,979,571,408,,,,,,,,
,07:00,1624,979,645,,,,,,,,
,08:00,1658,916,742,,,,,,,,
,09:00,1879,992,887,,,,,,,,
,10:00,2606,1310,1296,,,,,,,,
,11:00,4003,2077,1926,,,,,,,,
,12:00,5482,2775,2707,,,,,,,,
,13:00,6780,3574,3206,,,,,,,,
,14:00,7370,3815,3555,,,,,,,,
,15:00,6878,3523,3355,,,,,,,,
,16:00,6491,3187,3304,,,,,,,,
,17:00,5874,2903,2971,,,,,,,,
,18:00,5165,2686,2479,,,,,,,,
,19:00,4347,2194,2153,,,,,,,,
,20:00,3357,1701,1656,,,,,,,,
,21:00,2626,1205,1421,,,,,,,,
,22:00,1925,836,1089,,,,,,,,
,23:00,1521,708,813,,,,,,,,
,Total,76275,39024,37251,,,,,,,,
Monday 2 January 2017,00:00,1316,438,878,,,,,,,,
,01:00,545,229,316,,,,,,,,
,02:00,367,180,187,,,,,,,,
,03:00,637,364,273,,,,,,,,
,04:00,1169,800,369,,,,,,,,
,05:00,1639,919,720,,,,,,,,
,06:00,1918,1045,873,,,,,,,,
,07:00,2178,1197,981,,,,,,,,
,08:00,2342,1250,1092,,,,,,,,
,09:00,2985,1536,1449,,,,,,,,
,10:00,4396,2268,2128,,,,,,,,
,11:00,5850,2903,2947,,,,,,,,
,12:00,7450,3836,3614,,,,,,,,
,13:00,8492,4498,3994,,,,,,,,
,14:00,8879,4529,4350,,,,,,,,
,15:00,8302,4260,4042,,,,,,,,
,16:00,7964,4119,3845,,,,,,,,
,17:00,7599,3928,3671,,,,,,,,
,18:00,6209,3270,2939,,,,,,,,
,19:00,5245,2638,2607,,,,,,,,
,20:00,3915,1864,2051,,,,,,,,
,21:00,2733,1265,1468,,,,,,,,
,22:00,1993,876,1117,,,,,,,,
,23:00,1548,665,883,,,,,,,,
,Total,95671,48877,46794,,,,,,,,
Tuesday 3 January 2017,00:00,1170,392,778,,,,,,,,
,01:00,479,189,290,,,,,,,,
,02:00,370,201,169,,,,,,,,
,03:00,569,387,182,,,,,,,,
,04:00,1319,887,432,,,,,,,,
,05:00,2558,1459,1099,,,,,,,,
,06:00,4893,2447,2446,,,,,,,,
,07:00,8426,4408,4018,,,,,,,,
,08:00,8448,4582,3866,,,,,,,,
,09:00,6600,3420,3180,,,,,,,,
,10:00,6660,3428,3232,,,,,,,,
