Date,Time,All,N,S,,,,,,,,
Saturday 1 July 2017,00:00,2164,819,1345,,,,,,,,
,01:00,1476,489,987,,,,,,,,
,02:00,747,356,391,,,,,,,,
,03:00,967,618,349,,,,,,,,
,04:00,1558,1053,505,,,,,,,,
,05:00,2004,1177,827,,,,,,,,
,06:00,2937,1561,1376,,,,,,,,
,07:00,4340,2439,1901,,,,,,,,
,08:00,5344,2941,2403,,,,,,,,
,09:00,6512,3345,3167,,,,,,,,
,10:00,7541,3834,3707,,,,,,,,
,11:00,9277,4588,4689,,,,,,,,
,12:00,10301,4875,5426,,,,,,,,
,13:00,10155,4765,5390,,,,,,,,
,14:00,10168,4961,5207,,,,,,,,
,15:00,9361,4579,4782,,,,,,,,
,16:00,8972,4348,4624,,,,,,,,
,17:00,8652,4228,4424,,,,,,,,
,18:00,7810,3945,3865,,,,,,,,
,19:00,6107,3046,3061,,,,,,,,
,20:00,4855,2262,2593,,,,,,,,
,21:00,3316,1470,1846,,,,,,,,
,22:00,2575,1311,1264,,,,,,,,
,23:00,2590,1308,1282,,,,,,,,
,Total,129729,64318,65411,,,,,,,,
Sunday 2 July 2017,00:00,2219,905,1314,,,,,,,,
,01:00,1486,541,945,,,,,,,,
,02:00,1021,404,617,,,,,,,,
,03:00,1031,629,402,,,,,,,,
,04:00,1516,1041,475,,,,,,,,
,05:00,1603,983,620,,,,,,,,
,06:00,1791,957,834,,,,,,,,
,07:00,2452,1369,1083,,,,,,,,
,08:00,2951,1545,1406,,,,,,,,
,09:00,4603,2441,2162,,,,,,,,
,10:00,6014,2974,3040,,,,,,,,
,11:00,8072,4002,4070,,,,,,,,
,12:00,9707,4925,4782,,,,,,,,
,13:00,10843,5829,5014,,,,,,,,
,14:00,10335,5785,4550,,,,,,,,
,15:00,9312,4964,4348,,,,,,,,
,16:00,9277,4789,4488,,,,,,,,
,17:00,9154,4774,4380,,,,,,,,
,18:00,10154,4535,5619,,,,,,,,
,19:00,8201,3688,4513,,,,,,,,
,20:00,5986,2804,3182,,,,,,,,
,21:00,4295,2139,2156,,,,,,,,
,22:00,2864,1331,1533,,,,,,,,
,23:00,2441,1072,1369,,,,,,,,
,Total,127328,64426,62902,,,,,,,,
Monday 3 July 2017,00:00,1702,594,1108,,,,,,,,
