Date,Time,All,N,S,,,,,,,,
Thursday 1 June 2017,00:00,1682,574,1108,,,,,,,,
,01:00,844,314,530,,,,,,,,
,02:00,585,289,296,,,,,,,,
,03:00,864,516,348,,,,,,,,
,04:00,1762,1241,521,,,,,,,,
,05:00,2734,1630,1104,,,,,,,,
,06:00,6916,3523,3393,,,,,,,,
,07:00,12132,6335,5797,,,,,,,,
,08:00,11613,6372,5241,,,,,,,,
,09:00,9868,4961,4907,,,,,,,,
,10:00,8661,4443,4218,,,,,,,,
,11:00,8673,4419,4254,,,,,,,,
,12:00,9106,4613,4493,,,,,,,,
,13:00,9376,4625,4751,,,,,,,,
,14:00,9538,4764,4774,,,,,,,,
,15:00,10629,5369,5260,,,,,,,,
,16:00,11992,5928,6064,,,,,,,,
,17:00,10520,5539,4981,,,,,,,,
,18:00,10473,5383,5090,,,,,,,,
,19:00,8864,4243,4621,,,,,,,,
,20:00,6227,3038,3189,,,,,,,,
,21:00,4823,2416,2407,,,,,,,,
,22:00,3212,1541,1671,,,,,,,,
,23:00,2492,1068,1424,,,,,,,,
,Total,163586,83144,80442,,,,,,,,
Friday 2 June 2017,00:00,1742,685,1057,,,,,,,,
,01:00,987,312,675,,,,,,,,
,02:00,618,292,326,,,,,,,,
,03:00,914,630,284,,,,,,,,
,04:00,1775,1265,510,,,,,,,,
,05:00,2849,1744,1105,,,,,,,,
,06:00,6542,3298,3244,,,,,,,,
,07:00,11299,6064,5235,,,,,,,,
,08:00,10760,5719,5041,,,,,,,,
,09:00,9249,4602,4647,,,,,,,,
,10:00,8834,4273,4561,,,,,,,,
,11:00,9688,4707,4981,,,,,,,,
,12:00,10290,5060,5230,,,,,,,,
,13:00,10893,5207,5686,,,,,,,,
,14:00,11335,5597,5738,,,,,,,,
,15:00,11499,5959,5540,,,,,,,,
,16:00,12307,6165,6142,,,,,,,,
,17:00,11061,5523,5538,,,,,,,,
,18:00,9399,4862,4537,,,,,,,,
,19:00,8184,3945,4239,,,,,,,,
,20:00,5927,2746,3181,,,,,,,,
,21:00,4512,2173,2339,,,,,,,,
,22:00,3717,1809,1908,,,,,,,,
,23:00,2778,1197,1581,,,,,,,,
,Total,167159,83834,83325,,,,,,,,
Saturday 3 June 2017,00:00,2055,781,1274,,,,,,,,
,01:00,1274,481,793,,,,,,,,
,02:00,686,339,347,,,,,,,,
,03:00,903,578,325,,,,,,,,
,04:00,1665,1227,438,,,,,,,,
,05:00,2104,1196,908,,,,,,,,
,06:00,2824,1504,1320,,,,,,,,
,07:00,4189,2188,2001,,,,,,,,
,08:00,5131,2503,2628,,,,,,,,
,09:00,6908,3469,3439,,,,,,,,
,10:00,7945,3930,4015,,,,,,,,
,11:00,9350,4502,4848,,,,,,,,
,12:00,10015,4915,5100,,,,,,,,
,13:00,10061,5017,5044,,,,,,,,
,14:00,9636,4851,4785,,,,,,,,
,15:00,9539,4649,4890,,,,,,,,
,16:00,8682,4159,4523,,,,,,,,
,17:00,8093,3983,4110,,,,,,,,
,18:00,7067,3711,3356,,,,,,,,
,19:00,5634,2811,2823,,,,,,,,
,20:00,3929,1767,2162,,,,,,,,
,21:00,3070,1651,1419,,,,,,,,
,22:00,2708,1519,1189,,,,,,,,
,23:00,2066,1073,993,,,,,,,,
,Total,125534,62804,62730,,,,,,,,
Sunday 4 June 2017,00:00,1815,781,1034,,,,,,,,
,01:00,1450,472,978,,,,,,,,
,02:00,859,390,469,,,,,,,,
,03:00,983,657,326,,,,,,,,
,04:00,1522,1097,425,,,,,,,,
