Date,Time,All,N,S,,,,,,,,
Wednesday 1 March 2017,00:00,1113,354,759,,,,,,,,
,01:00,470,197,273,,,,,,,,
,02:00,372,191,181,,,,,,,,
,03:00,521,342,179,,,,,,,,
,04:00,1324,905,419,,,,,,,,
,05:00,2441,1477,964,,,,,,,,
,06:00,6161,2988,3173,,,,,,,,
,07:00,11478,6035,5443,,,,,,,,
,08:00,11118,6184,4934,,,,,,,,
,09:00,9678,4989,4689,,,,,,,,
,10:00,7698,4033,3665,,,,,,,,
,11:00,7621,3925,3696,,,,,,,,
,12:00,8037,3990,4047,,,,,,,,
,13:00,8686,4293,4393,,,,,,,,
,14:00,8861,4431,4430,,,,,,,,
,15:00,9886,4937,4949,,,,,,,,
,16:00,12229,5821,6408,,,,,,,,
,17:00,11171,5277,5894,,,,,,,,
,18:00,9637,4717,4920,,,,,,,,
,19:00,7605,4186,3419,,,,,,,,
,20:00,5012,2439,2573,,,,,,,,
,21:00,4147,1922,2225,,,,,,,,
,22:00,2941,1269,1672,,,,,,,,
,23:00,1727,727,1000,,,,,,,,
,Total,149934,75629,74305,,,,,,,,
Thursday 2 March 2017,00:00,1048,394,654,,,,,,,,
,01:00,525,242,283,,,,,,,,
,02:00,417,193,224,,,,,,,,
,03:00,607,397,210,,,,,,,,
,04:00,1372,933,439,,,,,,,,
,05:00,2401,1449,952,,,,,,,,
,06:00,6116,2956,3160,,,,,,,,
,07:00,11020,6036,4984,,,,,,,,
,08:00,10061,5919,4142,,,,,,,,
,09:00,10199,5310,4889,,,,,,,,
,10:00,8155,4262,3893,,,,,,,,
,11:00,7901,4042,3859,,,,,,,,
,12:00,8388,4219,4169,,,,,,,,
,13:00,8839,4428,4411,,,,,,,,
,14:00,9033,4585,4448,,,,,,,,
,15:00,10212,5040,5172,,,,,,,,
,16:00,12143,6068,6075,,,,,,,,
,17:00,12041,6049,5992,,,,,,,,
,18:00,10107,5062,5045,,,,,,,,
,19:00,7440,3624,3816,,,,,,,,
,20:00,5602,2712,2890,,,,,,,,
,21:00,4486,2066,2420,,,,,,,,
,22:00,3191,1341,1850,,,,,,,,
,23:00,1886,817,1069,,,,,,,,
,Total,153190,78144,75046,,,,,,,,
Friday 3 March 2017,00:00,1246,454,792,,,,,,,,
,01:00,578,243,335,,,,,,,,
,02:00,418,217,201,,,,,,,,
,03:00,677,457,220,,,,,,,,
,04:00,1604,1139,465,,,,,,,,
,05:00,2454,1430,1024,,,,,,,,
,06:00,6087,2924,3163,,,,,,,,
,07:00,10765,5522,5243,,,,,,,,
,08:00,10704,5875,4829,,,,,,,,
,09:00,9641,5086,4555,,,,,,,,
,10:00,8297,4282,4015,,,,,,,,
,11:00,8380,4325,4055,,,,,,,,
,12:00,8233,4692,3541,,,,,,,,
,13:00,8611,4934,3677,,,,,,,,
,14:00,9604,5264,4340,,,,,,,,
,15:00,10256,5621,4635,,,,,,,,
,16:00,11302,5916,5386,,,,,,,,
,17:00,9803,5578,4225,,,,,,,,
,18:00,9871,4873,4998,,,,,,,,
,19:00,7806,3692,4114,,,,,,,,
,20:00,5365,2616,2749,,,,,,,,
,21:00,4271,2076,2195,,,,,,,,
