Date,Time,All,N,S,,,,,,,,
Monday 1 May 2017,00:00,1713,571,1142,,,,,,,,
,01:00,883,309,574,,,,,,,,
,02:00,498,238,260,,,,,,,,
,03:00,695,412,283,,,,,,,,
,04:00,1153,812,341,,,,,,,,
,05:00,1588,950,638,,,,,,,,
,06:00,2047,1031,1016,,,,,,,,
,07:00,2522,1419,1103,,,,,,,,
,08:00,2807,1415,1392,,,,,,,,
,09:00,4068,2046,2022,,,,,,,,
,10:00,5603,2796,2807,,,,,,,,
,11:00,7045,3547,3498,,,,,,,,
,12:00,8839,4483,4356,,,,,,,,
,13:00,9596,4948,4648,,,,,,,,
,14:00,9336,4948,4388,,,,,,,,
,15:00,8862,4611,4251,,,,,,,,
,16:00,8802,4658,4144,,,,,,,,
,17:00,8723,4593,4130,,,,,,,,
,18:00,8301,4384,3917,,,,,,,,
,19:00,7192,3615,3577,,,,,,,,
,20:00,5670,2785,2885,,,,,,,,
,21:00,4028,2026,2002,,,,,,,,
,22:00,2816,1353,1463,,,,,,,,
,23:00,1881,836,1045,,,,,,,,
,Total,114668,58786,55882,,,,,,,,
Tuesday 2 May 2017,00:00,1403,475,928,,,,,,,,
,01:00,690,227,463,,,,,,,,
,02:00,389,197,192,,,,,,,,
,03:00,639,414,225,,,,,,,,
,04:00,1498,1075,423,,,,,,,,
,05:00,2875,1797,1078,,,,,,,,
,06:00,6922,3490,3432,,,,,,,,
,07:00,11986,6231,5755,,,,,,,,
,08:00,11433,6346,5087,,,,,,,,
,09:00,10110,5193,4917,,,,,,,,
,10:00,8481,4439,4042,,,,,,,,
,11:00,8218,4140,4078,,,,,,,,
,12:00,8509,4247,4262,,,,,,,,
,13:00,8884,4511,4373,,,,,,,,
,14:00,9023,4553,4470,,,,,,,,
,15:00,9926,5031,4895,,,,,,,,
,16:00,12358,6030,6328,,,,,,,,
,17:00,12488,6222,6266,,,,,,,,
,18:00,9778,4981,4797,,,,,,,,
,19:00,6722,3374,3348,,,,,,,,
,20:00,5057,2410,2647,,,,,,,,
,21:00,3916,1818,2098,,,,,,,,
,22:00,2687,1327,1360,,,,,,,,
,23:00,1914,824,1090,,,,,,,,
,Total,155906,79352,76554,,,,,,,,
Wednesday 3 May 2017,00:00,1389,519,870,,,,,,,,
,01:00,791,247,544,,,,,,,,
,02:00,457,223,234,,,,,,,,
,03:00,619,412,207,,,,,,,,
,04:00,1361,950,411,,,,,,,,
,05:00,2531,1577,954,,,,,,,,
,06:00,6803,3371,3432,,,,,,,,
,07:00,9597,5237,4360,,,,,,,,
,08:00,9858,5802,4056,,,,,,,,
,09:00,10967,5599,5368,,,,,,,,
,10:00,8554,4570,3984,,,,,,,,
,11:00,8563,4348,4215,,,,,,,,
,12:00,8751,4403,4348,,,,,,,,
,13:00,8997,4575,4422,,,,,,,,
,14:00,9137,4499,4638,,,,,,,,
,15:00,10400,5203,5197,,,,,,,,
,16:00,12261,6236,6025,,,,,,,,
,17:00,12565,6196,6369,,,,,,,,
,18:00,10612,5328,5284,,,,,,,,
,19:00,7614,3827,3787,,,,,,,,
,20:00,5509,2652,2857,,,,,,,,
,21:00,4529,2113,2416,,,,,,,,
,22:00,3136,1431,1705,,,,,,,,
,23:00,2141,958,1183,,,,,,,,
,Total,157142,80276,76866,,,,,,,,
Thursday 4 May 2017,00:00,1397,459,938,,,,,,,,
