Date,Time,All,N,S,,,,,,,,
Wednesday 1 November 2017,00:00,1176,382,794,,,,,,,,
,01:00,608,257,351,,,,,,,,
,02:00,506,248,258,,,,,,,,
,03:00,756,454,302,,,,,,,,
,04:00,1707,1184,523,,,,,,,,
,05:00,2799,1611,1188,,,,,,,,
,06:00,6902,3419,3483,,,,,,,,
,07:00,11816,6177,5639,,,,,,,,
,08:00,10885,6246,4639,,,,,,,,
,09:00,9331,4748,4583,,,,,,,,
,10:00,9144,4615,4529,,,,,,,,
,11:00,9279,4708,4571,,,,,,,,
,12:00,10007,5112,4895,,,,,,,,
,13:00,9939,4967,4972,,,,,,,,
,14:00,10271,5202,5069,,,,,,,,
,15:00,10954,5484,5470,,,,,,,,
,16:00,12068,6281,5787,,,,,,,,
,17:00,11766,5768,5998,,,,,,,,
,18:00,10869,5272,5597,,,,,,,,
,19:00,7743,3983,3760,,,,,,,,
,20:00,5307,2534,2773,,,,,,,,
,21:00,4221,1872,2349,,,,,,,,
,22:00,2994,1391,1603,,,,,,,,
,23:00,1855,782,1073,,,,,,,,
,Total,162903,82697,80206,,,,,,,,
Thursday 2 November 2017,00:00,1299,350,949,,,,,,,,
,01:00,491,195,296,,,,,,,,
,02:00,450,233,217,,,,,,,,
,03:00,662,424,238,,,,,,,,
,04:00,1592,1115,477,,,,,,,,
,05:00,2777,1627,1150,,,,,,,,
,06:00,6854,3387,3467,,,,,,,,
,07:00,10081,6115,3966,,,,,,,,
,08:00,10603,6057,4546,,,,,,,,
,09:00,9479,4812,4667,,,,,,,,
,10:00,9253,4817,4436,,,,,,,,
,11:00,9173,4693,4480,,,,,,,,
,12:00,10103,5065,5038,,,,,,,,
,13:00,9962,5076,4886,,,,,,,,
,14:00,10334,5276,5058,,,,,,,,
,15:00,11314,5590,5724,,,,,,,,
,16:00,12820,6345,6475,,,,,,,,
,17:00,12093,5879,6214,,,,,,,,
,18:00,10756,5538,5218,,,,,,,,
,19:00,7984,3828,4156,,,,,,,,
,20:00,5694,2693,3001,,,,,,,,
,21:00,4594,2103,2491,,,,,,,,
,22:00,3270,1528,1742,,,,,,,,
,23:00,2274,814,1460,,,,,,,,
,Total,163912,83560,80352,,,,,,,,
Friday 3 November 2017,00:00,1323,431,892,,,,,,,,
,01:00,620,252,368,,,,,,,,
,02:00,504,254,250,,,,,,,,
,03:00,748,466,282,,,,,,,,
,04:00,1552,1042,510,,,,,,,,
,05:00,2636,1557,1079,,,,,,,,
,06:00,6731,3453,3278,,,,,,,,
,07:00,11282,6017,5265,,,,,,,,
