Date,Time,All,N,S,,,,,,,,
Friday 1 September 2017,00:00,1576,673,903,,,,,,,,
,01:00,1179,387,792,,,,,,,,
,02:00,885,336,549,,,,,,,,
,03:00,931,578,353,,,,,,,,
,04:00,1788,1192,596,,,,,,,,
,05:00,2526,1484,1042,,,,,,,,
,06:00,6408,3315,3093,,,,,,,,
,07:00,11628,6249,5379,,,,,,,,
,08:00,11108,5822,5286,,,,,,,,
,09:00,9379,4595,4784,,,,,,,,
,10:00,8834,4425,4409,,,,,,,,
,11:00,9305,4613,4692,,,,,,,,
,12:00,10099,4989,5110,,,,,,,,
,13:00,10591,5183,5408,,,,,,,,
,14:00,11177,5571,5606,,,,,,,,
,15:00,11669,5876,5793,,,,,,,,
,16:00,12559,6226,6333,,,,,,,,
,17:00,11371,5563,5808,,,,,,,,
,18:00,9255,4592,4663,,,,,,,,
,19:00,7680,3683,3997,,,,,,,,
,20:00,5824,2723,3101,,,,,,,,
,21:00,4332,1992,2340,,,,,,,,
,22:00,3445,1565,1880,,,,,,,,
,23:00,2529,1172,1357,,,,,,,,
,Total,166078,82804,83274,,,,,,,,
Saturday 2 September 2017,00:00,1899,716,1183,,,,,,,,
,01:00,1216,467,749,,,,,,,,
,02:00,719,337,382,,,,,,,,
,03:00,997,614,383,,,,,,,,
,04:00,1658,1142,516,,,,,,,,
,05:00,1958,1178,780,,,,,,,,
,06:00,2871,1533,1338,,,,,,,,
,07:00,4182,2367,1815,,,,,,,,
,08:00,5242,2692,2550,,,,,,,,
,09:00,7228,3588,3640,,,,,,,,
,10:00,8257,4349,3908,,,,,,,,
,11:00,9845,4968,4877,,,,,,,,
,12:00,10557,5263,5294,,,,,,,,
,13:00,10942,5628,5314,,,,,,,,
,14:00,10429,5170,5259,,,,,,,,
,15:00,9794,4901,4893,,,,,,,,
,16:00,9392,4692,4700,,,,,,,,
,17:00,8512,4308,4204,,,,,,,,
,18:00,7432,3639,3793,,,,,,,,
,19:00,6242,3116,3126,,,,,,,,
,20:00,4651,2122,2529,,,,,,,,
,21:00,3184,1502,1682,,,,,,,,
,22:00,2328,1150,1178,,,,,,,,
,23:00,2085,965,1120,,,,,,,,
,Total,131620,66407,65213,,,,,,,,
Sunday 3 September 2017,00:00,1797,758,1039,,,,,,,,
,01:00,1526,561,965,,,,,,,,
,02:00,937,396,541,,,,,,,,
,03:00,953,631,322,,,,,,,,
,04:00,1379,977,402,,,,,,,,
,05:00,1541,957,584,,,,,,,,
,06:00,1789,1008,781,,,,,,,,
,07:00,2395,1369,1026,,,,,,,,
,08:00,3062,1678,1384,,,,,,,,
,09:00,5105,2954,2151,,,,,,,,
,10:00,7258,4372,2886,,,,,,,,
,11:00,9128,5411,3717,,,,,,,,
,12:00,10181,5684,4497,,,,,,,,
,13:00,10067,5043,5024,,,,,,,,
,14:00,9910,5109,4801,,,,,,,,
,15:00,8937,4637,4300,,,,,,,,
,16:00,8044,4053,3991,,,,,,,,
,17:00,8939,4090,4849,,,,,,,,
,18:00,9749,3959,5790,,,,,,,,
,19:00,7530,3215,4315,,,,,,,,
,20:00,5706,2697,3009,,,,,,,,
,21:00,3971,1936,2035,,,,,,,,
,22:00,2647,1230,1417,,,,,,,,
,23:00,1940,889,1051,,,,,,,,
,Total,124491,63614,60877,,,,,,,,
Monday 4 September 2017,00:00,1588,550,1038,,,,,,,,
,01:00,886,362,524,,,,,,,,
,02:00,622,319,303,,,,,,,,
,03:00,867,604,263,,,,,,,,
,04:00,1805,1288,517,,,,,,,,
,05:00,2926,1743,1183,,,,,,,,
,06:00,6689,3417,3272,,,,,,,,
,07:00,11566,6278,5288,,,,,,,,
,08:00,11384,6007,5377,,,,,,,,
,09:00,9486,5018,4468,,,,,,,,
,10:00,8383,4384,3999,,,,,,,,
,11:00,8789,4530,4259,,,,,,,,
,12:00,8871,4589,4282,,,,,,,,
,13:00,9429,4916,4513,,,,,,,,
,14:00,9644,4970,4674,,,,,,,,
,15:00,10462,5430,5032,,,,,,,,
,16:00,12161,6011,6150,,,,,,,,
,17:00,12606,6261,6345,,,,,,,,
,18:00,9552,4989,4563,,,,,,,,
,19:00,6699,3311,3388,,,,,,,,
,20:00,4836,2286,2550,,,,,,,,
,21:00,3412,1590,1822,,,,,,,,
,22:00,2520,1215,1305,,,,,,,,
,23:00,1701,761,940,,,,,,,,
,Total,156884,80829,76055,,,,,,,,
Tuesday 5 September 2017,00:00,1422,441,981,,,,,,,,
,01:00,766,247,519,,,,,,,,
,02:00,526,279,247,,,,,,,,
,03:00,747,513,234,,,,,,,,
